[18.1.2021 | 8:59:7] [Stasiek]: !uzyjlosa 
[23.1.2021 | 21:18:21] [👑 _PRYMEK_ 👑]: !uzyjlosa 

[23.1.2021 | 21:18:27] [👑 _PRYMEK_ 👑]: !uzyjlosa 

[23.1.2021 | 21:18:32] [👑 _PRYMEK_ 👑]: EZ 

[23.1.2021 | 21:19:12] [👑 _PRYMEK_ 👑]: !uzyjlosa 

[23.1.2021 | 21:19:36] [👑 _PRYMEK_ 👑]: !uzyjlosa 

[23.1.2021 | 21:19:42] [👑 _PRYMEK_ 👑]: No nieeee 

[23.1.2021 | 21:30:21] [Rekin]: !uzyjlosa 

[23.1.2021 | 21:30:24] [Rekin]: !uzyjlosa 

[25.1.2021 | 12:30:10] [Kokichi✔]: !uzyjlosa 

[25.1.2021 | 12:31:11] [Kokichi✔]: !uzyjlosa 

[25.1.2021 | 12:33:15] [Kokichi✔]: !uzyjlosa 

[25.1.2021 | 12:33:40] [Kokichi✔]: !uzyjlosa 

[25.1.2021 | 12:34:35] [Kokichi✔]: !uzyjlosa 

[25.1.2021 | 12:35:37] [Kokichi✔]: !uzyjlosa 

[25.1.2021 | 12:36:3] [Kokichi✔]: !uzyjlosa 

[25.1.2021 | 12:36:44] [Kokichi✔]: !uzyjlosa 

[25.1.2021 | 15:23:45] [bart.bruk]: !uzyjlosa 

[25.1.2021 | 15:24:11] [bart.bruk]: !uzyjlosa 

[25.1.2021 | 15:26:1] [bart.bruk]: !uzyjlosa 

[25.1.2021 | 16:37:58] [👑 _PRYMEK_ 👑]: !uzyjlosa 

[25.1.2021 | 16:38:1] [👑 _PRYMEK_ 👑]: Aha 

[25.1.2021 | 16:38:44] [👑 _PRYMEK_ 👑]: !uzyjlosa 

[25.1.2021 | 16:38:57] [👑 _PRYMEK_ 👑]: !uzyjlosa 

[25.1.2021 | 16:39:2] [👑 _PRYMEK_ 👑]: !uzyjlosa 

[26.1.2021 | 11:55:27] [linda👁🗨]: !uzyjlosa 

[26.1.2021 | 11:55:44] [👑 _PRYMEK_ 👑]: <:keekw:761295533045448725> 

[26.1.2021 | 11:55:50] [👑 _PRYMEK_ 👑]: Słabo wypadło 

[26.1.2021 | 11:56:3] [linda👁🗨]: !uzyjlosa 

[26.1.2021 | 11:56:19] [linda👁🗨]: !uzyjlosa 

[26.1.2021 | 11:56:23] [👑 _PRYMEK_ 👑]: 9 sekund 

[26.1.2021 | 11:56:25] [👑 _PRYMEK_ 👑]: Jeszcze 

[26.1.2021 | 11:56:28] [linda👁🗨]: !uzyjlosa 

[26.1.2021 | 11:56:47] [linda👁🗨]: mam pecha co do losów 

[26.1.2021 | 11:56:57] [👑 _PRYMEK_ 👑]: Nom 

[26.1.2021 | 11:59:27] [Kokichi✔]: !uzyjlosa 

[26.1.2021 | 12:0:37] [linda👁🗨]: !uzyjlosa 

[26.1.2021 | 12:0:45] [👑 _PRYMEK_ 👑]: Cooo 

[26.1.2021 | 12:0:46] [👑 _PRYMEK_ 👑]: Jak to 

[26.1.2021 | 12:0:48] [👑 _PRYMEK_ 👑]: XD 

[26.1.2021 | 12:0:48] [linda👁🗨]: mam pecha 

[26.1.2021 | 12:0:54] [👑 _PRYMEK_ 👑]: Nom niestety 

[27.1.2021 | 11:54:9] [❤_Nezuko Kamado_❤]: !uzyjlosa 

[27.1.2021 | 11:54:38] [❤_Nezuko Kamado_❤]: !yzyjlosa 

[27.1.2021 | 11:54:47] [❤_Nezuko Kamado_❤]: !uzyjlosa 

[27.1.2021 | 11:55:16] [❤_Nezuko Kamado_❤]: !uzyjlosa 

[27.1.2021 | 11:55:44] [❤_Nezuko Kamado_❤]: !uzyjlosa 

[27.1.2021 | 19:15:39] [linda👁🗨]: !uzyjlosa 

[27.1.2021 | 19:15:53] [linda👁🗨]: Omg <@689129555549618269> 100k 

[27.1.2021 | 19:16:9] [linda👁🗨]: 1 raz coś dobrego 

[28.1.2021 | 9:52:13] [Kokichi✔]: !uzyjlosa 

[28.1.2021 | 9:52:20] [bart.bruk]: !uzyjlosa 

[28.1.2021 | 9:52:24] [bart.bruk]: ooooo 

[28.1.2021 | 12:14:17] [Kokichi✔]: !uzyjlosa 

[28.1.2021 | 12:14:53] [Kokichi✔]: !uzyjlosa 

[28.1.2021 | 12:15:59] [👑 _PRYMEK_ 👑]: !uzyjlosa 

[28.1.2021 | 19:15:55] [Free boy]: !uzyjlosa 

[28.1.2021 | 19:16:24] [Free boy]: poproszę c: 

[28.1.2021 | 19:16:42] [Free boy]: !uzyjlosa 

[28.1.2021 | 19:27:14] [Free boy]: !uzyjlosa 

[28.1.2021 | 19:38:35] [Free boy]: !uzyjlosa 

