[10.1.2021 | 23:23:32] [tsuki]: Mam Shirō, chętni? 
[14.1.2021 | 23:50:18] [cheeto pizzerini]: i skoro boisz się o swoje bezpieczeństwo to chyba jednak nie masz wyjebane 🐱 

[14.1.2021 | 23:54:28] [FiczetoX]: W sumie mam teraz 2 wolne postacie 

[14.1.2021 | 23:54:36] [FiczetoX]: Jakby ktoś szukal wątku 

[16.1.2021 | 16:45:16] [🅼🅸🅺]: <@&787669581861748736> 

[16.1.2021 | 16:45:25] [🅼🅸🅺]: Chce ktoś z Tommy? 

[16.1.2021 | 17:3:11] [Grylled]: nwm 

[16.1.2021 | 18:43:14] [🅼🅸🅺]: <@630520180211974204>  chcesz Saszke i Tommiego? 

[16.1.2021 | 18:48:5] [Grylled]: hmmmmm 

[16.1.2021 | 18:48:45] [Grylled]: Sasza raczej nie będzie zadowolona że o niej zapomniał xd 

[16.1.2021 | 18:49:32] [🅼🅸🅺]: Nie zapomniał. Najwyżej się pobiją 

[16.1.2021 | 18:49:40] [Grylled]: ok 

[16.1.2021 | 19:42:21] [Grylled]: <@553688850921291787> ? 

[16.1.2021 | 19:44:14] [🅼🅸🅺]: Gdzie robimy? 

[16.1.2021 | 19:44:33] [Grylled]: no ona narazie się kuruje na swojej bazie 

[16.1.2021 | 19:45:7] [🅼🅸🅺]: To u cb? 

[16.1.2021 | 20:7:2] [Grylled]: yep 

[16.1.2021 | 22:25:6] [Grylled]: Ktoś coś z moim czołgistą? 

[17.1.2021 | 15:25:37] [_Zack_]: !watek 

[17.1.2021 | 15:25:47] [_Zack_]: mhm 

[17.1.2021 | 15:25:54] [_Zack_]: ŻUGAM WĄDGU 

[17.1.2021 | 15:26:31] [krasnal ogrodowy niko]: <@&789087411224838154> 

[17.1.2021 | 15:26:35] [_Zack_]: aaaa 

[17.1.2021 | 15:26:36] [_Zack_]: xd 

[18.1.2021 | 14:43:17] [Shittykawa✨]: Potrzebuje wątku z postacią która się zna na robotyce xD 

[18.1.2021 | 14:43:24] [Shittykawa✨]: Oznaczyłabym ale nie mogę 

[18.1.2021 | 14:43:25] [Shittykawa✨]: Oop 

[18.1.2021 | 14:45:58] [🅼🅸🅺]: Tommy jest zajęty niestety 

[18.1.2021 | 14:47:20] [Shittykawa✨]: Nie no nie ma problemu 

[18.1.2021 | 14:47:40] [Shittykawa✨]: Y: ||w razie czego mówię o tej postaci|| 

[18.1.2021 | 14:48:5] [🅼🅸🅺]: Tommy: ||Spoko, a to ja|| 

[18.1.2021 | 21:14:41] [Grylled]: KK! A to ja :D 

[18.1.2021 | 21:15:21] [krasnal ogrodowy niko]: N: Ja ci tyle znaków daje Yōsuke a ty dalej nie wiesz o co chodzi -,- 

[18.1.2021 | 22:57:30] [Grylled]: S!Nie komentuje tego 

[18.1.2021 | 22:59:11] [cheeto pizzerini]: h! i dobrze 

[18.1.2021 | 23:31:58] [Shittykawa✨]: Ej, ale ja serio nie wiem o co chodzi xdd 

[18.1.2021 | 23:32:46] [krasnal ogrodowy niko]: Brzusio mu rośnie, gadał o prokreacji, źle mu było jak się stresował= c 

[18.1.2021 | 23:33:45] [krasnal ogrodowy niko]: <@617070651089354868> 

[18.1.2021 | 23:34:40] [Shittykawa✨]: Jakim cudem on jest w ciąży 

[18.1.2021 | 23:34:49] [Shittykawa✨]: XD 

[18.1.2021 | 23:34:53] [krasnal ogrodowy niko]: W kp ma go wytłumaczone 

[18.1.2021 | 23:35:17] [krasnal ogrodowy niko]: Najpierw miał być czymś na wzór surogatki 

[18.1.2021 | 23:35:23] [krasnal ogrodowy niko]: Ale coś się popsuło i tak powstał Niko 

[18.1.2021 | 23:37:7] [Shittykawa✨]: Okiś, no i wyszło, że nie czytałam xD 

[18.1.2021 | 23:37:17] [krasnal ogrodowy niko]: ... 

[20.1.2021 | 22:13:45] [Grylled]: Gdoź dzoź? 

[20.1.2021 | 22:20:10] [Grylled]: nie ok 

[26.1.2021 | 20:37:32] [just Niko.™]: <@600040141276577845> tu możesz szukać wątku 

[26.1.2021 | 20:37:44] [Last Rose Sneep]: Wiem 

[27.1.2021 | 12:25:23] [just Niko.™]: <@&787669581861748736> szukajcie wątków, albo odwieszajcie bo strefa RP lekko zastała 

[27.1.2021 | 12:26:0] [tsuki]: Komena, ja na razie większość wszędzie zawiesiłam 

[27.1.2021 | 12:38:13] [Grylled]: hmmm 

[27.1.2021 | 12:52:16] [Last Rose Sneep]: No to na twoje polecenie: szukam wątku 

[27.1.2021 | 12:52:29] [just Niko.™]: <@&789087411224838154> 

[27.1.2021 | 13:3:50] [Last Rose Sneep]: Pingajcie mnie jak coś 

[27.1.2021 | 13:5:59] [Grylled]: hmmm 

[27.1.2021 | 19:44:4] [Last Rose Sneep]: Ile chętnych 

[27.1.2021 | 19:44:14] [Last Rose Sneep]: Nie wszyscy na raz 

[27.1.2021 | 19:44:41] [just Niko.™]: Ja mam wolną postać 

[27.1.2021 | 19:45:20] [just Niko.™]: Ja mam wolną postać 

[27.1.2021 | 20:37:45] [Grylled]: ja mam aż dwie 

[27.1.2021 | 20:37:55] [Grylled]: Saszeńkę i Czołgistę 

[27.1.2021 | 20:37:57] [just Niko.™]: <@600040141276577845> 

[27.1.2021 | 20:38:0] [Grylled]: S!Yo 

[27.1.2021 | 20:38:5] [Grylled]: KK!Yo 

[27.1.2021 | 20:38:17] [Last Rose Sneep]: To moge popisać 

[27.1.2021 | 20:38:22] [Last Rose Sneep]: Gdzie chcesz? 

[27.1.2021 | 20:38:40] [Grylled]: Ale kto? xd 

[27.1.2021 | 20:39:46] [Last Rose Sneep]: Kto kolwiek ona mnie pingneła ale jak będziesz pierwszy to ty 

[27.1.2021 | 20:39:50] [Last Rose Sneep]: Mi jest obojętnie 

[27.1.2021 | 20:41:29] [Last Rose Sneep]: <@630520180211974204> to jak? 

[27.1.2021 | 20:54:40] [Grylled]: hmmm no spoko 

[27.1.2021 | 20:55:5] [just Niko.™]: Co 

[27.1.2021 | 20:55:8] [just Niko.™]: COOOOOO 

[27.1.2021 | 20:55:12] [just Niko.™]: Kto. 

[27.1.2021 | 20:58:23] [Last Rose Sneep]: Nie wiem 

[27.1.2021 | 20:58:38] [Last Rose Sneep]: Jak chcecie można trójkącik 

[27.1.2021 | 20:58:54] [Last Rose Sneep]: Znaczy wątek w trójke 

[27.1.2021 | 20:59:47] [just Niko.™]: Nie nie 

[27.1.2021 | 20:59:49] [just Niko.™]: Spoko 

[27.1.2021 | 20:59:51] [just Niko.™]: Możecie pisać 

[27.1.2021 | 21:3:1] [Grylled]: hmm to kim mam pisać? 

[27.1.2021 | 21:8:6] [Last Rose Sneep]: Ze mną 

[27.1.2021 | 21:8:14] [Last Rose Sneep]: Dobra wybierz gdzię 

[27.1.2021 | 21:8:18] [Last Rose Sneep]: Gdzie* 

[27.1.2021 | 21:11:36] [Last Rose Sneep]: <@630520180211974204> 

[27.1.2021 | 21:14:59] [Grylled]: Saszkę mam w strefie a Czołgistą mogę wszędzie 

[27.1.2021 | 21:15:1] [Grylled]: <@600040141276577845> 

[27.1.2021 | 21:15:22] [Last Rose Sneep]: Ty wybieraj ja nie ogarniam mapy na razie 

[27.1.2021 | 21:15:38] [Last Rose Sneep]: Brzmi debilnie jak na pisane rp ale mi się przydaje 

[27.1.2021 | 21:17:52] [Last Rose Sneep]: To nie wiem chodź może do baru 

[27.1.2021 | 21:17:58] [Last Rose Sneep]: Jeśli moge jako bezstronny 

[27.1.2021 | 21:18:0] [Last Rose Sneep]: <@630520180211974204> 

[27.1.2021 | 21:19:27] [Grylled]: noooo spoko 

[27.1.2021 | 21:22:4] [Last Rose Sneep]: <#789262267895906314> 

[27.1.2021 | 21:24:17] [Grylled]: <@697153934246150185> a ty chcesz pisać? 

[27.1.2021 | 21:24:38] [just Niko.™]: Wy sobie piszcie UwU 

[27.1.2021 | 21:27:6] [Grylled]: ale mam jeszcze jedną postać 

[27.1.2021 | 23:31:1] [🅼🅸🅺]: <@&789087411224838154> 

[27.1.2021 | 23:31:14] [🅼🅸🅺]: Tommy jest w szpitalu, można go odwiedzić 

[27.1.2021 | 23:31:59] [Grylled]: no narazie saszka zajęta 

[27.1.2021 | 23:32:21] [🅼🅸🅺]: Wiem 

[28.1.2021 | 18:3:14] [🅼🅸🅺]: <@&789087411224838154> 

[28.1.2021 | 18:3:54] [Last Rose Sneep]: Biedny małceł 

[28.1.2021 | 18:4:10] [🅼🅸🅺]: Why 

[28.1.2021 | 18:4:58] [Last Rose Sneep]: Za każdym razem jak mam ping stąd to od ciebie 

[28.1.2021 | 18:8:9] [🅼🅸🅺]: Oh... 

[28.1.2021 | 18:22:24] [Grylled]: oof 

