[27.1.2021 | 21:24:56] [Last Rose Sneep]: **Moxie**
[28.1.2021 | 17:16:15] [Grylled]: S!Upiła spory łyk ze szklanki gdy otrzymała drinka-Śmierć to jedno. Przeżyć to drugie. A opowiedzieć o tym to trzecie. By takie rzeczy robić trzeba mieć nerwy ze stali a cele? One znajdują się po drodze. 

[28.1.2021 | 17:20:12] [Last Rose Sneep]: O: -mam dar, ale zbyt się boje by go wykorzystać, myślałem że nie spoczne na mojej drodze, ćwiczyłem dużo ale teoria a praktyka... między nimi zawszs jsst przepaść, i często kiedy starasz się stanąć na pozornie łatwej drodze ona się komplikuje, a twoje osiągnięcia są niedoceniane 

[28.1.2021 | 17:21:23] [Last Rose Sneep]: O: Zbyt się boję aby pójść o krok dalej na tej drodze, bo przede mną jest przepaść 

[28.1.2021 | 17:24:41] [Last Rose Sneep]: //ale poeta ze mnie 

[28.1.2021 | 17:48:12] [Last Rose Sneep]: <@630520180211974204> 

[28.1.2021 | 17:56:3] [Last Rose Sneep]: O: -przepraszam że podszedłem do tego tak metaforycznie, mam nadzieje że mnie rozumiesz 

[28.1.2021 | 17:58:6] [Grylled]: S!-To dwa kroki wcześniej zamknij oczy. Proste jak konstrukcja cepa.-Widocznie zebrało się saszy na filozoficzne wywody.-nie stawiaj kroków wstecz. Tylko staraj się wykonać inny krok byle nie za siebie.-Powiedziała spoglądając na niego.-Gdy przekroczysz przepaść bądź swoje granice to z czasem będziesz coś robił tak naturalnie jak mruganie. Tak jak ja pociąganie z spust 

[28.1.2021 | 17:59:50] [Last Rose Sneep]: O: -Tylko nie wiem jak zacząć, boje się że skoczę zbyt mocne i lądując wywale się i rozwale sobie łeb, masz jakąś jeszcze rade? 

[28.1.2021 | 18:9:47] [Last Rose Sneep]: <@630520180211974204> 

[28.1.2021 | 18:25:3] [Last Rose Sneep]: O: Najgorsze w rym wszystkim jest to że dostałem wielki dar, dzięki któremu mógł bym pomóc wielu ludziom 

[28.1.2021 | 18:36:15] [Last Rose Sneep]: ))ping jak coś 

[28.1.2021 | 19:32:41] [Grylled]: S!-To pomagaj. Jak to mówią...jeśli coś masz? To to pokaż. Więc wiesz działanie idzie w parze z takimi czynnościami jak oddychanie. Moc jest częścią ciebie. 

