[7.1.2021 | 18:13:29] [Kara Chan]: 'claim 18 
[10.1.2021 | 22:6:43] [Trash]: <:emoji_12:780167751863894047> <:emoji_12:780167751863894047> <:emoji_12:780167751863894047> <:emoji_12:780167751863894047> <:emoji_12:780167751863894047> <:emoji_12:780167751863894047> <:emoji_12:780167751863894047> <:emoji_12:780167751863894047> <:emoji_12:780167751863894047> <:emoji_12:780167751863894047> <:emoji_12:780167751863894047> <:emoji_12:780167751863894047> <:emoji_11:780167282143920158> <:emoji_11:780167282143920158> <:emoji_11:780167282143920158> <:emoji_11:780167282143920158> <:emoji_11:780167282143920158> <:emoji_11:780167282143920158> <:emoji_11:780167282143920158> <:emoji_11:780167282143920158> 🩹 🩹 🩹 🩹 🩹 🩹 🩹 🩹 🩹 🩹 

[10.1.2021 | 22:6:58] [Trash]: ZjebzjebzjebzjebzjebzjebzjebzjebzjebzjebzjebzjebzjebzjebzjebzjebzjebzjebzjebzjebzjebZjebzjebzjebzjebzjebzjebzjebzjebzjebzjebzjebzjebzjebzjebzjebzjebzjebzjebzjebzjebzjebZjebzjebzjebzjebzjebzjebzjebzjebzjebzjebzjebzjebzjebzjebzjebzjebzjebzjebzjebzjebzjeb 

[10.1.2021 | 22:7:42] [Trash]: .bal 

[10.1.2021 | 22:7:45] [Trash]: .with all 

[10.1.2021 | 22:7:48] [Trash]: .dep all 

[10.1.2021 | 22:8:26] [Trash]: .top 

[10.1.2021 | 22:9:5] [Trash]: Wow jestem 5 <:emoji_10:780167257204326422> <:emoji_19:783061995351179314> <:emoji_40:783338999405740062> 💅 <:emoji_2:779301232736469052> 🪄 <:emoji_7:779369233473077248> <:emoji_6:779368641288077382> <:emoji_11:780167282143920158> <:emoji_4:779367208534409267> <:emoji_13:780167933480927233> 🩹 <:emoji_9:780167019378114560> 💕 😻 

[10.1.2021 | 22:14:0] [fockus17]: .slut 

[10.1.2021 | 22:14:1] [fockus17]: .crime 

[10.1.2021 | 22:14:4] [fockus17]: .work 

[10.1.2021 | 22:14:7] [fockus17]: .dep all 

[10.1.2021 | 22:14:10] [fockus17]: .with all 

[10.1.2021 | 22:14:16] [fockus17]: .roulette all red 

[10.1.2021 | 22:14:55] [fockus17]: .bj all 

[10.1.2021 | 22:14:59] [fockus17]: Stand 

[10.1.2021 | 22:15:6] [fockus17]: .roulette all black 

[11.1.2021 | 12:56:23] [Trash]: .work 

[11.1.2021 | 12:56:26] [Trash]: . slut 

[11.1.2021 | 12:56:29] [Trash]: .crime 

[11.1.2021 | 12:56:34] [Trash]: Japierdole 

[11.1.2021 | 12:56:47] [Trash]: Sama siebie co kurwa 

[11.1.2021 | 12:56:51] [Trash]: .with all 

[11.1.2021 | 12:56:54] [Trash]: .dep all 

[11.1.2021 | 12:56:56] [Trash]: .bal 

[11.1.2021 | 14:54:24] [Mangoludek]: .work 

[11.1.2021 | 14:54:29] [Mangoludek]: .crime 

[11.1.2021 | 14:54:33] [Mangoludek]: .slut 

[11.1.2021 | 14:54:40] [Mangoludek]: .bal 

[11.1.2021 | 14:58:59] [Kara]: .work 

[11.1.2021 | 14:59:3] [Kara]: .slut 

[11.1.2021 | 14:59:7] [Kara]: .crime 

[11.1.2021 | 14:59:11] [Kara]: .dep- 

[11.1.2021 | 14:59:18] [Kara]: -,- 

[11.1.2021 | 14:59:23] [Kara]: .dep all 

[11.1.2021 | 14:59:26] [Kara]: .bal 

[11.1.2021 | 14:59:31] [Kara]: .top 

[11.1.2021 | 14:59:47] [Kara]: 4 

[11.1.2021 | 16:11:32] [Yukizome Chiiiisa]: .work 

[11.1.2021 | 16:11:35] [Yukizome Chiiiisa]: .slut 

[11.1.2021 | 16:11:37] [Yukizome Chiiiisa]: .crime 

[11.1.2021 | 16:11:44] [Yukizome Chiiiisa]: .bal 

[11.1.2021 | 16:11:51] [Yukizome Chiiiisa]: Jezu źle konto 

[12.1.2021 | 12:54:36] [fockus17]: .slut 

[12.1.2021 | 12:54:38] [fockus17]: .crime 

[12.1.2021 | 12:54:40] [fockus17]: .worl 

[12.1.2021 | 12:54:42] [fockus17]: .work 

[12.1.2021 | 12:54:45] [fockus17]: .dep all 

[12.1.2021 | 13:46:40] [Kara]: .work 

[12.1.2021 | 13:46:42] [Kara]: .slut 

[12.1.2021 | 13:46:43] [Kara]: .crime 

[12.1.2021 | 13:46:46] [Kara]: .dep all 

[12.1.2021 | 13:46:48] [Kara]: .bal 

[12.1.2021 | 13:46:54] [Kara]: .top 

[12.1.2021 | 14:6:10] [fockus17]: .slut 

[12.1.2021 | 14:6:12] [fockus17]: .crime 

[12.1.2021 | 14:6:14] [fockus17]: .work 

[12.1.2021 | 14:6:16] [fockus17]: .dep all 

[12.1.2021 | 14:6:18] [fockus17]: .with all 

[12.1.2021 | 14:6:20] [fockus17]: .bj all 

[12.1.2021 | 14:6:23] [fockus17]: Hit 

[12.1.2021 | 15:14:42] [Yukizome Chiiiisa]: .work 

[12.1.2021 | 15:14:44] [Yukizome Chiiiisa]: .slut 

[12.1.2021 | 15:14:48] [Yukizome Chiiiisa]: .crime 

[12.1.2021 | 15:14:53] [Yukizome Chiiiisa]: .bal 

[12.1.2021 | 21:5:21] [KoizumiMahiru]: . work 

[12.1.2021 | 21:5:26] [KoizumiMahiru]: .slut 

[12.1.2021 | 21:5:30] [KoizumiMahiru]: .crime 

[12.1.2021 | 21:5:33] [KoizumiMahiru]: .dep all 

[13.1.2021 | 0:17:33] [Mangoludek]: .work 

[13.1.2021 | 0:17:42] [Mangoludek]: .crime 

[13.1.2021 | 0:17:46] [Mangoludek]: . Slut 

[13.1.2021 | 0:17:50] [Mangoludek]: . Dep all 

[13.1.2021 | 0:17:54] [Mangoludek]: .bal 

[13.1.2021 | 0:18:4] [Mangoludek]: .work 

[13.1.2021 | 0:18:16] [Mangoludek]: .adult 

[13.1.2021 | 0:18:34] [Mangoludek]: .crime 

[13.1.2021 | 0:18:36] [Mangoludek]: . Slut 

[13.1.2021 | 0:18:48] [Mangoludek]: .dep all 

[13.1.2021 | 0:19:1] [Mangoludek]: .work 

[13.1.2021 | 0:19:4] [Mangoludek]: .crime 

[13.1.2021 | 0:19:6] [Mangoludek]: . Slut 

[13.1.2021 | 0:19:8] [Mangoludek]: . Slut 

[13.1.2021 | 0:19:10] [Mangoludek]: . Slut 

[13.1.2021 | 0:19:19] [Mangoludek]: . Slut 

[13.1.2021 | 0:19:24] [Mangoludek]: .dep all 

[13.1.2021 | 0:19:33] [Mangoludek]: .work 

[13.1.2021 | 0:19:43] [Mangoludek]: . Slut 

[13.1.2021 | 0:19:46] [Mangoludek]: .crime 

[13.1.2021 | 0:19:50] [Mangoludek]: . Slut 

[13.1.2021 | 0:19:57] [Mangoludek]: .dep all 

[13.1.2021 | 0:20:3] [Mangoludek]: .bal 

[13.1.2021 | 0:20:7] [Mangoludek]: .work 

[13.1.2021 | 0:20:10] [Mangoludek]: . Slut 

[13.1.2021 | 0:20:11] [Mangoludek]: .crime 

[13.1.2021 | 0:20:18] [Mangoludek]: .crime 

[13.1.2021 | 0:20:20] [Mangoludek]: . Slut 

[13.1.2021 | 0:20:26] [Mangoludek]: . Dep all 

[13.1.2021 | 0:21:20] [Mangoludek]: .work 

[13.1.2021 | 0:21:21] [Mangoludek]: . Slut 

[13.1.2021 | 0:21:22] [Mangoludek]: .crime 

[13.1.2021 | 0:21:28] [Mangoludek]: . Dep all 

[13.1.2021 | 0:23:6] [Mangoludek]: .crime 

[13.1.2021 | 0:23:7] [Mangoludek]: . Slut 

[13.1.2021 | 0:23:9] [Mangoludek]: .work 

[13.1.2021 | 0:23:15] [Mangoludek]: .dep all 

[13.1.2021 | 0:23:52] [Mangoludek]: .work 

[13.1.2021 | 0:23:54] [Mangoludek]: . Slut 

[13.1.2021 | 0:23:56] [Mangoludek]: .crime 

[13.1.2021 | 0:24:1] [Mangoludek]: .bj all 

[13.1.2021 | 0:24:4] [Mangoludek]: Hit 

[13.1.2021 | 0:24:7] [Mangoludek]: Hit 

[13.1.2021 | 0:25:3] [Mangoludek]: .work 

[13.1.2021 | 0:25:5] [Mangoludek]: . Slut 

[13.1.2021 | 0:25:6] [Mangoludek]: .crime 

[13.1.2021 | 0:25:19] [Mangoludek]: .with all 

[13.1.2021 | 0:25:24] [Mangoludek]: .bj all 

[13.1.2021 | 0:25:29] [Mangoludek]: Hit 

[13.1.2021 | 0:25:34] [Mangoludek]: .dep all 

[13.1.2021 | 0:25:38] [Mangoludek]: .bal 

[13.1.2021 | 0:26:26] [Mangoludek]: .crime 

[13.1.2021 | 0:26:27] [Mangoludek]: . Slut 

[13.1.2021 | 0:26:29] [Mangoludek]: .work 

[13.1.2021 | 0:26:38] [Mangoludek]: .roulette all red 

[13.1.2021 | 0:27:13] [Mangoludek]: .crime 

[13.1.2021 | 0:27:14] [Mangoludek]: . Slut 

[13.1.2021 | 0:27:15] [Mangoludek]: .work 

[13.1.2021 | 0:27:24] [Mangoludek]: .dep all 

[13.1.2021 | 0:30:52] [Mangoludek]: .work 

[13.1.2021 | 0:30:53] [Mangoludek]: . Slut 

[13.1.2021 | 0:30:54] [Mangoludek]: .crime 

[13.1.2021 | 0:31:2] [Mangoludek]: .with 20000 

[13.1.2021 | 0:31:13] [Mangoludek]: .roulette all red 

[13.1.2021 | 0:31:50] [Mangoludek]: .dep all 

[13.1.2021 | 0:31:53] [Mangoludek]: .bal 

[13.1.2021 | 0:32:8] [Mangoludek]: .work 

[13.1.2021 | 0:32:9] [Mangoludek]: . Slut 

[13.1.2021 | 0:32:11] [Mangoludek]: .crime 

[13.1.2021 | 0:32:17] [Mangoludek]: .dep all 

[13.1.2021 | 0:34:18] [Mangoludek]: .crime 

[13.1.2021 | 0:34:19] [Mangoludek]: . Slut 

[13.1.2021 | 0:34:21] [Mangoludek]: .work 

[13.1.2021 | 0:34:28] [Mangoludek]: .dep all 

[13.1.2021 | 0:36:56] [Mangoludek]: .crime 

[13.1.2021 | 0:36:57] [Mangoludek]: . Slut 

[13.1.2021 | 0:36:59] [Mangoludek]: .work 

[13.1.2021 | 0:37:3] [Mangoludek]: O kurwa 

[13.1.2021 | 0:37:8] [Mangoludek]: .bal 

[13.1.2021 | 0:39:11] [Mangoludek]: .crime 

[13.1.2021 | 0:39:13] [Mangoludek]: . Slut 

[13.1.2021 | 0:39:14] [Mangoludek]: .work 

[13.1.2021 | 0:39:24] [Mangoludek]: .bal 

[13.1.2021 | 0:41:17] [Mangoludek]: .with all 

[13.1.2021 | 0:41:22] [Mangoludek]: . Roulette all red 

[13.1.2021 | 0:42:4] [Mangoludek]: .dep all 

[13.1.2021 | 0:42:8] [Mangoludek]: .bal 

[13.1.2021 | 0:49:14] [fockus17]: <@563456983257317402> 

[13.1.2021 | 0:49:18] [fockus17]: Dawaj tu gramy 

[13.1.2021 | 0:49:21] [fockus17]: .slut 

[13.1.2021 | 0:49:23] [fockus17]: .crime 

[13.1.2021 | 0:49:25] [fockus17]: .work 

[13.1.2021 | 0:49:27] [fockus17]: .dep all 

[13.1.2021 | 0:49:30] [fockus17]: W bj 

[13.1.2021 | 0:49:32] [fockus17]: .bal 

[13.1.2021 | 0:49:41] [fockus17]: .with all 

[13.1.2021 | 0:49:42] [Mangoludek]: .with 50000 

[13.1.2021 | 0:49:43] [fockus17]: .bj all 

[13.1.2021 | 0:49:47] [fockus17]: Hit 

[13.1.2021 | 0:49:52] [Mangoludek]: .give <@568725155417948160> all 

[13.1.2021 | 0:49:55] [fockus17]: Hit 

[13.1.2021 | 0:50:7] [fockus17]: .roulette 100 red 

[13.1.2021 | 0:50:11] [fockus17]: .bal 

[13.1.2021 | 0:50:19] [fockus17]: Ja to taktycznie rozegram 

[13.1.2021 | 0:50:34] [Mangoludek]: Ty to do banku daj 

[13.1.2021 | 0:50:41] [Mangoludek]: .with 20000 

[13.1.2021 | 0:50:43] [fockus17]: Zaraz dam 

[13.1.2021 | 0:50:50] [fockus17]: .roulette 100 red 

[13.1.2021 | 0:50:54] [fockus17]: .dep all 

[13.1.2021 | 0:51:28] [fockus17]: .with 25000 

[13.1.2021 | 0:51:40] [fockus17]: .roulette all black 

[13.1.2021 | 0:51:43] [fockus17]: .bal 

[13.1.2021 | 0:51:44] [Mangoludek]: .roulette red all 

[13.1.2021 | 0:51:49] [fockus17]: Nie 

[13.1.2021 | 0:51:52] [fockus17]: Bo zjebie z 

[13.1.2021 | 0:51:55] [fockus17]: Zjebie z 

[13.1.2021 | 0:51:58] [fockus17]: Zjebiesz 

[13.1.2021 | 0:52:1] [Mangoludek]: .roulette all black 

[13.1.2021 | 0:52:5] [Mangoludek]: XD 

[13.1.2021 | 0:52:12] [fockus17]: Zjebałeś 

[13.1.2021 | 0:52:16] [fockus17]: .with all 

[13.1.2021 | 0:52:18] [Mangoludek]: .bal 

[13.1.2021 | 0:52:24] [fockus17]: .roulette all black 

[13.1.2021 | 0:53:2] [fockus17]: No i chuj 

[13.1.2021 | 0:53:9] [fockus17]: Bot się na red uwziął 

[13.1.2021 | 0:53:12] [fockus17]: .slut 

[13.1.2021 | 0:53:14] [fockus17]: .crime 

[13.1.2021 | 0:53:15] [fockus17]: .work 

[13.1.2021 | 0:53:18] [fockus17]: .dep all 

[13.1.2021 | 0:53:54] [Mangoludek]: .with all 

[13.1.2021 | 0:53:57] [Mangoludek]: . Bj all 

[13.1.2021 | 0:54:1] [Mangoludek]: Stand 

[13.1.2021 | 0:54:7] [Mangoludek]: .bj all 

[13.1.2021 | 0:54:12] [Mangoludek]: Hit 

[13.1.2021 | 0:54:15] [Mangoludek]: Hit 

[13.1.2021 | 0:55:6] [fockus17]: $with all 

[13.1.2021 | 0:55:10] [fockus17]: .with all 

[13.1.2021 | 0:55:12] [fockus17]: .sm all 

[13.1.2021 | 0:55:16] [fockus17]: .dep all 

[13.1.2021 | 0:56:44] [fockus17]: .with 2000 

[13.1.2021 | 0:56:56] [fockus17]: .sm all 

[13.1.2021 | 0:57:2] [fockus17]: .with all 

[13.1.2021 | 0:57:4] [fockus17]: .sm all 

[13.1.2021 | 0:57:32] [fockus17]: .slut 

[13.1.2021 | 0:57:34] [fockus17]: .crime 

[13.1.2021 | 0:57:37] [fockus17]: .work 

[13.1.2021 | 0:57:41] [fockus17]: .bj all 

[13.1.2021 | 0:57:45] [fockus17]: Hit 

[13.1.2021 | 0:57:48] [fockus17]: Hit 

[13.1.2021 | 0:57:54] [fockus17]: Hit 

[13.1.2021 | 1:3:33] [fockus17]: .slut 

[13.1.2021 | 1:3:35] [fockus17]: .ceime 

[13.1.2021 | 1:3:38] [fockus17]: .crime 

[13.1.2021 | 1:3:39] [fockus17]: .work 

[13.1.2021 | 1:3:42] [fockus17]: .dep all 

[13.1.2021 | 1:3:44] [fockus17]: .bj all 

[13.1.2021 | 1:3:50] [fockus17]: .with all 

[13.1.2021 | 1:3:53] [fockus17]: .bj all 

[13.1.2021 | 1:3:59] [fockus17]: Hit 

[13.1.2021 | 1:4:3] [fockus17]: Hit 

[13.1.2021 | 1:4:31] [fockus17]: .slut 

[13.1.2021 | 1:4:33] [fockus17]: .crime 

[13.1.2021 | 1:4:36] [fockus17]: .work 

[13.1.2021 | 1:4:40] [fockus17]: .bj all 

[13.1.2021 | 1:4:43] [fockus17]: Hit 

[13.1.2021 | 1:4:46] [fockus17]: Stand 

[13.1.2021 | 1:7:8] [fockus17]: .slut 

[13.1.2021 | 1:7:10] [fockus17]: .crime 

[13.1.2021 | 1:7:12] [fockus17]: .work 

[13.1.2021 | 1:9:32] [fockus17]: .worl 

[13.1.2021 | 1:9:34] [fockus17]: .slut 

[13.1.2021 | 1:9:36] [fockus17]: .crime 

[13.1.2021 | 1:9:37] [fockus17]: .work 

[13.1.2021 | 14:25:8] [Mangoludek]: .work 

[13.1.2021 | 14:25:10] [Mangoludek]: . Slut 

[13.1.2021 | 14:25:11] [Mangoludek]: . Crime 

[13.1.2021 | 14:25:17] [Mangoludek]: .dep all 

[13.1.2021 | 14:29:9] [VaggieTheUltimateMoth]: .work 

[13.1.2021 | 14:29:11] [VaggieTheUltimateMoth]: .slut 

[13.1.2021 | 14:29:13] [VaggieTheUltimateMoth]: .crime 

[13.1.2021 | 14:29:17] [VaggieTheUltimateMoth]: .dep all 

[13.1.2021 | 14:29:24] [VaggieTheUltimateMoth]: 'claim 33 

[13.1.2021 | 14:29:31] [VaggieTheUltimateMoth]: .bal 

[13.1.2021 | 14:29:37] [VaggieTheUltimateMoth]: .with all 

[13.1.2021 | 14:29:43] [VaggieTheUltimateMoth]: .dep all 

[13.1.2021 | 14:29:48] [VaggieTheUltimateMoth]: .bal 

[13.1.2021 | 14:30:8] [VaggieTheUltimateMoth]: .top 

[13.1.2021 | 14:30:24] [Mangoludek]: .work 

[13.1.2021 | 14:30:26] [Mangoludek]: . Slut 

[13.1.2021 | 14:30:27] [Mangoludek]: . Crime 

[13.1.2021 | 14:30:39] [Mangoludek]: . Dep all 

[13.1.2021 | 14:31:47] [VaggieTheUltimateMoth]: Hm 

[13.1.2021 | 14:31:49] [VaggieTheUltimateMoth]: .work 

[13.1.2021 | 14:33:22] [Mangoludek]: .work 

[13.1.2021 | 14:33:23] [Mangoludek]: . Slut 

[13.1.2021 | 14:33:24] [Mangoludek]: . Crime 

[13.1.2021 | 14:33:33] [Mangoludek]: . Dep a 

[13.1.2021 | 14:33:39] [Mangoludek]: . Dep all 

[13.1.2021 | 14:34:36] [Mangoludek]: .work 

[13.1.2021 | 14:34:37] [Mangoludek]: . Slut 

[13.1.2021 | 14:34:39] [Mangoludek]: . Crime 

[13.1.2021 | 14:37:29] [Mangoludek]: .work 

[13.1.2021 | 14:37:30] [Mangoludek]: . Slut 

[13.1.2021 | 14:37:31] [Mangoludek]: . Crime 

[13.1.2021 | 14:37:41] [Mangoludek]: $dep all 

[13.1.2021 | 14:37:48] [Mangoludek]: . Dep all 

[13.1.2021 | 14:44:51] [Yukizome Chiiiisa]: .work 

[13.1.2021 | 14:44:57] [Yukizome Chiiiisa]: .slut 

[13.1.2021 | 14:45:0] [Yukizome Chiiiisa]: .crime 

[13.1.2021 | 14:45:3] [Yukizome Chiiiisa]: .dep all 

[13.1.2021 | 14:45:10] [Yukizome Chiiiisa]: .bal 

[13.1.2021 | 15:20:28] [Mangoludek]: . Work 

[13.1.2021 | 15:20:35] [Mangoludek]: . Crime 

[13.1.2021 | 15:20:38] [Mangoludek]: Slut 

[13.1.2021 | 15:20:41] [Mangoludek]: . Slut 

[13.1.2021 | 15:20:45] [Mangoludek]: . Dep all 

[13.1.2021 | 16:41:16] [Mangoludek]: . Slut 

[13.1.2021 | 16:41:22] [Mangoludek]: . Crime 

[13.1.2021 | 16:41:25] [Mangoludek]: . Work 

[13.1.2021 | 16:41:30] [Mangoludek]: . Dep all 

[13.1.2021 | 16:41:33] [Mangoludek]: . Bal 

[13.1.2021 | 16:43:56] [Mangoludek]: $slut 

[13.1.2021 | 16:43:59] [Mangoludek]: . Slut 

[13.1.2021 | 16:44:5] [Mangoludek]: . Crime 

[13.1.2021 | 16:44:9] [Mangoludek]: . Work 

[13.1.2021 | 16:44:12] [Mangoludek]: . Dep all 

[13.1.2021 | 17:32:59] [fockus17]: .slut 

[13.1.2021 | 17:33:2] [fockus17]: .crimd 

[13.1.2021 | 17:33:5] [fockus17]: .crime 

[13.1.2021 | 17:33:7] [fockus17]: .work 

[13.1.2021 | 17:33:13] [fockus17]: .with all 

[13.1.2021 | 17:33:20] [fockus17]: .roulette all red 

[13.1.2021 | 17:34:8] [fockus17]: .dep all 

[13.1.2021 | 17:34:13] [fockus17]: .with 3000 

[13.1.2021 | 17:34:15] [fockus17]: .bj 3000 

[13.1.2021 | 17:34:19] [fockus17]: Hit 

[13.1.2021 | 17:34:22] [fockus17]: Stand 

[13.1.2021 | 17:34:27] [fockus17]: .with 3000 

[13.1.2021 | 17:34:30] [fockus17]: .bj 3000 

[13.1.2021 | 17:34:33] [fockus17]: Hit 

[13.1.2021 | 17:34:37] [fockus17]: Hit 

[13.1.2021 | 17:43:42] [Mangoludek]: . Crime 

[13.1.2021 | 17:43:52] [Mangoludek]: . Slut 

[13.1.2021 | 18:35:30] [Mangoludek]: . Crime 

[13.1.2021 | 18:35:34] [Mangoludek]: . Slut 

[13.1.2021 | 18:35:37] [Mangoludek]: . Work 

[13.1.2021 | 18:35:40] [Mangoludek]: . Dep all 

[13.1.2021 | 18:38:40] [Mangoludek]: . Work 

[13.1.2021 | 18:38:45] [Mangoludek]: .sult 

[13.1.2021 | 18:38:55] [Mangoludek]: . Slur 

[13.1.2021 | 18:38:58] [Mangoludek]: . Slut 

[13.1.2021 | 18:39:2] [Mangoludek]: . Crime 

[13.1.2021 | 18:39:7] [Mangoludek]: . Dep all 

[13.1.2021 | 18:39:9] [Mangoludek]: .bal 

[13.1.2021 | 18:39:24] [Mangoludek]: . Roulette all red 

[13.1.2021 | 21:50:2] [Mangoludek]: . Work 

[13.1.2021 | 21:50:7] [Mangoludek]: .crime 

[13.1.2021 | 21:50:10] [Mangoludek]: . Slut 

[13.1.2021 | 21:50:16] [Mangoludek]: . Dep all 

[13.1.2021 | 21:50:54] [Mangoludek]: . Slut 

[13.1.2021 | 21:50:56] [Mangoludek]: .crime 

[13.1.2021 | 21:50:58] [Mangoludek]: . Work 

[13.1.2021 | 22:6:23] [Mangoludek]: . Slut 

[13.1.2021 | 22:6:23] [Mangoludek]: .crime 

[13.1.2021 | 22:6:24] [Mangoludek]: . Work 

[13.1.2021 | 22:59:41] [Mangoludek]: . Work 

[13.1.2021 | 22:59:44] [Mangoludek]: . Crime 

[13.1.2021 | 22:59:48] [Mangoludek]: . Slut 

[13.1.2021 | 22:59:52] [Mangoludek]: .del all 

[13.1.2021 | 22:59:59] [Mangoludek]: . Dep all 

[13.1.2021 | 23:18:6] [fockus17]: .slut 

[13.1.2021 | 23:18:13] [fockus17]: .crime 

[13.1.2021 | 23:18:15] [fockus17]: .work 

[13.1.2021 | 23:18:19] [fockus17]: .dep all 

[13.1.2021 | 23:18:20] [fockus17]: .bal 

[13.1.2021 | 23:18:26] [fockus17]: 'claim 83 

[14.1.2021 | 12:47:39] [VaggieTheUltimateMoth]: .work 

[14.1.2021 | 12:47:42] [VaggieTheUltimateMoth]: . slut 

[14.1.2021 | 12:47:44] [VaggieTheUltimateMoth]: .crime 

[14.1.2021 | 12:47:48] [VaggieTheUltimateMoth]: . bal 

