[27.1.2021 | 10:17:47] [bart.bruk]: <@!689129555549618269> mam sprawę 
[27.1.2021 | 10:37:8] [👑 _PRYMEK_ 👑]: Ok? 

[27.1.2021 | 10:37:11] [bart.bruk]: wydaje mi się że zamknął okno w google 

[27.1.2021 | 10:37:25] [👑 _PRYMEK_ 👑]: Nie rozumiem 

[27.1.2021 | 10:37:28] [👑 _PRYMEK_ 👑]: Po prostu jest off 

[27.1.2021 | 10:37:37] [👑 _PRYMEK_ 👑]: Bo odechciało mu się teraz pisać 

[27.1.2021 | 10:37:37] [bart.bruk]: tak 

[27.1.2021 | 10:37:46] [bart.bruk]: zakłopotany był 

[27.1.2021 | 10:37:51] [bart.bruk]: chyba 

[27.1.2021 | 10:37:54] [👑 _PRYMEK_ 👑]: Zapytaj się go 

[27.1.2021 | 10:37:55] [👑 _PRYMEK_ 👑]: ? 

[27.1.2021 | 10:37:59] [👑 _PRYMEK_ 👑]: I mi powiec 

[27.1.2021 | 10:38:0] [👑 _PRYMEK_ 👑]: Ok? 

[27.1.2021 | 10:38:5] [👑 _PRYMEK_ 👑]: Zadzwoń do niego 

[27.1.2021 | 10:38:9] [bart.bruk]: ja bym się tak poczuł 

[27.1.2021 | 10:38:28] [👑 _PRYMEK_ 👑]: Ale wiesz on nie był tyle aktywny co maluszek 

[27.1.2021 | 10:39:14] [👑 _PRYMEK_ 👑]: Daj konkretny powód to go przedstawię 

[27.1.2021 | 10:39:22] [👑 _PRYMEK_ 👑]: Bo ja też jestem za tym żeby dostał moda 

[27.1.2021 | 10:40:4] [bart.bruk]: jego rodzice są wymagający i konsekwentni dla tego nie jest aktywny ciągle ma kary itp. 

[27.1.2021 | 10:40:4] [👑 _PRYMEK_ 👑]: Ale najpierw zadzwoń do niego 

[27.1.2021 | 10:40:12] [👑 _PRYMEK_ 👑]: Aha 

[27.1.2021 | 10:40:12] [👑 _PRYMEK_ 👑]: Ok 

[27.1.2021 | 10:40:17] [👑 _PRYMEK_ 👑]: Zadzwoń do niego 

[27.1.2021 | 10:40:20] [👑 _PRYMEK_ 👑]: Bo może jest 

[27.1.2021 | 10:40:21] [bart.bruk]: już zadzwoniłem 

[27.1.2021 | 10:40:24] [👑 _PRYMEK_ 👑]: Zakłopotany 

[27.1.2021 | 10:40:27] [👑 _PRYMEK_ 👑]: Sytuacja w domu 

[27.1.2021 | 10:40:44] [👑 _PRYMEK_ 👑]: No to jeszcze raz 

[27.1.2021 | 10:40:47] [👑 _PRYMEK_ 👑]: I się zapytaj 

[27.1.2021 | 10:40:58] [👑 _PRYMEK_ 👑]: Czm jesteś zakłopotany bo prymek nie dał ci moda 

[27.1.2021 | 10:40:59] [👑 _PRYMEK_ 👑]: O tak 

[27.1.2021 | 10:41:5] [👑 _PRYMEK_ 👑]: Się zapytaj ok? 

[27.1.2021 | 10:43:9] [bart.bruk]: mówi że myślał że po pomocniku jest mod ale nie wie jak to powiedzieć tobie mówi też że ma nadzieje że nie rozmawiam o tym z tobą xD 

[27.1.2021 | 10:43:54] [bart.bruk]: i że jest trochę rozczarowany czy coś takiego 

[27.1.2021 | 10:44:4] [bart.bruk]: nie 

[27.1.2021 | 10:44:7] [bart.bruk]: inacze 

[27.1.2021 | 10:44:9] [bart.bruk]: j 

[27.1.2021 | 10:44:59] [👑 _PRYMEK_ 👑]: Ale mówisz serwie 

[27.1.2021 | 10:45:10] [👑 _PRYMEK_ 👑]: Bo to też jest twój kolega 

[27.1.2021 | 10:45:24] [👑 _PRYMEK_ 👑]: Także nwm czy moglibyście się zgadać 

[27.1.2021 | 10:45:29] [👑 _PRYMEK_ 👑]: Że ty mi mówisz takie 

[27.1.2021 | 10:45:30] [👑 _PRYMEK_ 👑]: Coś 

[27.1.2021 | 10:45:34] [bart.bruk]: po prostu że nie wie jak to powiedzieć i jak to załatwić 

[27.1.2021 | 10:45:37] [👑 _PRYMEK_ 👑]: A ja mu daje moda 

[27.1.2021 | 10:46:1] [bart.bruk]: gdyby się dowiedział że rozmawiałem o tym z tobą zabił by mnie chyba lol 

[27.1.2021 | 10:46:9] [👑 _PRYMEK_ 👑]: Aha ok 

[27.1.2021 | 10:46:29] [👑 _PRYMEK_ 👑]: No powiem mu 

[27.1.2021 | 10:46:33] [👑 _PRYMEK_ 👑]: Spoko 

[27.1.2021 | 10:46:38] [bart.bruk]: zamknę ticket i nie było tematu 

[27.1.2021 | 10:46:44] [bart.bruk]: xD 

[27.1.2021 | 10:46:50] [👑 _PRYMEK_ 👑]: Ok 

