[16.1.2021 | 20:34:23] [👑 _PRYMEK_ 👑]: @here 
[18.1.2021 | 19:50:55] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @🤓ping ogłoszenia🤓 

[18.1.2021 | 19:51:5] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: <@&782162414278803479> 

[18.1.2021 | 19:51:8] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: <@&782162414278803479> 

[18.1.2021 | 19:51:9] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: <@&782162414278803479> 

[18.1.2021 | 19:51:10] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @🤓ping ogłoszenia🤓 

[18.1.2021 | 19:51:15] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: <@&782162414278803479> 

[18.1.2021 | 19:51:16] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: <@&782162414278803479> 

[18.1.2021 | 19:51:19] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: <@&782162414278803479> 

[18.1.2021 | 19:51:20] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @🤓ping ogłoszenia🤓 

[18.1.2021 | 19:51:21] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @🤓ping ogłoszenia🤓 

[18.1.2021 | 19:51:26] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:51:28] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:51:30] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @here 

[18.1.2021 | 19:51:32] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @here 

[18.1.2021 | 19:52:21] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:52:24] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @🤓ping ogłoszenia🤓 

[18.1.2021 | 19:52:26] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:52:27] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:52:29] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:52:30] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:52:30] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:55:17] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: To co dalej 

[18.1.2021 | 19:55:20] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:55:27] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:55:28] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:55:30] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:55:30] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:55:31] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:55:32] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:55:33] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:55:33] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:55:34] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:55:34] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:55:39] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:55:40] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:55:41] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:55:42] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:55:43] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:55:43] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:55:44] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:55:48] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyonehttps://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:55:49] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyonehttps://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:55:50] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyonehttps://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:55:52] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyonehttps://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:55:53] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyonehttps://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:55:54] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyonehttps://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:55:55] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:55:56] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:55:57] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:56:11] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:56:16] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:56:18] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: W 

[18.1.2021 | 19:56:19] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:56:22] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @🤓ping ogłoszenia🤓 

[18.1.2021 | 19:56:22] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:56:23] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:56:24] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @🤓ping ogłoszenia🤓 

[18.1.2021 | 19:56:25] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:56:29] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:56:30] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:56:30] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:56:31] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:56:36] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone@everyone 

[18.1.2021 | 19:56:42] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone 

[18.1.2021 | 19:56:49] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone 

[18.1.2021 | 19:56:56] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone@everyone 

[18.1.2021 | 19:57:3] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: Dobra nara kuewy 

[18.1.2021 | 20:28:49] [👑 _PRYMEK_ 👑]: !delete 100 

[18.1.2021 | 20:29:5] [👑 _PRYMEK_ 👑]: !delete 100 

