[27.1.2021 | 18:7:29] [just Niko.™]: Cześć 
[28.1.2021 | 20:59:24] [just Niko.™]: <@796882491176124467> 

[28.1.2021 | 20:59:26] [just Niko.™]: QRAXAJ 

[28.1.2021 | 20:59:31] [Lyfier]: COCOCOCO 

[28.1.2021 | 20:59:45] [just Niko.™]: NICIICIIF 

[28.1.2021 | 20:59:54] [Lyfier]: OKOKOKOK 

[28.1.2021 | 21:15:16] [cheeto pizzerini]: Niko co to było na omegaverse 😹 

[28.1.2021 | 21:15:22] [cheeto pizzerini]: teraz zobaczylam 

[28.1.2021 | 21:15:34] [just Niko.™]: Przyszedłem 

[28.1.2021 | 21:15:41] [just Niko.™]: Zobaczyłem 

[28.1.2021 | 21:15:43] [just Niko.™]: I wyszedłem 

[28.1.2021 | 21:16:3] [cheeto pizzerini]: pff oki 

[28.1.2021 | 21:21:25] [Deamovsky]: jak chcesz 

[28.1.2021 | 21:34:36] [🅼🅸🅺]: Ma branie chłop 

[28.1.2021 | 21:35:15] [🅼🅸🅺]: <@796882491176124467> 

[28.1.2021 | 21:37:23] [🅼🅸🅺]: To ja cichne 

[28.1.2021 | 21:43:26] [trybik]: uciekam bo mnie wołają 

[28.1.2021 | 21:43:31] [just Niko.™]: Czemu wszyscy poszli :( 

[28.1.2021 | 21:43:36] [Lyfier]: :((( 

