[9.1.2021 | 22:23:58] [DoctorToxic]: Ała moje życie 
[9.1.2021 | 22:37:25] [DoctorToxic]: Jestem może i psychicznie trans 

[9.1.2021 | 22:37:26] [DoctorToxic]: Ale 

[9.1.2021 | 22:37:28] [DoctorToxic]: Nie fizycznie 

[9.1.2021 | 22:37:42] [cheeto pizzerini]: na chuja okresy sa wgl 

[9.1.2021 | 22:37:50] [DoctorToxic]: Tak dokładnie 

[9.1.2021 | 22:37:52] [cheeto pizzerini]: obylo by sie bez tego kompletnie 

[9.1.2021 | 22:37:58] [DoctorToxic]: No właśnie 

[9.1.2021 | 22:38:7] [DoctorToxic]: Pieprzona biologia 

[9.1.2021 | 22:40:30] [krasnal ogrodowy niko]: Mnie rozwala to, jak bardzo mają dobrze ci, którzy są zjebani, a ci, którzy się naprawdę starają, całe życie mają pod górkę 

[9.1.2021 | 22:40:52] [DoctorToxic]: Ta racja 

[9.1.2021 | 22:42:38] [DoctorToxic]: Dlaczego po prostu nie mogę się wysterylizować? Wtedy nie musiałabym się męczyć z zapłodnieniem ani z miesiączkami życie było by łatwiejsze gdyby rodzice byli lepsi 

[9.1.2021 | 22:43:2] [krasnal ogrodowy niko]: Czasami wydaje mi się, jakbym po prostu nie dawał rady 

[9.1.2021 | 22:43:10] [krasnal ogrodowy niko]: Maks znika na całe dnie 

[9.1.2021 | 22:43:19] [krasnal ogrodowy niko]: Babcia musi odpoczywać, q dziadek pracuje 

[9.1.2021 | 22:43:43] [krasnal ogrodowy niko]: Ja muszę ogarniać swoją naukę, pilnować, czy Julek dobrze się uczy, zadbać o to by nie był głodny 

[9.1.2021 | 22:43:51] [🅼🅸🅺]: Niestety tak chciał bóg, lub po prostu świat. Nie znam twojej wiary. Nie możemy nic poradzić na to. Powinnaś to zaakceptować, jakby każda kobieta przeżywała okres, oraz jest to normalna rzecz. Nie wiem jakie to uczucie, ponieważ no pomyślmy nie jestem kobietą, a chłopakiem. A co do ciebie Niko. Tak to prawda, każdy jest tego dowodem. Każdy jest uważany za zjeba, ale zjeby mają inne takie osoby które uważają za zjeba. Każdy stara się jak może, ale tylko nie licznym się to udaje. 

[9.1.2021 | 22:44:19] [krasnal ogrodowy niko]: Nie wiem czy potrafię tak dłużej 

[9.1.2021 | 22:44:24] [DoctorToxic]: NIE CHCE TEGO KURWA AKCEPTOWAĆ 

[9.1.2021 | 22:44:30] [DoctorToxic]: I DON'T GIVE A FUCK 

[9.1.2021 | 22:44:34] [cheeto pizzerini]: ja sie nie staram 😶 

[9.1.2021 | 22:44:50] [cheeto pizzerini]: nie musimy akceptować czegoś nawet jeśli jest to normalne 

[9.1.2021 | 22:45:4] [🅼🅸🅺]: Nie musisz, nikt tego nie każe 

[9.1.2021 | 22:45:24] [krasnal ogrodowy niko]: Leki mnie po prostu dobijają, osłabiają j sprawiają, że nie jestem w stanie wstać z łóżka 

[9.1.2021 | 22:45:33] [krasnal ogrodowy niko]: A do tego jeszcze te problemu z żołądkiem 

[9.1.2021 | 22:46:29] [cheeto pizzerini]: właśnie ty mówisz że 'powinnyśmy' 

[9.1.2021 | 22:46:43] [DoctorToxic]: "Powinnaś go zaakceptować" 

[9.1.2021 | 22:46:48] [🅼🅸🅺]: Czasem sam nie wiem co pisze 

[9.1.2021 | 22:47:2] [cheeto pizzerini]: jak mówimy do ciebei 

[9.1.2021 | 22:47:26] [DoctorToxic]: Męskich teraz pisze formą żeńską bo dziwnie by to brzmiało w męskiej 

[9.1.2021 | 22:47:32] [Kishunia]: Usunęli mi Kp Jana Pawła II na chujowym metro RP 

[9.1.2021 | 22:47:49] [🅼🅸🅺]: ... 

[9.1.2021 | 22:47:50][Kishunia]: undefined [Image Link:https://cdn.discordapp.com/attachments/787942836359790592/797582429955031064/nieznane.jpeg] 

[9.1.2021 | 22:48:1] [cheeto pizzerini]: umm 

[9.1.2021 | 22:48:7] [🅼🅸🅺]: Mogli to wziąć za trolla 

[9.1.2021 | 22:48:13] [🅼🅸🅺]: Nie dziwię się 

[9.1.2021 | 22:48:14] [Kishunia]: Bo to był troll 

[9.1.2021 | 22:48:22] [🅼🅸🅺]: No właśnie 

[9.1.2021 | 22:48:26] [cheeto pizzerini]: a co masz w sobie złego ducha który czasami pisze za ciebie czy co? 

[9.1.2021 | 22:48:37] [Kishunia]: I tak chciałam się wyżalić bo jestem atencyjną kurwą 

[9.1.2021 | 22:48:38] [cheeto pizzerini]: przeciez wszystko piszesz świadomie ziomek 

[9.1.2021 | 22:49:6] [🅼🅸🅺]: To różne ode mnie 

[9.1.2021 | 22:49:16] [🅼🅸🅺]: Interesujące 

[9.1.2021 | 22:50:1] [cheeto pizzerini]: 🖐️ 

[9.1.2021 | 22:50:7] [DoctorToxic]: 👀👄👀 

[9.1.2021 | 22:53:0] [krasnal ogrodowy niko]: Nie lepiej to skończyć? 

[9.1.2021 | 22:53:23] [DoctorToxic]: Życie? 

[9.1.2021 | 22:53:39] [krasnal ogrodowy niko]: Mhm 

[9.1.2021 | 22:53:47] [DoctorToxic]: Proponujesz samobójstwo? 

[9.1.2021 | 22:54:12] [krasnal ogrodowy niko]: W moim przypadku 

[9.1.2021 | 22:54:26] [DoctorToxic]: Ja też chce ale nie mam jaj 

[9.1.2021 | 22:56:11] [krasnal ogrodowy niko]: Ja jestem do tego żeby 

[9.1.2021 | 22:56:14] [piołun]: Co ejst 

[9.1.2021 | 22:56:15] [krasnal ogrodowy niko]: *zdolny 

[9.1.2021 | 22:56:19] [🅼🅸🅺]: Nikt tego nie chce. Nie okłamiecie mnie. Mówicie tak, ponieważ jest wam smutno, oraz czujecie że wasze życie robi się gorsze. Jednak powinniście czuć że w waszym życiu za dzieje się coś dobrego, co was zmieni. 

[9.1.2021 | 22:56:27] [DoctorToxic]: Życie 

[9.1.2021 | 22:56:35] [piołun]: Aha 

[9.1.2021 | 22:56:55] [DoctorToxic]: Jedynie co chce dobrego w moim życiu to Brak Okresu 

[9.1.2021 | 22:57:24] [DoctorToxic]: Nic innego nie ma oprócz dobrego jedzenia 

[9.1.2021 | 22:57:26] [DoctorToxic]: Fajnych anime 

[9.1.2021 | 22:57:28] [DoctorToxic]: Gier 

[9.1.2021 | 22:57:30] [krasnal ogrodowy niko]: Jestem po jednej próbie samobójczej i wiesz? Mimo tego, że jestem otoczony wspaniałymi ludźmi, nie potrafię tego ciągnąc 

[9.1.2021 | 22:57:34] [DoctorToxic]: I odrobiny snu 

[9.1.2021 | 22:57:40] [krasnal ogrodowy niko]: Nie potrafię wierzyć w to, że coś się zmieni 

[9.1.2021 | 22:57:55] [krasnal ogrodowy niko]: Zmagam się z depresją od roku, ale...przegrywam 

[9.1.2021 | 22:57:57] [krasnal ogrodowy niko]: I ja to czuję 

[9.1.2021 | 22:58:14] [krasnal ogrodowy niko]: Wszystko we mnie umiera, coraz ciężej mi wstac z łóżka i normalnie funkcjonować 

[9.1.2021 | 22:58:54] [piołun]: No to udaj sie z wizytą do specjalisty 

[9.1.2021 | 23:8:33] [krasnal ogrodowy niko]: Znowu przepisze mi jakieś leki 

[9.1.2021 | 23:8:37] [krasnal ogrodowy niko]: Ja ich nie chce 

[9.1.2021 | 23:9:4] [piołun]: Terapia? 

[9.1.2021 | 23:10:26] [krasnal ogrodowy niko]: Nie wiem czy coś to da 

[9.1.2021 | 23:11:13] [piołun]: Like
Warto sprobowac 

[9.1.2021 | 23:11:28] [piołun]: A nawet jesli nie to moze byc smiesznie 

[9.1.2021 | 23:11:38] [DoctorToxic]: Może ty masz Niko po prostu takie nastawienie na pomoc 

[9.1.2021 | 23:11:44] [DoctorToxic]: Bez obrazy oczywiście 

[9.1.2021 | 23:11:55] [DoctorToxic]: Musisz po prostu dać sobie pomoc i tyle 

[9.1.2021 | 23:13:48] [krasnal ogrodowy niko]: Właśnie próbuje się otworzyć, próbuje o tym powiedzieć komukolwiek, ale nawet najbliższych już to męczy 

[9.1.2021 | 23:14:19] [piołun]: Męczy ich słuchanie o twoich problemach? 

[9.1.2021 | 23:14:34] [krasnal ogrodowy niko]: Co poniektórych... 

[9.1.2021 | 23:14:49] [piołun]: Nie kazdy jest przystosowany czy przyzwyczajony do sluchania i doradzania w takich sprawach 

[9.1.2021 | 23:15:6] [piołun]: Bo to tez trudne tenatt i latwo kogoś zranic 

[9.1.2021 | 23:15:48] [piołun]: Najlepiej miec kogos, kto xhxe słuchać o tym co cie trapi i będzie staral sie razem z tobą szukać rozwiązania 

[9.1.2021 | 23:16:0] [krasnal ogrodowy niko]: Mhm... 

[9.1.2021 | 23:16:11] [piołun]: Takiej osoby nie będzie to męczylo czy cos 

[9.1.2021 | 23:24:47] [Deamovsky]: sporo tutaj pisaliście jak mnie nie było 

[9.1.2021 | 23:41:19] [po prostu kaczka]: Dosłownie mówienie komus ze bog tak chciał i mam to zaakceptować jest chujooowe 

[9.1.2021 | 23:41:57] [po prostu kaczka]: Same bryo 

[9.1.2021 | 23:42:27] [piołun]: Kazdy to wie kaczka 

[9.1.2021 | 23:42:33] [po prostu kaczka]: Hehe 

[9.1.2021 | 23:43:20] [po prostu kaczka]: No i od tego są specjaliści aby wlasnie sluchac o problemach twoich a nieprzeszkoleni ludzie niw wiedzą co zrobic i obarcza to ich psychikę 

[9.1.2021 | 23:44:46] [piołun]: Ale to dobrze, ze probuje o tym z kims porozmaeiac kaczka 

[9.1.2021 | 23:45:12] [piołun]: Ze stara sie zaufać rodzinie i powiedzieć co go trapi 

[9.1.2021 | 23:45:26] [piołun]: Bo wsparcie od najblizszych tez jest wazbe 💁 

[9.1.2021 | 23:45:28] [po prostu kaczka]: Znaczy taaak 

[9.1.2021 | 23:45:39] [piołun]: Bo ty tak po nim pojechalas 

[9.1.2021 | 23:45:44] [piołun]: Szast prast 

[9.1.2021 | 23:45:46] [po prostu kaczka]: Tylko jakby tłumacze dlaczego bliscy mogą nienwiedziec co odpowiedzieć itp 

[9.1.2021 | 23:45:58] [piołun]: Twoi dziadkowie sa nieprzeszkoleni i ich ranisz 

[9.1.2021 | 23:46:0] [po prostu kaczka]: Ze to nie dlatego ze go nie lubią albo mają dosc bo nie 

[9.1.2021 | 23:46:3] [piołun]: Szast prast 

[9.1.2021 | 23:46:15] [po prostu kaczka]: Tylko są niegotowi na takie sytuacje lub nie umieją się zachowac 

[9.1.2021 | 23:46:27] [po prostu kaczka]: Ugh nie że on tylko ogólnie 

[9.1.2021 | 23:46:41] [po prostu kaczka]: To zawsze przykre dla kogoś gdy bliska osoba ma depresję a on nie wie jak jej pomóc 

[9.1.2021 | 23:46:41] [piołun]: Niektorzy maja dosc gdy ktos non stop mowi jak mu uest zle, ale taka osoba zazwyczaj o tym mowi 

[9.1.2021 | 23:46:53] [piołun]: W mniej lub bardziej delikatny sposov 

[9.1.2021 | 23:47:0] [po prostu kaczka]: No tak 

[9.1.2021 | 23:47:37] [piołun]: Ye, ale dobrze by bylo, gdyby nie musial tez udawsc cnie 

[9.1.2021 | 23:48:44] [po prostu kaczka]: Ale to nie chodzi ze do JEGO jako osoby maja dosc 

[9.1.2021 | 23:49:4] [po prostu kaczka]: Nie chodzi tu o to aby przestac mowic co cie trapo 

[9.1.2021 | 23:49:8] [po prostu kaczka]: Bo dobrze jest mowic 

[9.1.2021 | 23:49:18] [po prostu kaczka]: Ale aby zrozumiec ze to trudne dla niektorych 

[19.1.2021 | 0:7:28] [_Zack_]: Dlaczego Polacy nie czytają książek 

[19.1.2021 | 0:7:40] [_Zack_]: Dlaczego tak dużo osób czyta jakieś mangi 

[19.1.2021 | 0:7:44] [_Zack_]: Dlaczego 

[19.1.2021 | 10:18:50] [_Zack_]: manga to komiks 

[19.1.2021 | 10:19:12] [_Zack_]: manga < książka 

[19.1.2021 | 10:19:46] [Kishunia]: Nid 

[19.1.2021 | 10:19:52] [_Zack_]: chociaż ogólnie 

[19.1.2021 | 10:19:57] [_Zack_]: komiks < książka 

[19.1.2021 | 10:20:14] [Kishunia]: What are you pierdoling bruh? 

[19.1.2021 | 10:20:25] [_Zack_]: o życiu 

[19.1.2021 | 10:21:0] [Kishunia]: W komiksach przynajmniej masz bezpośrednio, jak prezentują się bohaterowie i sceny 

[19.1.2021 | 10:21:5] [FiczetoX]: Komiks=Magazyn=Gazeta=Książka 

[19.1.2021 | 10:21:8] [Kishunia]: A w książce, tylko tekst 

[19.1.2021 | 10:21:19] [Kishunia]: Jednolity 

[19.1.2021 | 10:21:30] [Kishunia]: Bez żadnych uciekawień. 

[19.1.2021 | 10:21:33] [FiczetoX]: A to nie zawsze 

[19.1.2021 | 10:22:1] [Kishunia]: A w komiksie, przynajmniej ten tekst nie jest jednym ciągiem tylko faktycznie widać że postacie rozmawiają 

[19.1.2021 | 10:22:2] [_Zack_]: bo książka jest dla tych co potrafią używać wyobraźni 

[19.1.2021 | 10:22:13] [_Zack_]: i nie muszą mieć wszystko czarno na białym 

[19.1.2021 | 10:22:31] [FiczetoX]: Ekhem, <#787765876858421258> 

[19.1.2021 | 10:22:45] [_Zack_]: ale was boli to 

[19.1.2021 | 10:22:54] [_Zack_]: <:ragepepe:787730984346976286> 

[19.1.2021 | 10:23:19] [Kishunia]: Znaczna część populacji, już odstawia książki na bok. 

[19.1.2021 | 10:23:24] [Kishunia]: Wiesz dlaczego? 

[19.1.2021 | 10:23:32] [Kishunia]: Po prostu nie mają nic do zaoferowania 

[19.1.2021 | 10:24:51] [_Zack_]: nie po porstu ludzie są za głupi żeby je zrozumieć to jedna przyczyna, a drugą to żyjemy w erze cyfrowej. Ludzie wolą grać w gry. Ogółem ludzie wola jak się myśli za nich 

[19.1.2021 | 10:26:21] [Kishunia]: Pierwsza lepsza scena z książki, którą mam pod ręką. Akurat jest to Wesele:
Kasia: Kiej na ogrodzie rosi.
Kasper: kiejbyśmy byli sami!...
Jasiek: Kasper - idzie pod stodołę.
Kasia: po co? - idzie ty.
Kasper: Wis, bracie, idź ty pirwy - namość słome." 

[19.1.2021 | 10:26:33] [_Zack_]: xd 

[19.1.2021 | 10:26:33] [Kishunia]: Fragment dialogu na randkowej stronie 

[19.1.2021 | 10:26:41] [_Zack_]: zalezy też co czytasz 

[19.1.2021 | 10:26:45] [emm]: ja wale... każdy lubi co innego. Niektórzy wolą mangi, niektórzy książki i po co się o to spinać 

[19.1.2021 | 10:27:1] [krasnal ogrodowy niko]: A ja lubię mangi i książki 

[19.1.2021 | 10:27:13] [krasnal ogrodowy niko]: || CO JEST NAWET W TYM JESTEM NIENORMALNY || 

[19.1.2021 | 10:27:20] [_Zack_]: wesele to dosyć stara książka więc się nie dziw 

[19.1.2021 | 10:27:41] [_Zack_]: 1/2 rep 

[19.1.2021 | 10:27:49] [Kishunia]: Mam jeszcze Nie-boską komedie, z której mogę też Ci przytoczyć fragment z randomowej strony 

[19.1.2021 | 10:28:18] [_Zack_]: to może spróbuj przeczytać coś z gatunku który lubisz a nie lektury szkolne 

[19.1.2021 | 10:28:39] [Kishunia]: I jeszcze jakieś pierdoły, typu największe podboje, "co? Gdzie? Kiedy?" I jakąś biologiczną 

[19.1.2021 | 10:28:58] [_Zack_]: aha xd 

[19.1.2021 | 10:29:18] [_Zack_]: i ty gadasz o takich rzeczy jak nawet nie masz żadnej zwykłej książki 

[19.1.2021 | 10:30:0] [Kishunia]: Bo nie interesują mnie książki. 

[19.1.2021 | 10:30:4] [Kishunia]: Żyjemy w czasach 

[19.1.2021 | 10:30:14] [Kishunia]: Gdzie możesz znaleźć w internecie 

[19.1.2021 | 10:30:23] [Kishunia]: I tam też przeczytać 

[19.1.2021 | 10:30:51] [Kishunia]: Choćby takie metro 

[19.1.2021 | 10:30:54] [Kishunia]: Albo stalker 

[19.1.2021 | 10:31:12] [_Zack_]: no ale metro to książka 

[19.1.2021 | 10:31:19] [Kishunia]: Stalker też 

[19.1.2021 | 10:31:25] [_Zack_]: ebook to nadal książka 

[19.1.2021 | 10:31:31] [_Zack_]: tylko w cyfrowej formie 

[19.1.2021 | 10:31:34] [Kishunia]: No o tym właśnie mówię 

[19.1.2021 | 10:31:51] [_Zack_]: mi chodzi ogólnie o książki 

[19.1.2021 | 10:32:14] [Kishunia]: Lubię metro, samo w sobie, czytałam fragment i ani troche, mnie nie zainteresowało. 

[19.1.2021 | 10:32:23] [_Zack_]: ja np. wolę papierową wersję, ale to już takie moje własne przekonanie 

[19.1.2021 | 10:32:42] [_Zack_]: jak można lubić uniwersum, którego się nie zna 

[19.1.2021 | 10:32:47] [Kishunia]: Papier czy elektroniczny to już pierdoła. 

[19.1.2021 | 10:32:58] [Kishunia]: Śmieszne. 

[19.1.2021 | 10:33:16] [_Zack_]: wiesz na tych wszystkich fandomach nie poznasz wszystkiego 

[19.1.2021 | 10:33:31] [_Zack_]: poza tym ludzie z fandomów pierw przeczytali książkę 

[19.1.2021 | 10:33:39] [Kishunia]: Metro jest tak samo wyruchane, jak Swords art online, albo Attack on titam 

[19.1.2021 | 10:33:45] [krasnal ogrodowy niko]: #dyskusje 

[19.1.2021 | 10:33:46] [_Zack_]: i wiele z fandomów to ich interpretacja 

[19.1.2021 | 10:33:49] [Kishunia]: Każdy wie o co w tym chodzi, a nie oglądał 

[19.1.2021 | 10:33:50] [krasnal ogrodowy niko]: <#787765876858421258> 

[19.1.2021 | 10:34:14] [Kishunia]: Ja na fandomy, rzadko zaglądam. 

[19.1.2021 | 10:34:48] [_Zack_]: może wie o czym mniej więcej wie ale ta książka ma 400 stron i jednak dużo więcej zawiera oprócz samej fabuły 

[19.1.2021 | 10:34:48] [emm]: <#787765876858421258> 

[19.1.2021 | 10:34:54] [Kishunia]: Tyle co muszę, z powodu KP jak się wzoruje, lub po prostu potrzebuje z jakiegoś powodu 

[19.1.2021 | 10:35:10] [emm]: ;-; 

[19.1.2021 | 10:35:14] [Kishunia]: 400 stron, o niczym nie świadczy 

[19.1.2021 | 10:35:35] [Kishunia]: Niektórzy, potrafią opisać krzak na 2 kartki 

[19.1.2021 | 10:35:39] [_Zack_]: czytałem tą książke i mówie ci że w tych 400 stronach znajdziesz bardzo wiele 

[19.1.2021 | 10:35:50] [emm]: ;-; 

[19.1.2021 | 10:35:51] [_Zack_]: a opisy są akurat krótkie 

[19.1.2021 | 10:35:56] [emm]: <#787765876858421258> 

[19.1.2021 | 10:36:1] [_Zack_]: no już się tak nie sraj jezu 

[19.1.2021 | 10:36:3] [Kishunia]: Still, długość nie oznacza jakość 

[19.1.2021 | 10:36:16] [_Zack_]: chodź na dyskusje bo zabijo 

[19.1.2021 | 10:36:21] [emm]: tak. 

[19.1.2021 | 10:36:31] [Kishunia]: Co Ci poradzę. 

[19.1.2021 | 10:36:43] [Kishunia]: I tak po krótce, nie mam zbyt ochoty grać. 

[19.1.2021 | 10:36:54] [emm]: . . . 

[19.1.2021 | 10:37:7] [Kishunia]: Nawet jak mnie wyjebią, to zbyt mnie to nie poruszy 

[19.1.2021 | 10:38:8] [_Zack_]: xd 

[19.1.2021 | 10:38:21] [emm]: ok 

[19.1.2021 | 10:40:0] [Kishunia]: Pewien admin, powiedział. (Masz na <#787765832033107968>) 

[19.1.2021 | 12:22:55] [18seba03]: jak dla mnie to są na równi 

