[7.1.2021 | 16:56:15] [Eωil]: JEbać <@!674351923607896110> 
[11.1.2021 | 15:27:6] [NoOne]: witam 

[11.1.2021 | 15:27:17] [Invejosa]: Hwj 

[11.1.2021 | 15:29:46] [FiczetoX]: Już 15 

[11.1.2021 | 15:51:31] [AlicjaPl]: hej, sa tutaj jakies kobiety? 

[11.1.2021 | 15:52:0] [Invejosa]: Sa, a co się dzieje? 

[11.1.2021 | 15:53:30] [AlicjaPl]: mam takie pytania troche nietypowe do rozmowy z chłopakami 

[11.1.2021 | 15:54:11] [NoOne]: Przejdźcie na czat prywatny, przypuszczam, że będzie wtedy przyjemniej się rozmawiało 

[11.1.2021 | 15:54:26] [Invejosa]: Mialam to pisać 

[11.1.2021 | 15:54:40] [Invejosa]: Szybki Samuel :) 

[11.1.2021 | 15:58:43] [AlicjaPl]: dobra z ta invejosą pisać sie normyalnie nie da 

[11.1.2021 | 15:59:24] [AlicjaPl]: ktos inny? 

[11.1.2021 | 16:0:8] [AlicjaPl]: dlaczego nie moge everyone? 

[11.1.2021 | 16:0:12] [NoOne]: Pisz  śmiało 

[11.1.2021 | 16:0:16] [AlicjaPl]: nie 

[11.1.2021 | 16:0:25] [FiczetoX]: Dlaczego? 

[11.1.2021 | 16:0:37] [AlicjaPl]: dobra nie pytaj sie 

[11.1.2021 | 16:1:3] [FiczetoX]: Wolę się spytać 

[11.1.2021 | 16:1:13] [AlicjaPl]: lecz ja nie chce udzielić odpowiedzi 

[11.1.2021 | 16:1:15] [AlicjaPl]: nie rozumiesz? 

[11.1.2021 | 16:1:22] [FiczetoX]: Rozumiem 

[11.1.2021 | 16:1:46] [AlicjaPl]: dlaczego nie moge oznaczać rol 

[11.1.2021 | 16:2:3] [AlicjaPl]: tylko moge <@&730534940499771462> <@&777272077823639602> <@&777269536017481768> <@&730535148424003757> <@&779001674945396737> 

[11.1.2021 | 16:2:16] [FiczetoX]: Bo jest to zablokowane 

[11.1.2021 | 16:2:29] [AlicjaPl]: dobra gdzie sa normalne kobiety tutaj? 

[11.1.2021 | 16:2:48] [Asasin22]: co masz na myśli mówiąc "normalne"? 

[11.1.2021 | 16:2:58] [AlicjaPl]: spadaj kobiet szukam 

[11.1.2021 | 16:3:5] [Asasin22]: I: 

[11.1.2021 | 16:3:9] [AlicjaPl]: do pisania bo mam wazna sprawe 

[11.1.2021 | 16:3:15] [AlicjaPl]: a wy mi nie pomorzecie 

[11.1.2021 | 16:3:23] [Asasin22]: pomożecie* 

[11.1.2021 | 16:3:34] [AlicjaPl]: ale jestescie kurwa chamscy 

[11.1.2021 | 16:3:43] [FiczetoX]: A jaki jestem twój problem? 

[11.1.2021 | 16:3:56] [Agatka007]: W czym pomoc? 

[11.1.2021 | 16:4:1] [AlicjaPl]: o dobra 

[11.1.2021 | 16:4:2] [AlicjaPl]: jakas jest 

[11.1.2021 | 16:4:27] [AlicjaPl]: piedolnij pozniej ta invejose bo ona nie jest normalna 

[11.1.2021 | 16:4:47] [Agatka007]: Co takiego zrobila? 

[11.1.2021 | 16:4:47] [NoOne]: Proszę nie obrażać administracji 

[11.1.2021 | 16:5:5] [AlicjaPl]: to sie nie wtracajcie jak nie was szukam... 

[11.1.2021 | 16:5:16] [AlicjaPl]: nie wazne 

[11.1.2021 | 16:5:35] [NoOne]: Przepraszam ale jesteś w zarządzie serwera przez co mogę się wziąć jeśli ktokolwiek obraża kogokolwiek innego 

[11.1.2021 | 16:5:57] [AlicjaPl]: dla mnie jestes juz nikim 

[11.1.2021 | 16:6:10] [Agatka007]: Milej troszke. 

[11.1.2021 | 16:6:16] [NoOne]: Uważaj jak wolisz 

[11.1.2021 | 16:6:18] [NoOne]: :) 

[11.1.2021 | 16:6:20] [AlicjaPl]: dobra to choc pisac 

[11.1.2021 | 16:6:31] [AlicjaPl]: bo ta administracja reszta ma dawna 

[11.1.2021 | 16:6:48] [FiczetoX]: Czekaj, ty jesteś od Ferrunera? 

[11.1.2021 | 16:7:2] [AlicjaPl]: na jakims serwerze byl link 

[11.1.2021 | 16:7:5] [AlicjaPl]: to dolaczylam 

[11.1.2021 | 16:7:28] [AlicjaPl]: chyba od feruunera 

[11.1.2021 | 16:7:31] [AlicjaPl]: nie wiem 

[11.1.2021 | 16:7:38] [FiczetoX]: Tia, od niego 

[11.1.2021 | 16:8:35] [AlicjaPl]: a co to za znaczenie od kogo 

[11.1.2021 | 16:8:40] [AlicjaPl]: bo nierozumiem 

[11.1.2021 | 16:9:48] [AlicjaPl]: a kim jest ten ferunder co wy chcecie 

[11.1.2021 | 16:9:53] [AlicjaPl]: ? 

[11.1.2021 | 16:9:53] [AlicjaPl]: ? 

[11.1.2021 | 16:9:54] [AlicjaPl]: ? 

[11.1.2021 | 16:10:27] [NoOne]: Proszę nie spamować 

[11.1.2021 | 16:10:32] [AlicjaPl]: dobra 

[11.1.2021 | 16:10:46] [AlicjaPl]: ale kim on co to kto to 

[11.1.2021 | 16:10:54] [AlicjaPl]: <@!691924849458806794> 

[11.1.2021 | 16:15:37] [AlicjaPl]: <@!691924849458806794> 

[11.1.2021 | 16:15:40] [AlicjaPl]: teraz juz nie gadasz 

[11.1.2021 | 16:17:10] [AlicjaPl]: halooo 

[11.1.2021 | 16:17:21] [AlicjaPl]: ale ten serwer slapy 

[11.1.2021 | 16:17:24] [AlicjaPl]: slaby 

[11.1.2021 | 16:17:37] [AlicjaPl]: nawet admini nie odpisója 

[11.1.2021 | 16:17:38] [FiczetoX]: Już jestem 

[11.1.2021 | 16:17:42] [AlicjaPl]: o dobra 

[11.1.2021 | 16:17:52] [FiczetoX]: Rozładował mi się tablet 

[11.1.2021 | 16:17:53] [AlicjaPl]: to mam pytanie jezeli tutaj normalnych kobiet nie ma 

[11.1.2021 | 16:17:57] [AlicjaPl]: jasne jasne 

[11.1.2021 | 16:18:5] [AlicjaPl]: masturbujecie sie? 

[11.1.2021 | 16:18:20] [NoOne]: Z jakiego powodu tak sądzisz skoro nie znasz żadnej prywatnie? 

[11.1.2021 | 16:18:35] [AlicjaPl]: bo widze 

[11.1.2021 | 16:18:42] [AlicjaPl]: tutaj kobiety sa glupie 

[11.1.2021 | 16:18:45] [NoOne]: Pozory mylą 

[11.1.2021 | 16:18:48] [AlicjaPl]: zwlaszcza ta invejosa 

[11.1.2021 | 16:18:54] [NoOne]: Nie obrazek innych 

[11.1.2021 | 16:18:54] [AlicjaPl]: kurwa 

[11.1.2021 | 16:18:58] [NoOne]: Obrażaj* 

[11.1.2021 | 16:19:2] [AlicjaPl]: dobra 

[11.1.2021 | 16:19:8] [AlicjaPl]: cicho juz nie denerwój mnie 

[11.1.2021 | 16:19:19] [NoOne]: Wyrażam zdanie 

[11.1.2021 | 16:19:20] [FiczetoX]: Denerwuj* 

[11.1.2021 | 16:19:27] [AlicjaPl]: <@!714205832501526528> ja dalej czekam na to az odpiszesz 

[11.1.2021 | 16:20:8] [AlicjaPl]: japi 

[11.1.2021 | 16:20:11] [AlicjaPl]: erdole 

[11.1.2021 | 16:20:19] [NoOne]: Nie obrażaj innych 

[11.1.2021 | 16:20:26] [AlicjaPl]: cicho juz dobra 

[11.1.2021 | 16:20:36] [AlicjaPl]: neich agatka napisze bo chce porozmawiac 

[11.1.2021 | 16:20:56] [NoOne]: Pamiętaj, że możesz wyjść, nikt nie może Cię tu nie trzyma 

[11.1.2021 | 16:26:56] [Agatka007]: Nie odpowiem na pytanie zadane w wiadomisci prywatnej. 

[11.1.2021 | 16:33:26] [AlicjaPl]: no prosze 

[11.1.2021 | 16:33:29] [AlicjaPl]: odpowiedz 

[11.1.2021 | 16:33:43] [AlicjaPl]: bo mam problem taki 

[11.1.2021 | 16:38:5] [AlicjaPl]: jestes? 

[11.1.2021 | 16:41:11] [Agatka007]: Tak 

[11.1.2021 | 16:41:45] [Agatka007]: Akurat ja w tym problemie nie pomogę. 

[11.1.2021 | 16:42:24] [AlicjaPl]: ale tutaj jest ciulowa administracja... 

[11.1.2021 | 16:42:27] [AlicjaPl]: a admin to nawet nie odpisze 

[11.1.2021 | 16:42:31] [AlicjaPl]: taki przyje*any 

[11.1.2021 | 16:42:56] [AlicjaPl]: cala administracja jest przyje*ana i nie potrafi pomoc 

[11.1.2021 | 16:43:28] [Agatka007]: Co ma administracja do pytania ktore mi dalał*ś 

[11.1.2021 | 16:43:38] [AlicjaPl]: dałaś 

[11.1.2021 | 16:43:51] [Agatka007]: Ok 

[11.1.2021 | 16:43:53] [AlicjaPl]: ale gowno 

[11.1.2021 | 16:44:0] [AlicjaPl]: zalosni jestescie 

[11.1.2021 | 16:44:11] [AlicjaPl]: warnujecie za nic bo nawet pomoc nie chcecie 

[11.1.2021 | 16:44:21] [Agatka007]: Sluchaj 

[11.1.2021 | 16:44:40] [Agatka007]: Nie pomoge Ci z tym pytaniem. Jest nieodpowiednie. 

[11.1.2021 | 16:44:53] [AlicjaPl]: sama jestes nieodpowiednia xd 

[11.1.2021 | 16:45:10] [AlicjaPl]: ja mam problem a wy nie hcecie mi pomuc 

[11.1.2021 | 16:45:14] [NoOne]: Pomóc chce kilka osób, ale poruszasz temat tabu, o którym raczej się nie mówi otwarcie 

[11.1.2021 | 16:45:25] [AlicjaPl]: dlatego napisalam prywatnieee!!!! 

[11.1.2021 | 16:45:51] [AlicjaPl]: nawet nie wiesz oco mi chodzi 

[11.1.2021 | 16:45:58] [NoOne]: Ja nie wiem? 

[11.1.2021 | 16:46:1] [AlicjaPl]: skad wiesz oco mi chodzi? 

[11.1.2021 | 16:46:30] [NoOne]: Zadalas pytanie? 

[11.1.2021 | 16:46:36] [AlicjaPl]: no 

[11.1.2021 | 16:46:40] [NoOne]: A czytać potarcie 

[11.1.2021 | 16:46:43] [NoOne]: Potrafię* 

[11.1.2021 | 16:46:45] [AlicjaPl]: a tobie cuj do tego 

[11.1.2021 | 16:47:16] [AlicjaPl]: japierole nie usuwajcie mi wiadomosci 

[11.1.2021 | 16:47:18] [AlicjaPl]: co ja wam zrobilam 

[11.1.2021 | 16:47:30] [AlicjaPl]: to wy nie chcecie mi tylko pomoc... ale macie kur szacunek 

[11.1.2021 | 16:47:32] [NoOne]: Nie przeczytałaś regulaminu? 

[11.1.2021 | 16:47:36] [AlicjaPl]: przeczytalam 

[11.1.2021 | 16:47:48] [NoOne]: W takim razie powinnaś wiedzieć o zachowaniu kultury 

[11.1.2021 | 16:47:48] [AlicjaPl]: i wiem ze macie mi pomuc 

[11.1.2021 | 16:47:58] [AlicjaPl]: §4.5 Administracja ma obowiązek udzielania bezinteresownej, bezwzględnej pomocy użytkownikom serwera. 

[11.1.2021 | 16:48:6] [AlicjaPl]: wiec proszcze o pomoc 

[11.1.2021 | 16:48:9] [AlicjaPl]: bezinteresownie 

[11.1.2021 | 16:48:15] [NoOne]: 1.10 i 1.8 

[11.1.2021 | 16:48:18] [AlicjaPl]: a wy nie chcecie jej udzielic 

[11.1.2021 | 16:48:19] [NoOne]: <#755759966312333312> 

[11.1.2021 | 16:48:57] [AlicjaPl]: uraziliscie mnie swoim zachowaniem 

[11.1.2021 | 16:49:1] [AlicjaPl]: bo nie chcecie mi pomuc 

[11.1.2021 | 16:49:12] [AlicjaPl]: §3.6 Poruszanie tematów niestosownych, drażliwych, potrafiących urazić osoby trzecie, jest zabronione. 

[11.1.2021 | 16:49:24] [NoOne]: Owszem 

[11.1.2021 | 16:49:47] [AlicjaPl]: dla was moze byc to pytanie niestosowne 

[11.1.2021 | 16:49:50] [AlicjaPl]: a dla mnie bardzo wazne 

[11.1.2021 | 16:50:4] [AlicjaPl]: i ciul wam do tego wiec prosze o odpowiedz 

[11.1.2021 | 16:50:21] [AlicjaPl]: nie macie tolerancji pozatym 

[11.1.2021 | 16:50:27] [NoOne]: W takim razie, niestety, muszę poinformować Cię, iż prawdopodobnie, nie znajdziesz tutaj odpowiedzi 

[11.1.2021 | 16:50:48] [AlicjaPl]: bo jesteście skurwysyny 

[11.1.2021 | 16:50:56] [AlicjaPl]: japierdole! usuncie to gowno 

[11.1.2021 | 16:51:8] [NoOne]: Proszę, wyrażają się 

[11.1.2021 | 16:51:16] [AlicjaPl]: daj mi spokoj 

[11.1.2021 | 16:51:18] [AlicjaPl]: juz 

[11.1.2021 | 16:51:26] [AlicjaPl]: kur\a 

[11.1.2021 | 16:51:41] [AlicjaPl]: kurw`\/\/`a 

[11.1.2021 | 16:51:44] [NoOne]: Mam obowiązek Cię upomnieć jeśli łamiesz któryś punkt <#755759966312333312> 

[11.1.2021 | 16:51:55] [AlicjaPl]: to to zrob 

[11.1.2021 | 16:52:2] [AlicjaPl]: niech inni widza jakim jestes sku*wielem 

[11.1.2021 | 16:52:11] [AlicjaPl]: zdechnij 

[11.1.2021 | 16:52:50] [NoOne]: Upomniałem Cię już, przestrzegaj kultury i nie używaj niestosownych słów 

[11.1.2021 | 16:53:2] [AlicjaPl]: Dobra 

[11.1.2021 | 16:53:3] [AlicjaPl]: to 

[11.1.2021 | 16:53:9] [AlicjaPl]: odpowiedzcie na moje pytanie 

[11.1.2021 | 16:53:15] [AlicjaPl]: niech ta agatka odpowie 

[11.1.2021 | 16:53:20] [AlicjaPl]: bo dla mnie to warzne 

[11.1.2021 | 16:53:55] [NoOne]: Odpowiedziała Ci, że nie odpowiada, na pytania zawarte w wiadomości prywatnej 

[11.1.2021 | 16:54:20] [AlicjaPl]: aleeee waszym obowiazkiem jest udzielanie pomocy kur\wa 

[11.1.2021 | 16:54:40] [NoOne]: Owszem, ale chodzi o sprawy związane z serwerem 

[11.1.2021 | 16:54:51] [AlicjaPl]: kulwa tak ciezko zrozumiec? 

[11.1.2021 | 16:55:19] [NoOne]: Rozumiem 

[11.1.2021 | 16:55:55] [AlicjaPl]: to niech mi ona odpowie 

[11.1.2021 | 16:56:1] [AlicjaPl]: idiiioootoo 

[11.1.2021 | 16:56:59] [NoOne]: Widzę, że Ty nie rozumiesz, tego, że Agatka napisała, że nie odpowiada na pytania zawarte w wiadomości prywatnej 

[11.1.2021 | 16:57:7] [AlicjaPl]: japierdole 

[11.1.2021 | 16:57:13] [AlicjaPl]: to ona na zadne pytania nie odpowiada? 

[11.1.2021 | 16:57:17] [AlicjaPl]: wy jestescie popierdoleni 

[11.1.2021 | 16:57:27] [AlicjaPl]: zniszcze wam ten serwer kiedys 

[11.1.2021 | 16:57:34] [AlicjaPl]: zobacycie 

[11.1.2021 | 16:57:40] [AlicjaPl]: hamy jebane 

[11.1.2021 | 16:57:44] [NoOne]: Groźby są karalne 

[11.1.2021 | 16:57:51] [AlicjaPl]: dobra utkaj dziecko 

[11.1.2021 | 16:57:52] [NoOne]: I nie kulturalne 

[11.1.2021 | 16:58:11] [AlicjaPl]: Ferrunder Was pozdrawia, przyjaciele 

[11.1.2021 | 16:58:20] [AlicjaPl]: Pamiętacie mnie? 

[11.1.2021 | 16:58:35] [NoOne]: Ja osobiście nie 

[11.1.2021 | 16:58:38] [AlicjaPl]: <@!714205832501526528> 

[11.1.2021 | 16:58:45] [AlicjaPl]: Pamiętasz? Pamiętasz, pamiętasz 

[11.1.2021 | 16:58:50] [NoOne]: I nie sądzę abyśmy kiedykolwiek byli przyjaciółmi 

[11.1.2021 | 16:59:0] [AlicjaPl]: Bo nie miałeś okazji mnie poznać 

[11.1.2021 | 16:59:16] [AlicjaPl]: Agatka straciłaby konto gdyby nie pewna osoba... 

[11.1.2021 | 16:59:26] [AlicjaPl]: I z Wami też tak zrobie 

[11.1.2021 | 16:59:30] [AlicjaPl]: Wszyscy stracicie konta 

[11.1.2021 | 17:0:7] [Invejosa]: O, cześć przyjacielu 

[11.1.2021 | 17:4:19] [Agatka007]: To prawda, stracilabym. Lecz osobie ktora mi pomogla nadal za to dziekuje. 

[11.1.2021 | 17:6:55] [AlicjaPl]: Jesteście śmieciami, wiecie? 

[11.1.2021 | 17:7:34] [AlicjaPl]: A Cichy z was wszystkich to największa ku*wa, którą znam na tym świecie 

[11.1.2021 | 17:8:5] [Agatka007]: Grzeczniej troche. 

[11.1.2021 | 17:8:12] [AlicjaPl]: spokojniej Agatko 

[11.1.2021 | 17:8:17] [AlicjaPl]: Chcesz link? 

[11.1.2021 | 17:8:35] [Agatka007]: Nie, podziekuje😉 

[11.1.2021 | 17:8:47] [AlicjaPl]: http://tast.pl 

[11.1.2021 | 17:8:49] [AlicjaPl]: http://tast.pl 

[11.1.2021 | 17:10:12] [Cichy]: <@!798200718808186923>, 
Dlaczego aż tak zależy Ci na tym, by biec pod wiatr? 

[11.1.2021 | 17:11:36] [St3fan_K]: wow 180 wiadomości w godzine! 

[11.1.2021 | 17:12:2] [Agatka007]: Noo duzo 

[11.1.2021 | 17:12:14] [NoOne]: Dużo, ale nie warte przeczytania 

[11.1.2021 | 17:26:15] [NoworocznyKokoDżamboᶠᵘᶜᵏ ʸᵒᵘ]: OcO cHoDzI <:What:754801496587108453> 

[11.1.2021 | 17:26:28] [AlicjaPl]: ten serwer to porażka 

[11.1.2021 | 17:26:34] [AlicjaPl]: nie oplaca sie na nim byc 

[11.1.2021 | 17:26:37] [AlicjaPl]: jebac go 

[11.1.2021 | 17:26:40] [AlicjaPl]: ha tfu 

[11.1.2021 | 17:26:40] [NoworocznyKokoDżamboᶠᵘᶜᵏ ʸᵒᵘ]: Dlaczego lol 

[11.1.2021 | 17:26:41] [AlicjaPl]: kurwa 

[11.1.2021 | 17:26:46] [AlicjaPl]: bo administracja ma wyjebane 

[11.1.2021 | 17:27:2] [NoworocznyKokoDżamboᶠᵘᶜᵏ ʸᵒᵘ]: Wsumie tak 

[11.1.2021 | 17:27:6] [AlicjaPl]: bo administracja ma wy/eb\ne 

[11.1.2021 | 17:27:24] [NoworocznyKokoDżamboᶠᵘᶜᵏ ʸᵒᵘ]: Smutne 

[11.1.2021 | 17:27:37] [Cichy]: <@!798200718808186923>,
Interesujące posunięcie. 

[11.1.2021 | 17:27:51] [NoworocznyKokoDżamboᶠᵘᶜᵏ ʸᵒᵘ]: Ja tylko sie zapytałam oco chodzi 

[11.1.2021 | 17:27:54] [AlicjaPl]: o napisal 

[11.1.2021 | 17:28:15] [AlicjaPl]: cichy to największa szm*ata na tym serwerze 

[11.1.2021 | 17:28:19] [AlicjaPl]: uwazajcie na niego 

[11.1.2021 | 17:28:32] [NoworocznyKokoDżamboᶠᵘᶜᵏ ʸᵒᵘ]: <:What:754801496587108453> 

[11.1.2021 | 17:28:32] [Pikczel]: Ja nie mogę 

[11.1.2021 | 17:30:1] [NoworocznyKokoDżamboᶠᵘᶜᵏ ʸᵒᵘ]: Mam kfc <:PepeOk:795980596685701152> 

[11.1.2021 | 17:30:8] [AlicjaPl]: Uważajcie na Agatkę, ona jest zboczona 

[11.1.2021 | 17:30:11] [Pikczel]: Git gud 

[11.1.2021 | 17:30:15] [Pikczel]: Idc 

[11.1.2021 | 17:30:17] [NoworocznyKokoDżamboᶠᵘᶜᵏ ʸᵒᵘ]: Coooo 

[11.1.2021 | 17:30:20] [AlicjaPl]: Noo 

[11.1.2021 | 17:30:26] [AlicjaPl]: Wysyła swoje nagie zdjęcia 

[11.1.2021 | 17:30:31] [Pikczel]: Hmm? 

[11.1.2021 | 17:30:33] [AlicjaPl]: Nawet mi wysłała kilka 

[11.1.2021 | 17:30:38] [Agatka007]: Mozesz nie opowiadac klamstw? 

[11.1.2021 | 17:30:39] [NoworocznyKokoDżamboᶠᵘᶜᵏ ʸᵒᵘ]: <:PepeOk:795980596685701152> 

[11.1.2021 | 17:31:11] [Agatka007]: Wiem jest Ci źle z porazka, ale nie psuj zycia innym 

[11.1.2021 | 17:31:12] [AlicjaPl]: Kokodżambo, robimy tak by ta kurwa 'Cichy' usunął ten serwer? 

[11.1.2021 | 17:31:27] [AlicjaPl]: Kokodżambo, robimy tak by ta ku//a 'Cichy' usunął ten serwer? 

[11.1.2021 | 17:31:41] [Pikczel]: Don't 

[11.1.2021 | 17:31:50] [NoworocznyKokoDżamboᶠᵘᶜᵏ ʸᵒᵘ]: Ale 

[11.1.2021 | 17:31:55] [Pikczel]: Nie 

[11.1.2021 | 17:31:59] [Pikczel]: Odmów 

[11.1.2021 | 17:32:0] [NoworocznyKokoDżamboᶠᵘᶜᵏ ʸᵒᵘ]: Mi nikt nic nie zrobił 

[11.1.2021 | 17:32:5] [AlicjaPl]: Mi zrobili 

[11.1.2021 | 17:32:5] [Pikczel]: Dokładnie 

[11.1.2021 | 17:32:13] [NoworocznyKokoDżamboᶠᵘᶜᵏ ʸᵒᵘ]: Więc nie mam powodu 

[11.1.2021 | 17:32:18] [Pikczel]: Nom 

[11.1.2021 | 17:32:20] [AlicjaPl]: Jesteście wszyscy śmieciami 

[11.1.2021 | 17:32:20] [NoworocznyKokoDżamboᶠᵘᶜᵏ ʸᵒᵘ]: Co ci zrobili 

[11.1.2021 | 17:32:25] [NoworocznyKokoDżamboᶠᵘᶜᵏ ʸᵒᵘ]: <:Trollolololo:795980519699120178> 

[11.1.2021 | 17:32:28] [Pikczel]: Zabezpieczenia 

[11.1.2021 | 17:32:30] [AlicjaPl]: Eee 

[11.1.2021 | 17:32:36] [Pikczel]: Dokladnie 

[11.1.2021 | 17:32:40] [NoworocznyKokoDżamboᶠᵘᶜᵏ ʸᵒᵘ]: XDD 

[11.1.2021 | 17:32:42] [AlicjaPl]: Duzo mi zrobili 

[11.1.2021 | 17:32:44] [Pikczel]: Co Ci zrobili? 

[11.1.2021 | 17:32:49] [Pikczel]: Hmm? 

[11.1.2021 | 17:32:50] [AlicjaPl]: Duzo mi zrobili 

[11.1.2021 | 17:32:55] [Pikczel]: Np? 

[11.1.2021 | 17:32:55] [Agatka007]: Nie dal rady zhakować serwera i ma bol od tego 

[11.1.2021 | 17:33:10] [AlicjaPl]: 'Zhakować' haha kiedy? 

[11.1.2021 | 17:33:10] [Pikczel]: Daj przykład 

[11.1.2021 | 17:33:13] [NoworocznyKokoDżamboᶠᵘᶜᵏ ʸᵒᵘ]: Ona hakerem jest? 

[11.1.2021 | 17:33:17] [Pikczel]: Tak 

[11.1.2021 | 17:33:19] [AlicjaPl]: On* 

[11.1.2021 | 17:33:26] [NoworocznyKokoDżamboᶠᵘᶜᵏ ʸᵒᵘ]: <:What:754801496587108453> 

[11.1.2021 | 17:33:26] [Pikczel]: Uuu 

[11.1.2021 | 17:33:30] [AlicjaPl]: Nie jestem babą... 

[11.1.2021 | 17:33:38] [Pikczel]: Jakbym nie wiedział że to ferrunder 

[11.1.2021 | 17:33:44] [Pikczel]: I proszę bardzo 

[11.1.2021 | 17:33:44] [NoworocznyKokoDżamboᶠᵘᶜᵏ ʸᵒᵘ]: Co 

[11.1.2021 | 17:33:46] [AlicjaPl]: Bo Ferrunder to ja 

[11.1.2021 | 17:33:50] [Pikczel]: Wow 

[11.1.2021 | 17:33:53] [Pikczel]: Brawo 

[11.1.2021 | 17:33:55] [AlicjaPl]: Brawo 

[11.1.2021 | 17:34:5] [AlicjaPl]: Jakim cudem jeszcze nie mam bana? 

[11.1.2021 | 17:34:14] [NoworocznyKokoDżamboᶠᵘᶜᵏ ʸᵒᵘ]: Idk 

[11.1.2021 | 17:34:19] [Pikczel]: Bruh 

[11.1.2021 | 17:34:24] [NoworocznyKokoDżamboᶠᵘᶜᵏ ʸᵒᵘ]: Lubią cie 

[11.1.2021 | 17:34:25] [NoworocznyKokoDżamboᶠᵘᶜᵏ ʸᵒᵘ]: Lol 

[11.1.2021 | 17:34:32] [Cichy]: <@!798200718808186923>,
Deser na końcu. Wykończy Cie własna arogancja. 

[11.1.2021 | 17:34:40] [AlicjaPl]: a spi*dalaj 

[11.1.2021 | 17:34:45] [Pikczel]: Oof 

[11.1.2021 | 17:34:47] [NoworocznyKokoDżamboᶠᵘᶜᵏ ʸᵒᵘ]: XDDDDD 

[11.1.2021 | 17:34:51] [Pikczel]: Wiem 

[11.1.2021 | 17:35:17] [NoworocznyKokoDżamboᶠᵘᶜᵏ ʸᵒᵘ]: <:PepeOk:795980596685701152> 

[11.1.2021 | 17:35:18] [Pikczel]: Chciałbym trochę szybciej pisać by cisnąć z niego beke 

