[17.1.2021 | 21:33:19] [St3fan_K]: walną go młotek 
[26.1.2021 | 13:27:21] [..nath]: (Bayo) 

[26.1.2021 | 13:27:25] [Szop Pracz]: (papa ;) ) 

[26.1.2021 | 13:27:31] [Chmielewski002]: (Bayo) 

[26.1.2021 | 13:27:55] [Szop Pracz]: ( ja chyba też lece ) 

[26.1.2021 | 13:28:7] [Chmielewski002]: (Ok, pa) 

[26.1.2021 | 13:28:18] [Szop Pracz]: ( papa było miło (: ) 

[26.1.2021 | 14:52:49] [Chmielewski002]: Pewnego razu 

[26.1.2021 | 16:57:32] [Szop Pracz]: szop miał koszmar 

[26.1.2021 | 19:21:43] [🐬 Bluenade_]: śniło mu się że 

[26.1.2021 | 20:12:30] [Diablo2609]: został psem ~~czy coś xd~~ 

[26.1.2021 | 20:37:0] [Szop Pracz]: i pomagał wiewiórką 

[26.1.2021 | 20:50:2] [🐬 Bluenade_]: zbierać magiczne 

[26.1.2021 | 20:51:23] [Szop Pracz]: gziby mocy 

[26.1.2021 | 21:1:27] [Pikczel]: Które pozwalały mu 

[26.1.2021 | 21:1:51] [Szop Pracz]: i wiewiórką przejąć świat złem 

[27.1.2021 | 0:17:57] [Diablo2609]: Ale nagle pojawił się hycel i 

[27.1.2021 | 9:28:11] [Sverige AKA Damian.]: i zapomniał o całej sprawie i już go to dziśaj więcej nie męczyło 

[27.1.2021 | 16:24:29] [Szop Pracz]: szop rozdał soczki i jedzonko dla serwera 

[27.1.2021 | 16:24:50] [🐬 Bluenade_]: bluenade pijąc sie zakrztusiła i umarła 

[27.1.2021 | 16:25:21] [..nath]: Nath zaczęła reanimować blue i przeżyła 

[27.1.2021 | 16:25:50] [Szop Pracz]: szopowi było smutno i sie zamkną w pokoju i zaczą popłakiwać cicho 

[27.1.2021 | 16:27:3] [🐬 Bluenade_]: blue słysząc co powiedział szop (chodzi mi o pisownie) umarła na zawał 

[27.1.2021 | 16:27:32] [Szop Pracz]: szop płacze jescze mocniej 

[27.1.2021 | 16:29:7] [😔 Fox 😔]: i przyhodzi znajomy szopa (fox) i go pociesza 

[27.1.2021 | 16:31:35] [..nath]: Nath nie wie co się dzieje,wiec daje każdemu soczek i pizze 

[27.1.2021 | 16:32:30] [😔 Fox 😔]: każdy je pizze ze smakiem 

[27.1.2021 | 16:33:15] [NoOne]: A ja będąc alergikiem się przyglądam <:zezol:718113116818374707> 

[27.1.2021 | 16:33:35] [🐬 Bluenade_]: ja będąc martwa przyglądam sie z dołu 

[27.1.2021 | 16:34:20] [..nath]: Nath daje samu coś innego, żeby mógł zjeść,a blue idzie ożywić do piwnicy. Nath się udało i blue wróciła na ziemię 

[27.1.2021 | 16:34:22] [..nath]: <3 

[27.1.2021 | 16:34:40] [🐬 Bluenade_]: ej no 

[27.1.2021 | 16:34:45] [..nath]: Kc 

[27.1.2021 | 16:34:46] [🐬 Bluenade_]: z dołu twoje majteczki widziałam 

[27.1.2021 | 16:34:49] [🐬 Bluenade_]: >:c 

[27.1.2021 | 16:35:2] [..nath]: Tutaj tez co mogę pokazać uwu 

[27.1.2021 | 16:35:15] [🐬 Bluenade_]: uwu 

[27.1.2021 | 16:35:45] [NoOne]: Impreza dobiega końca, ludzie zaczynają się rozchodzić 

[27.1.2021 | 16:36:56] [😔 Fox 😔]: w domu zostają tylko Nath i blue 

[27.1.2021 | 16:37:43] [NoOne]: Siadają przy stole i zaczynają rozmowę 

[27.1.2021 | 16:54:52] [🐬 Bluenade_]: podczas rozmowy blue myśli tylko o majteczkach nath 

[27.1.2021 | 16:55:38] [NoOne]: Ale nath zmienia tamat i zaczynają rozmawiać o herbacie -_- 

[27.1.2021 | 17:16:8] [😔 Fox 😔]: po jakimś czasie 

[27.1.2021 | 17:32:40] [St3fan_K]: przyszedł Cichy 

[27.1.2021 | 17:33:1] [🐬 Bluenade_]: i zniszczył zabawe 

[27.1.2021 | 17:33:18] [Invejosa]: A następnie ją naprawił 

[27.1.2021 | 17:33:38] [St3fan_K]: dając wszystkim 

[27.1.2021 | 17:54:24] [🐬 Bluenade_]: 100zł 

[27.1.2021 | 17:55:2] [St3fan_K]: z państwowych pieniędzy 

[27.1.2021 | 22:7:36] [Yuki_chan]: Które miały być 

[27.1.2021 | 22:7:57] [NoOne]: Z napadu 

[27.1.2021 | 22:8:12] [Invejosa]: I odebrane prze zemnie 

[27.1.2021 | 22:9:32] [Yuki_chan]: Ponieważ chciałaś 

[27.1.2021 | 22:9:46] [NoOne]: Wyjechać na wakacje 

[27.1.2021 | 22:9:58] [Yuki_chan]: W góry gdzie 

[27.1.2021 | 22:11:34] [Invejosa]: Spotkałam El-Samu i wypiliśmy 

[27.1.2021 | 22:12:39] [Pikczel]: Za sukces Cichego 

[27.1.2021 | 22:16:53] [Invejosa]: I zjedliśmy 

[27.1.2021 | 22:18:29] [🐬 Bluenade_]: tosty 

[27.1.2021 | 22:18:35] [Invejosa]: Za 

[27.1.2021 | 22:18:54] [🐬 Bluenade_]: firmy? 

[27.1.2021 | 22:19:6] [Invejosa]: I 

[27.1.2021 | 22:22:20] [🐬 Bluenade_]: servera discord? 

[28.1.2021 | 14:20:16] [!!.𝓐𝓜𝓘𝓧𝓢𝓞®.!!]: I poszły ruszyli dalej w podróż 

[28.1.2021 | 14:26:27] [Szop Pracz]: w nocy zrobili obóz na szczycie góry w którym zasiali ziemniaki 

[28.1.2021 | 17:12:44] [Shibe]: I przyszedł zwierze i wzięło ziemniaki 

[28.1.2021 | 18:31:11] [Szop Pracz]: szopy zobaczyły że to wiewiórka , ziemniaki wzieli a wiewiórke zżucili z klifu 

[28.1.2021 | 21:38:45] [Szop Pracz]: szopy przetrwały przez spadochrony , zabrały ziemniaki i zrobili własny obóz z kamiłą , husky , shive i invejosą i zrobili twierdze wartą złota 

