[16.1.2021 | 16:31:38] [Cichy]: Test. 
[18.1.2021 | 8:51:59] [👑 _PRYMEK_ 👑]: Xd 

[18.1.2021 | 8:52:8] [👑 _PRYMEK_ 👑]: :emoji_21-1: 

[18.1.2021 | 8:56:4] [Stasiek]: xd 

[18.1.2021 | 9:46:37] [👑 _PRYMEK_ 👑]: A ct? 

[18.1.2021 | 9:46:40] [👑 _PRYMEK_ 👑]: I was tak byw 

[18.1.2021 | 9:59:52] [Rekin]: hej 

[18.1.2021 | 9:59:56] [Rekin]: a git a tam ? 

[18.1.2021 | 10:0:40] [👑 _PRYMEK_ 👑]: Też gitb 

[18.1.2021 | 10:0:49] [👑 _PRYMEK_ 👑]: Mamy kolejnego boosta 

[18.1.2021 | 10:0:53] [👑 _PRYMEK_ 👑]: EZ 

[18.1.2021 | 10:0:55] [👑 _PRYMEK_ 👑]: Cieszę się 

[18.1.2021 | 10:19:39] [Gloryjka]: kur 

[18.1.2021 | 10:19:44] [Gloryjka]: wa 

[18.1.2021 | 10:19:48] [Gloryjka]: musicie tyle pingowac 

[18.1.2021 | 10:20:21] [Rekin]: <@!730443939999383563> przepraszamy 

[18.1.2021 | 10:20:31] [Gloryjka]: spoko 

[18.1.2021 | 10:20:33] [Gloryjka]: tylko pls 

[18.1.2021 | 10:20:35] [Gloryjka]: litości 

[18.1.2021 | 10:21:16] [Rekin]: <@!712974785793097799> nie pingujj !!!!!!!!!!!!!! 

[18.1.2021 | 10:21:16] [Boberełełe]: za dużo pingu ;<; 

[18.1.2021 | 10:21:31] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: Sory za ping dostaniecie jakieś konta w ramach przeprosin 

[18.1.2021 | 10:21:35] [Rekin]: ludzie sie skarza 

[18.1.2021 | 10:22:34] [Rekin]: <@!712974785793097799> daj spotify premium i bedzie giit XDDDDDDDDDDDDDD 

[18.1.2021 | 10:22:42] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: Czk 

[18.1.2021 | 10:26:2] [👑 _PRYMEK_ 👑]: <@712974785793097799> 

[18.1.2021 | 10:26:4] [👑 _PRYMEK_ 👑]: Daj też 

[18.1.2021 | 10:26:12] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: Zara 

[18.1.2021 | 11:1:30] [Stasiek]: mi te 

[18.1.2021 | 12:9:0] [! _kierownicaa]: pingujecie ciągle 

[18.1.2021 | 12:9:7] [! _kierownicaa]: boli strasznie 

[18.1.2021 | 12:9:22] [Boberełełe]: bardzo 

[18.1.2021 | 12:39:53] [👑 _PRYMEK_ 👑]: Nie długo givevay 

[18.1.2021 | 13:10:7] [Boberełełe]: Fajnir 

[18.1.2021 | 13:10:9] [Boberełełe]: Fajnie* 

[18.1.2021 | 16:2:47] [👑 _PRYMEK_ 👑]: <@581373577404874752> 

[18.1.2021 | 16:2:50] [👑 _PRYMEK_ 👑]: Czm słabo 

[18.1.2021 | 16:2:50] [👑 _PRYMEK_ 👑]: ? 

[18.1.2021 | 16:2:52] [👑 _PRYMEK_ 👑]: Xd 

[18.1.2021 | 16:3:0] [👑 _PRYMEK_ 👑]: <@763675745951678474> 

[18.1.2021 | 16:3:3] [👑 _PRYMEK_ 👑]: Grasz 

[18.1.2021 | 16:3:16] [👑 _PRYMEK_ 👑]: W cru 

[18.1.2021 | 16:3:31] [Kokichi✔]: bo 4 osoby to trochę mało 

[18.1.2021 | 17:28:2] [Rekin]: <@689129555549618269> 

[18.1.2021 | 17:38:14] [👑 _PRYMEK_ 👑]: Ct? 

[18.1.2021 | 17:38:40] [Rekin]: Gramy albo dodajemy emoj ? 

[18.1.2021 | 17:38:53] [👑 _PRYMEK_ 👑]: Ok dawaj gramy i dodajemy a gadasz? 

[18.1.2021 | 17:39:3] [Rekin]: Ok 

[18.1.2021 | 18:50:35] [👑 _PRYMEK_ 👑]: Siema 

[18.1.2021 | 18:50:40] [👑 _PRYMEK_ 👑]: Jest ktoś? 

[18.1.2021 | 19:11:55] [Stasiek]: tak i siem 

[18.1.2021 | 19:44:44] [Rekin]: <@712974785793097799> po chuj pingujesz ? 

[18.1.2021 | 19:46:30] [Rekin]: @👑 _PRYMEK_ 👑#5425 

[18.1.2021 | 19:46:34] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:46:34] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:46:35] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:46:36] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:46:40] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @here 

[18.1.2021 | 19:46:42] [Rekin]: !ban 

[18.1.2021 | 19:46:42] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @here 

[18.1.2021 | 19:46:44] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: #here 

[18.1.2021 | 19:46:48] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: Wlam.by neoluki 

[18.1.2021 | 19:46:48] [Boberełełe]: Bożeeeee 

[18.1.2021 | 19:46:52] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:46:54] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:46:54] [Rekin]: .ban <@712974785793097799> 

[18.1.2021 | 19:46:56] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:47:1] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:47:2] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:47:2] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:47:6] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: Ez 

[18.1.2021 | 19:47:18] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: Włam by ! Neoluki 

[18.1.2021 | 19:47:19] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: Kc 

[18.1.2021 | 19:47:23] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:47:25] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:47:26] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:47:28] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:47:30] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:47:30] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:47:33] [Rekin]: $ban <@712974785793097799> 

[18.1.2021 | 19:47:35] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:47:38] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:47:40] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:47:43] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:47:45] [Rekin]: <@292953664492929025> 

[18.1.2021 | 19:47:49] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:47:50] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:47:51] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:47:52] [Rekin]: !ban <@712974785793097799> 

[18.1.2021 | 19:47:56] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: Xd 

[18.1.2021 | 19:47:58] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:48:1] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:48:3] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: @everyone 

[18.1.2021 | 19:48:10] [Rekin]: Kurwa chuj ci w dupę 

[18.1.2021 | 19:48:10] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:48:13] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:48:14] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:48:14] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:48:15] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:48:16] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:48:16] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:48:17] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:48:18] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:48:19] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:48:21] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:48:23] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:48:23] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:48:24] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:48:24] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:48:25] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:48:25] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:48:26] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:48:27] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:48:28] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:48:28] [✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ]: https://discord.gg/5hqtvvDD6k 

[18.1.2021 | 19:48:28] [Rekin]: !mute <@712974785793097799> 

[18.1.2021 | 19:48:52] [Rekin]: !clear 10 

[18.1.2021 | 19:48:57] [Rekin]: !clear 10 

[18.1.2021 | 19:49:37] [Rekin]: !lockdawn <#798206754542321664> 

[18.1.2021 | 19:49:43] [Stasiek]: kurwaaaaaaaaa <@!712974785793097799>  wypierdalaj 

[18.1.2021 | 19:49:51] [Rekin]: !zablokujkanal <#798206754542321664> 

[18.1.2021 | 19:50:22] [Rekin]: Kurwa 

[18.1.2021 | 19:50:23] [Stasiek]: ale on kurwa spamuje 

[18.1.2021 | 19:50:26] [Rekin]: !help 

[18.1.2021 | 19:50:35] [Stasiek]: <@!689129555549618269> 

[18.1.2021 | 19:51:3] [Rekin]: !ban 

[18.1.2021 | 19:51:21] [Stasiek]: <@!689129555549618269> 

[18.1.2021 | 19:51:27] [Stasiek]: <@!689129555549618269> 

[18.1.2021 | 19:51:37] [Rekin]: Pinguj go 

[18.1.2021 | 19:51:41] [Rekin]: <@689129555549618269> 

[18.1.2021 | 19:51:45] [Stasiek]: dawaj bądź active 

[18.1.2021 | 19:51:45] [Rekin]: <@689129555549618269> 

[18.1.2021 | 19:52:3] [Rekin]: Kurwa 

[18.1.2021 | 19:52:4] [Stasiek]: <@!689129555549618269> 

[18.1.2021 | 19:52:12] [Stasiek]: co za debil 

[18.1.2021 | 19:52:31] [🥵Lidzia❤]: !ban <@712974785793097799> 

[18.1.2021 | 19:52:40] [Rekin]: Kurwa 

[18.1.2021 | 19:52:47] [Stasiek]: no japerole 

[18.1.2021 | 19:52:56] [Stasiek]: bo się nam poodłączają 

[18.1.2021 | 19:53:9] [Rekin]: <@689129555549618269> 

[18.1.2021 | 19:55:44] [Stasiek]: japierdole <@!712974785793097799>  wypierdalaj 

[18.1.2021 | 19:56:17] [Stasiek]: a my nic nie możemy zrobić 

[18.1.2021 | 19:56:29] [Stasiek]: <@!689129555549618269>  ratuj plisss 

[18.1.2021 | 20:5:20] [Doctor Freeman]: co sie odjebało? 

[18.1.2021 | 20:6:44] [Rekin]: Rajd 

[18.1.2021 | 20:7:31] [🥵Lidzia❤]: !mute <@712974785793097799> 2h Spam everyone i innymi pingami 

[18.1.2021 | 20:7:57] [🥵Lidzia❤]: !!mute <@712974785793097799> 2h Spam everyone i innymi pingami 

[18.1.2021 | 20:8:33] [Rekin]: Wyszedł 

[18.1.2021 | 20:9:6] [Doctor Freeman]: ej bo moge im zrobić raida 

[18.1.2021 | 20:9:23] [Rekin]: Ok 

[18.1.2021 | 20:9:31] [Doctor Freeman]: oki 

[18.1.2021 | 20:27:21] [Gloryjka]: japierdole 

[18.1.2021 | 20:27:25] [Gloryjka]: kto pingowal 

[18.1.2021 | 20:27:28] [Gloryjka]: japierdole 

[18.1.2021 | 20:27:35] [Gloryjka]: ja zara kurwa nwm co zrobie 

[18.1.2021 | 20:29:54] [👑 _PRYMEK_ 👑]: Kurna 

[18.1.2021 | 20:29:57] [👑 _PRYMEK_ 👑]: <@&710547722192683058> 

[18.1.2021 | 20:30:5] [👑 _PRYMEK_ 👑]: Zawiodłem się 

[18.1.2021 | 20:30:10] [👑 _PRYMEK_ 👑]: Jest coś takiego jak cholerny mut 

[18.1.2021 | 20:30:16] [Rekin]: Dałem 

[18.1.2021 | 20:30:34] [Rekin]: Ale nie mam dostępu na <#798206754542321664> 

[18.1.2021 | 20:30:35] [👑 _PRYMEK_ 👑]: Dałeś do cholery 

[18.1.2021 | 20:30:43] [👑 _PRYMEK_ 👑]: Po czasie dałeś 

[18.1.2021 | 20:30:48] [👑 _PRYMEK_ 👑]: Jak pingował 100 razy 

[18.1.2021 | 20:31:0] [Stasiek]: kurwa straciliśmy 4 

[18.1.2021 | 20:31:7] [Stasiek]: przez tego debila 

[18.1.2021 | 20:31:20] [Rekin]: Włamał się ktoś mu na konto :( 

[18.1.2021 | 20:31:30] [👑 _PRYMEK_ 👑]: Naprawdę? 

[18.1.2021 | 20:31:34] [Stasiek]: xd jeszcze mnie wyżucił ze swojego 

[18.1.2021 | 20:31:39] [Stasiek]: aha 

[18.1.2021 | 20:31:47] [👑 _PRYMEK_ 👑]: Kurde 

[18.1.2021 | 20:32:12] [Stasiek]: ej no na pv napisał mi komende do włamywania jakołś 

[18.1.2021 | 20:32:23] [👑 _PRYMEK_ 👑]: Kto 

[18.1.2021 | 20:32:27] [Stasiek]: nwm 

[18.1.2021 | 20:32:33] [Stasiek]: napisał o to 

[18.1.2021 | 20:32:36] [👑 _PRYMEK_ 👑]: Blokuje tamta 

[18.1.2021 | 20:32:48] [Stasiek]: co ty kurwa odwalasz
✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシDziś o 19:54
Nic
Włam by @!neoluki
Ez? 

[18.1.2021 | 20:32:55] [Stasiek]: o to 

[18.1.2021 | 20:33:11] [👑 _PRYMEK_ 👑]: Hmmm 

[18.1.2021 | 20:33:28] [Rekin]: Jak kurwa 

[18.1.2021 | 20:33:33] [Rekin]: Ja bym go zbanował 

[18.1.2021 | 20:33:44] [Rekin]: Tylko nie mam permisji !!! 

[18.1.2021 | 20:33:50] [Rekin]: !ban 

[18.1.2021 | 20:33:54] [👑 _PRYMEK_ 👑]: Chwila 

[18.1.2021 | 20:33:57] [👑 _PRYMEK_ 👑]: Daj mi jego id 

[18.1.2021 | 20:34:6] [👑 _PRYMEK_ 👑]: !user @✞ঔৣ۝[PЩПYY] YMᄃ ?!♕ᴾᴿᴼシ#2115 

[18.1.2021 | 20:34:9] [👑 _PRYMEK_ 👑]: Kurna 

[18.1.2021 | 20:34:40] [👑 _PRYMEK_ 👑]: Kto ja oznaczyć 

[18.1.2021 | 20:34:43] [👑 _PRYMEK_ 👑]: Może 

[18.1.2021 | 20:34:45] [👑 _PRYMEK_ 👑]: <@&710547722192683058> 

[18.1.2021 | 20:35:3] [Rekin]: Wyszedł 

[18.1.2021 | 20:35:32] [👑 _PRYMEK_ 👑]: Kurde szkoda tych 4 osb 

[18.1.2021 | 20:35:47] [👑 _PRYMEK_ 👑]: Ej i jak to jest że mamy jeszcze 4 boosty? 

[18.1.2021 | 20:36:38] [Stasiek]: nwm 

[18.1.2021 | 20:36:44] [Rekin]: Nie 

[18.1.2021 | 20:36:48] [Rekin]: Nie mamy już 

[18.1.2021 | 20:36:57] [👑 _PRYMEK_ 👑]: Ile mamy 

[18.1.2021 | 20:37:2] [👑 _PRYMEK_ 👑]: Mi pokazuje że 4 

[18.1.2021 | 20:38:58] [👑 _PRYMEK_ 👑]: Ej 

[18.1.2021 | 20:39:0] [👑 _PRYMEK_ 👑]: Ja nwm jak wy 

[18.1.2021 | 20:39:3] [Rekin]: 712974785793097799 

[18.1.2021 | 20:39:10] [👑 _PRYMEK_ 👑]: Ale ja robię dwuetapowe logowanie 

[18.1.2021 | 20:39:12] [Rekin]: !idban 

[18.1.2021 | 20:39:19] [Rekin]: Ja też 

[18.1.2021 | 20:40:31] [👑 _PRYMEK_ 👑]: !ban 712974785793097799 o ty śmieciu wkradłeś się na konto naszego kumpla. Jesteś gównem frajerko htfuu na cb 

[18.1.2021 | 20:41:3] [👑 _PRYMEK_ 👑]: On to widzi 

[18.1.2021 | 20:41:8] [Rekin]: Tak 

[18.1.2021 | 20:49:26] [👑 _PRYMEK_ 👑]: Ej 

[18.1.2021 | 21:4:12] [👑 _PRYMEK_ 👑]: Ej <@763675745951678474> 

[18.1.2021 | 21:4:13] [👑 _PRYMEK_ 👑]: <@772758787542351892> 

[18.1.2021 | 21:4:17] [👑 _PRYMEK_ 👑]: Obojętnie kto 

[18.1.2021 | 21:4:40] [👑 _PRYMEK_ 👑]: Zna ktoś konto 

[18.1.2021 | 21:4:45] [👑 _PRYMEK_ 👑]: Jakieś inne 

[18.1.2021 | 21:5:20] [👑 _PRYMEK_ 👑]: Tego co stracił konto bo ktoś mu sie włamał 

[18.1.2021 | 21:5:27] [👑 _PRYMEK_ 👑]: ? 

[18.1.2021 | 21:8:4] [arbuz lol 2]: gra ktoś bo chce streama zrobić ale nie mam z kim pisać pv 

[18.1.2021 | 21:9:32] [Rekin]: W co ? 

[18.1.2021 | 22:43:12] [👑 _PRYMEK_ 👑]: Co tam u was 

[18.1.2021 | 22:43:13] [👑 _PRYMEK_ 👑]: ? 

[19.1.2021 | 9:32:43] [bart.bruk]: <@!689129555549618269> mamy boosta 

[19.1.2021 | 9:36:14] [👑 _PRYMEK_ 👑]: Wm 

[19.1.2021 | 9:36:18] [👑 _PRYMEK_ 👑]: <:emoji_19:795196878131953694> 

[19.1.2021 | 10:18:11] [bart.bruk]: ej <@!689129555549618269>
bo uważam że chociaż 1 osoba powinna być adminem i chociaż 1 moderatorem
bo to jest serwer z samymi pomocnikami 

[19.1.2021 | 10:18:15] [bart.bruk]: ok git 

[19.1.2021 | 10:41:27] [Stasiek]: no ja też jestem za 

[19.1.2021 | 11:15:12] [bart.bruk]: ten typ usunął <@!689129555549618269> 

[19.1.2021 | 11:15:20] [bart.bruk]: moje stare konto 

[19.1.2021 | 11:15:52] [👑 _PRYMEK_ 👑]: To ty 

[19.1.2021 | 11:15:53] [👑 _PRYMEK_ 👑]: <@790508375019356160> 

[19.1.2021 | 11:16:5] [bart.bruk]: tak to ja 

[19.1.2021 | 11:16:18] [bart.bruk]: pv 

[19.1.2021 | 11:16:24] [bart.bruk]: choć 

[19.1.2021 | 11:16:42] [Stasiek]: raczej on bo pamiętał że mnie obrabował 

[19.1.2021 | 11:43:10] [Rekin]: <@!790508375019356160> co sie stalo 

[19.1.2021 | 11:43:12] [Rekin]: XD 

[19.1.2021 | 11:43:17] [Rekin]: ze cie zbanowal 

[19.1.2021 | 11:43:37] [👑 _PRYMEK_ 👑]: Dzisiaj było dużo banów 

[19.1.2021 | 11:43:45] [👑 _PRYMEK_ 👑]: I za chwilę muszę un banować kokichiego 

[19.1.2021 | 11:46:21] [Stasiek]: wiesz już kto to? 

[19.1.2021 | 12:35:53] [Kokichi✔]: <@!689129555549618269> jestem 

[19.1.2021 | 12:36:5] [Kokichi✔]: zobacz kto mnie zaprosił 

[19.1.2021 | 12:36:12] [Kokichi✔]: <:keekw:761295533045448725> 

[19.1.2021 | 12:37:19] [👑 _PRYMEK_ 👑]: E jak <@581373577404874752> 

[19.1.2021 | 12:39:43] [👑 _PRYMEK_ 👑]: <@581373577404874752> po ataku hakerskim xD 

[19.1.2021 | 12:39:52] [👑 _PRYMEK_ 👑]: Wbił na serwer 

[19.1.2021 | 13:59:33] [👑 _PRYMEK_ 👑]: <@581373577404874752> 

[19.1.2021 | 14:0:28] [👑 _PRYMEK_ 👑]: alevel <@581373577404874752> 

[19.1.2021 | 14:0:38] [Boberełełe]: uuu 

[19.1.2021 | 14:0:48] [👑 _PRYMEK_ 👑]: Co 

[19.1.2021 | 14:0:49] [👑 _PRYMEK_ 👑]: Xd 

[19.1.2021 | 14:1:32] [Boberełełe]: duży level ma 

[19.1.2021 | 14:1:42] [Boberełełe]: czy tam wysoki 

[19.1.2021 | 14:2:2] [👑 _PRYMEK_ 👑]: Aleve 

[19.1.2021 | 14:2:5] [👑 _PRYMEK_ 👑]: Alevel 

[19.1.2021 | 14:2:16] [👑 _PRYMEK_ 👑]: XD 

[19.1.2021 | 14:2:43] [Boberełełe]: 0-0 

