[26.1.2021 | 10:40:25] [Shibe]: /propozycje Czy to moze dzialac 
[28.1.2021 | 12:32:11] [Shibe]: Moje Cechy: 😹- Śmieszek 🤪- Dziwoląg 😂- Memiarz  🙃- Zabawny 😀-Wesoły 😴-Lenich 

[28.1.2021 | 12:32:20] [Shibe]: ?rr setup 

[28.1.2021 | 12:32:22] [Shibe]: <#802118455754752040> 

[28.1.2021 | 12:32:27] [Shibe]: Moje Cechy: 😹- Śmieszek 🤪- Dziwoląg 😂- Memiarz  🙃- Zabawny 😀-Wesoły 😴-Lenich 

[28.1.2021 | 12:32:32] [Shibe]: #F01696 

[28.1.2021 | 12:32:43] [Shibe]: 😹 <@&801028235655643150> 

[28.1.2021 | 12:32:51] [Shibe]: 🤪 <@&801028235655643149> 

[28.1.2021 | 12:32:59] [Shibe]: 😂 <@&801028235655643148> 

[28.1.2021 | 12:33:6] [Shibe]: 🙃 <@&801028235655643147> 

[28.1.2021 | 12:33:15] [Shibe]: 😀 <@&801028235655643146> 

[28.1.2021 | 12:33:23] [Shibe]: 😴 <@&801028235633623049> 

[28.1.2021 | 12:33:25] [Shibe]: Done 

[28.1.2021 | 12:34:57] [Shibe]: Województwo: 🌏 -  Łódzkie 

[28.1.2021 | 12:35:2] [Shibe]: ?rr setup 

[28.1.2021 | 12:35:9] [Shibe]: <#802118455754752040> 

[28.1.2021 | 12:35:14] [Shibe]: #F01639 

[28.1.2021 | 12:35:27] [Shibe]: ?rr setup 

[28.1.2021 | 12:35:34] [Shibe]: <#802118455754752040> 

[28.1.2021 | 12:35:39] [Shibe]: Województwo: 🌏 -  Łódzkie 

[28.1.2021 | 12:35:47] [Shibe]: #F0179 

[28.1.2021 | 12:36:0] [Shibe]: 🌏  <@&801028235621564463> 

[28.1.2021 | 12:36:1] [Shibe]: Done 

[28.1.2021 | 12:42:32] [Shibe]: 4FUN: 😩-Wstydliwy 😡- Wściekły 😠- Samolubny 😿-Smutny 🧐- Asertywny 😹- Śmieszny 🤣-Wesoły 😇-Grzeczny ⛏️ -Pracowity 😴-Leniwy 🤔-Ciekawski 😳-Mądry 

[28.1.2021 | 13:23:40] [Shibe]: ?rr setup 

[28.1.2021 | 13:23:46] [Shibe]: <#802118455754752040> 

[28.1.2021 | 13:23:56] [Shibe]: 4FUN: 😩-Wstydliwy 😡- Wściekły 😠- Samolubny 😿-Smutny 🧐- Asertywny 😹- Śmieszny 🤣-Wesoły 😇-Grzeczny ⛏️ -Pracowity 😴-Leniwy 🤔-Ciekawski 😳-Mądry 

[28.1.2021 | 13:24:3] [Shibe]: #F01739 

[28.1.2021 | 13:24:14] [Shibe]: 😩 <@&801028235621564456> 

[28.1.2021 | 13:24:25] [Shibe]: 😡 <@&801028235583553545> 

[28.1.2021 | 13:24:32] [Shibe]: 😠 <@&801028235583553544> 

[28.1.2021 | 13:24:47] [Shibe]: 😿 <@&801028235583553543> 

[28.1.2021 | 13:25:10] [Shibe]: 🧐 <@&801028235583553542> 

[28.1.2021 | 13:25:18] [Shibe]: 😹 <@&801028235583553541> 

[28.1.2021 | 13:25:28] [Shibe]: 🤣 <@&801028235583553540> 

[28.1.2021 | 13:25:45] [Shibe]: 😇 <@&801028235583553539> 

[28.1.2021 | 13:25:56] [Shibe]: ⛏️ <@&801028235583553538> 

[28.1.2021 | 13:26:5] [Shibe]: 😴 <@&801028235583553537> 

[28.1.2021 | 13:26:24] [Shibe]: 🤔 <@&801028235583553536> 

[28.1.2021 | 13:27:1] [Shibe]: 😳 <@&801028235370299401> 

[28.1.2021 | 13:27:3] [Shibe]: Done 

[28.1.2021 | 17:19:25] [Shibe]: !Help 

[28.1.2021 | 17:20:53] [Shibe]: ?help 

