[10.1.2021 | 13:2:11] [Cichy]: /23 
[11.1.2021 | 12:46:27] [Cichy]: \<a:Check:788816525104381952> 

[11.1.2021 | 12:46:52] [Cichy]: \<a:Administrator:788459507612254218> 

[11.1.2021 | 12:47:43] [Cichy]: \<:Uzytkownik:788459505947902073> 

[11.1.2021 | 12:48:16] [Cichy]: \<a:Powod:788459506870910986> 

[11.1.2021 | 12:48:41] [Cichy]: \<:Data:790199933692280843> 

[11.1.2021 | 12:49:21] [Cichy]: \<:Godzina:792749176554389525> 

[11.1.2021 | 14:9:24] [Cichy]: .mute 

[11.1.2021 | 14:9:29] [Cichy]: .help mute 

[11.1.2021 | 14:13:39] [Cichy]: \<a:Check:788816525104381952> 

[11.1.2021 | 14:14:7] [Cichy]: \<a:Administrator:788459507612254218> 

[11.1.2021 | 14:14:42] [Cichy]: \<:Uzytkownik:788459505947902073> 

[11.1.2021 | 14:15:9] [Cichy]: \<:Data:790199933692280843> 

[11.1.2021 | 14:15:46] [Cichy]: \<:Godzina:792749176554389525> 

[11.1.2021 | 14:16:17] [Cichy]: \<a:Check:788816525104381952> 

[11.1.2021 | 20:55:46] [Cichy]: /bs 

[11.1.2021 | 20:55:55] [Cichy]: /bs 

[11.1.2021 | 20:55:58] [Cichy]: gdrf 

[11.1.2021 | 20:55:59] [Cichy]: dr 

[11.1.2021 | 20:55:59] [Cichy]: rd 

[11.1.2021 | 20:55:59] [Cichy]: rd 

[11.1.2021 | 20:56:1] [Cichy]: /bs 

[11.1.2021 | 20:56:15] [Cichy]: /bs hello 

[11.1.2021 | 20:56:17] [Cichy]: /bs hey 

[11.1.2021 | 20:56:20] [Cichy]: /bs czesc 

[11.1.2021 | 20:58:8] [Cichy]: /google 

[11.1.2021 | 20:58:59] [Cichy]: /purchase 

[11.1.2021 | 20:59:48] [Cichy]: /purchase 54 

[11.1.2021 | 21:0:39][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798280234091806781/message.txt] 

[11.1.2021 | 21:12:28] [Cichy]: /4 

[11.1.2021 | 21:12:55] [Cichy]: /4 

[11.1.2021 | 21:12:58] [Cichy]: /-= 

[11.1.2021 | 21:13:0] [Cichy]: /========= 

[11.1.2021 | 21:13:3] [Cichy]: /---------- 

[11.1.2021 | 21:13:9] [Cichy]: /DO 

[11.1.2021 | 21:13:14] [Cichy]: /DO.POPRAW 

[11.1.2021 | 21:13:18] [Cichy]: /DO.POPRAWY 

[11.1.2021 | 21:13:21] [Cichy]: /DO.PO 

[11.1.2021 | 21:13:23] [Cichy]: /DO.PO 

[11.1.2021 | 21:13:25] [Cichy]: /DO.POPR 

[11.1.2021 | 21:13:30] [Cichy]: /DO.POPP 

[11.1.2021 | 21:13:33] [Cichy]: /DO.POPPPPPPPPP 

[11.1.2021 | 21:15:26] [Cichy]: /gi/ 

[11.1.2021 | 21:16:19] [Cichy]: /h23 

[11.1.2021 | 21:16:44] [Cichy]: /h23 

[11.1.2021 | 21:16:48] [Cichy]: /h23 

[11.1.2021 | 21:17:25] [Cichy]: /hel123 

[11.1.2021 | 21:19:55] [Cichy]: /f3 

[11.1.2021 | 21:19:55] [Cichy]: /f3 

[11.1.2021 | 21:20:24] [Cichy]: /f3 

[11.1.2021 | 21:20:46] [Cichy]: /f3 

[11.1.2021 | 21:20:54] [Cichy]: .he 

[11.1.2021 | 21:21:2] [Cichy]: .f5 

[11.1.2021 | 21:21:3] [Cichy]: .f5 

[11.1.2021 | 21:21:3] [Cichy]: .f5 

[11.1.2021 | 21:21:11] [Cichy]: .f5 

[11.1.2021 | 21:21:12] [Cichy]: .f5 

[11.1.2021 | 21:21:12] [Cichy]: .f5 

[11.1.2021 | 21:23:54] [Cichy]: .help 

[11.1.2021 | 21:23:56] [Cichy]: .help saper 

[11.1.2021 | 21:23:59] [Cichy]: .help saper 

[11.1.2021 | 21:38:51] [Cichy]: /komenda-nieodnaleziona 

[11.1.2021 | 21:42:55] [Cichy]: //il 

[11.1.2021 | 21:42:56] [Cichy]: /il 

[11.1.2021 | 21:42:59] [Cichy]: /il 

[11.1.2021 | 21:43:2] [Cichy]: /h43 

[11.1.2021 | 21:43:5] [Cichy]: /ilf43ko43ko 

[11.1.2021 | 21:43:10] [Cichy]: /il TAK 

[11.1.2021 | 21:46:12] [Cichy]: /he 

[11.1.2021 | 21:46:13] [Cichy]: /23 

[11.1.2021 | 21:46:16] [Cichy]: /43 

[11.1.2021 | 21:46:21] [Cichy]: /123 

[11.1.2021 | 22:18:38][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798299862188949504/HorseImage.webp] 

[11.1.2021 | 22:18:45][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798299892040204358/Kon.webp] 

[11.1.2021 | 22:18:50] [Cichy]: https://cdn.discordapp.com/attachments/795757264329768990/798299892040204358/Kon.webp 

[11.1.2021 | 22:21:33][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798300595277791262/Swinia.webp] 

[11.1.2021 | 22:22:36][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798300858190266378/Rybik.webp] 

[11.1.2021 | 22:23:16] [Cichy]: https://cdn.discordapp.com/attachments/795757264329768990/798300858190266378/Rybik.webp 

[11.1.2021 | 22:24:1][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798301215581536276/RybikCukrowy.gif] 

[11.1.2021 | 22:24:4] [Cichy]: https://cdn.discordapp.com/attachments/795757264329768990/798301215581536276/RybikCukrowy.gif 

[11.1.2021 | 22:24:14][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798301272042110976/RybikCukrowy.gif] 

[11.1.2021 | 22:27:36][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798302117563465738/Owca.webp] 

[11.1.2021 | 22:27:41] [Cichy]: https://cdn.discordapp.com/attachments/795757264329768990/798302117563465738/Owca.webp 

[11.1.2021 | 22:28:25][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798302323150946374/Wilk.webp] 

[11.1.2021 | 22:29:14][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798302529481867304/Owca.png] 

[11.1.2021 | 22:30:23][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798302817601060874/Krowa.png] 

[11.1.2021 | 22:31:15][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798303036506112040/Osiol.webp] 

[11.1.2021 | 22:31:20] [Cichy]: https://cdn.discordapp.com/attachments/795757264329768990/798303036506112040/Osiol.webp 

[11.1.2021 | 22:33:32][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798303609535463504/Ocelot.webp] 

[11.1.2021 | 22:35:18][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798304053863776336/Kurczak.webp] 

[11.1.2021 | 22:35:57][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798304217269141534/Pajak.webp] 

[11.1.2021 | 22:39:5][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798305009698734120/Creeper.png] 

[11.1.2021 | 22:40:24][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798305337613746256/Zombie.webp] 

[11.1.2021 | 22:41:10][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798305532100083743/Lama.png] 

[11.1.2021 | 22:42:7][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798305772706201630/Panda.webp] 

[11.1.2021 | 22:42:42][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798305916621422603/Szkielet.webp] 

[11.1.2021 | 22:55:41][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798309184947879936/d74906d39a1964e7d07555e7601b06-unscreen_1.gif] 

[11.1.2021 | 23:0:59] [Cichy]: \<a:Kategoria:787792321722187816> 

[11.1.2021 | 23:5:27] [Cichy]: /Fortnite WIMAX0220 

[11.1.2021 | 23:10:25] [Cichy]: \🩸 

[11.1.2021 | 23:10:28] [Cichy]: 🩸 

[11.1.2021 | 23:16:7][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798314326799941642/1.png] 

[11.1.2021 | 23:20:31] [Cichy]: <:Szybkostrzelnosc:798315400701542421> 

[11.1.2021 | 23:20:52] [Cichy]: \<:Szybkostrzelnosc:798315400701542421> 

[11.1.2021 | 23:21:28] [Cichy]: <:Szybkostrzelnosc:798315400701542421> Szybkostrzelność: 

[11.1.2021 | 23:24:14] [Cichy]: \<a:Loading:779115613951492156> 

[11.1.2021 | 23:24:22] [Cichy]: <a:ladowanie:694290137819119677> 

[11.1.2021 | 23:24:33] [Cichy]: <a:1loading_think:748544494412103700> 

[11.1.2021 | 23:24:45] [Cichy]: \<a:Loading:779115613951492156> 

[11.1.2021 | 23:25:44] [Cichy]: https://cdn.discordapp.com/attachments/795757264329768990/798314326799941642/1.png 

[11.1.2021 | 23:28:58] [Cichy]: \<:Money:797453898372612096> 

[11.1.2021 | 23:46:31] [Cichy]: FRAZA W DBM RAWDATA: Counter 

[11.1.2021 | 23:46:34] [Cichy]: I wejdź 

[11.1.2021 | 23:46:39] [Cichy]: Counter Channel 

[11.1.2021 | 23:46:40] [Cichy]: Sprawdź 

[11.1.2021 | 23:46:44] [Cichy]: fes 

[11.1.2021 | 23:46:45] [Cichy]: es 

[11.1.2021 | 23:47:29] [Cichy]: wda 

[11.1.2021 | 23:47:29] [Cichy]: wd 

[11.1.2021 | 23:47:29] [Cichy]: wa 

[11.1.2021 | 23:47:29] [Cichy]: d 

[11.1.2021 | 23:47:30] [Cichy]: wa 

[11.1.2021 | 23:47:30] [Cichy]: wa 

[11.1.2021 | 23:47:30] [Cichy]: dwa 

[11.1.2021 | 23:49:29] [Cichy]: /help2 

[11.1.2021 | 23:49:31] [Cichy]: /help2 

[11.1.2021 | 23:49:40] [Cichy]: /url 

[11.1.2021 | 23:49:44] [Cichy]: /ieq 

[11.1.2021 | 23:49:48] [Cichy]: /iaq 

[12.1.2021 | 0:18:20] [Cichy]: Jestem **dopracowanym** botem, posiadającym polecenia: **moderacyjne**, **ekonomiczne**, **użytkownicze**, **4fun** czy **muzyczne**. Obecnie posiadam **${tempVars("Lista_komend")}** poleceń komend. Jeżeli nie wiesz do czego służy dane polcenie, możesz posłużyć się funkcją `help <polecenie>`, aby dowiedzieć się do czego służy wymienione przez Ciebie polecenie. 


FRAZA W DBM RAWDATA: Counter
I wejdź
Counter Channel 

[12.1.2021 | 10:13:32] [Cichy]: /usunkategoria 

[12.1.2021 | 10:27:27][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798483273475031040/NiedzwiedzPolarny.webp] 

[12.1.2021 | 10:27:27][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798483273609248808/Papuga.webp] 

[12.1.2021 | 10:27:28][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798483275479121950/Lis.webp] 

[12.1.2021 | 10:27:28][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798483277249380362/Zolw.webp] 

[12.1.2021 | 10:27:29][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798483280605085766/Panda.webp] 

[12.1.2021 | 10:27:29][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798483281451810816/Nietoperz.gif] 

[12.1.2021 | 10:27:30][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798483283351830579/Endermit.webp] 

[12.1.2021 | 10:27:30][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798483284434354226/Kot.webp] 

[12.1.2021 | 10:27:30][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798483285713879060/Delfin.webp] 

[12.1.2021 | 10:27:31][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798483288616206376/Pszczola.webp] 

[12.1.2021 | 10:27:38][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798483319657725982/Pajak.webp] 

[12.1.2021 | 10:28:10][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798483453314072576/Papuga.webp] 

[12.1.2021 | 10:41:40] [Cichy]: https://cdn.discordapp.com/attachments/795757264329768990/798483453314072576/Papuga.webp 

[12.1.2021 | 10:43:39][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798487348950073354/Papuga.webp] 

[12.1.2021 | 10:44:15][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798487502650212402/Panda.webp] 

[12.1.2021 | 10:44:30][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798487563215568936/NiedzwiedzPolarny.webp] 

[12.1.2021 | 10:44:52][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798487654429753394/Endermit.webp] 

[12.1.2021 | 10:45:13][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798487743227101254/Endermit.gif] 

[12.1.2021 | 10:45:37][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798487843915563059/Lis.webp] 

[12.1.2021 | 10:45:53][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798487912919990302/Kot.webp] 

[12.1.2021 | 10:46:7][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798487971363815454/Zolw.webp] 

[12.1.2021 | 10:46:25][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798488045371523093/Delfin.webp] 

[12.1.2021 | 10:46:41][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798488114691702844/Pszczola.webp] 

[12.1.2021 | 10:47:35][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798488340353646623/BeeTypes.webp] 

[12.1.2021 | 10:48:2][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798488454446186556/BeeTypes_28Animated29.webp] 

[12.1.2021 | 10:48:16][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798488509157343262/BeeTypes.webp] 

[12.1.2021 | 10:54:21][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798490040656723968/Nietoperz.gif] 

[12.1.2021 | 10:54:47][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798490151705378826/Pszczola.png] 

[12.1.2021 | 10:55:16][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798490274580922374/Ryba.webp] 

[12.1.2021 | 10:57:38][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798490866347016192/Ryba_2.webp] 

[12.1.2021 | 10:57:48][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798490912162185246/20190130_214315.webp] 

[12.1.2021 | 11:0:40][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798491630024917002/Ryba.png] 

[12.1.2021 | 11:1:14][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798491774531272704/Slime.webp] 

[12.1.2021 | 11:1:53][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798491938692399143/Krolik.webp] 

[12.1.2021 | 11:2:42][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798492142955266058/Kalamarnica.webp] 

[12.1.2021 | 11:3:2][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798492228519329853/Squid.webp] 

[12.1.2021 | 11:3:34][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798492361323315210/Enderman.webp] 

[12.1.2021 | 11:4:20][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798492554748100648/Ender_Dragon.webp] 

[12.1.2021 | 11:5:7][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798492751434874930/EnderDragon.png] 

[12.1.2021 | 11:5:45][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798492911653879829/Wither.webp] 

[12.1.2021 | 11:7:48][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798493427591413780/Osadnik.png] 

[12.1.2021 | 11:8:32][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798493610408411156/Wiedzma.webp] 

[12.1.2021 | 11:9:16][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798493796014358569/Blaze.webp] 

[12.1.2021 | 11:21:10] [Cichy]: /mc 

[12.1.2021 | 11:21:37] [Cichy]: Polishcraft.maxc.pl 

[12.1.2021 | 11:28:3] [Cichy]: polishcraft.maxc.pl 

[12.1.2021 | 11:28:40] [Cichy]: \<a:Check:788816525104381952> 

[12.1.2021 | 11:30:21] [Cichy]: polishcraft.maxc.pl 

[12.1.2021 | 11:30:45] [Cichy]: Polishcraft.maxc.pl 

[12.1.2021 | 11:31:5] [Cichy]: 32432 

[12.1.2021 | 11:36:52] [Cichy]: \<a:Uzytkownicze:787792321885241414> 

[12.1.2021 | 11:39:13] [Cichy]: https://api.minetools.eu/favicon/Polishcraft.maxc.pl 

[12.1.2021 | 11:48:50] [Cichy]: \<:Pilka:798503678402494464> 

[12.1.2021 | 12:6:7][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/795757264329768990/798508104521351208/PilkaGIF.gif] 

[12.1.2021 | 12:23:7] [Cichy]: \<a:Uzytkownicze:787792321885241414> 

[12.1.2021 | 12:26:2] [Cichy]: \<a:Check:788816525104381952> 

[12.1.2021 | 12:27:32] [Cichy]: \<a:Temperatura:796507484734488607> 

[12.1.2021 | 13:22:12] [Cichy]: @everyone 

