[10.1.2021 | 20:54:51][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/797916380107767878/1.png] 
[15.1.2021 | 23:22:30] [Sverige AKA Damian.]: Mój kolega 

[15.1.2021 | 23:22:36] [Sverige AKA Damian.]: Chyba pijany był 

[15.1.2021 | 23:22:58] [NoOne]: Dlaczego ktoś za Tobą stoi 

[15.1.2021 | 23:23:0] [Sverige AKA Damian.]: O zdravoj 

[15.1.2021 | 23:23:13] [Sverige AKA Damian.]: Mój kolega jaja se robił 

[15.1.2021 | 23:23:20] [Asasin22]: Liga na monitorze 

[15.1.2021 | 23:23:21] [Asasin22]: es 

[15.1.2021 | 23:23:53][Sverige AKA Damian.]: undefined [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/799765825908113428/20210112_135131.jpg] 

[15.1.2021 | 23:23:54] [Sverige AKA Damian.]: Nom 

[15.1.2021 | 23:23:54] [Sverige AKA Damian.]: Troche brudne 

[15.1.2021 | 23:24:16] [Sverige AKA Damian.]: Wcześnien błyszczały ale jak mój kuzyn przyjechał to przestały błyszczeć 

[15.1.2021 | 23:24:24] [Sverige AKA Damian.]: A jak żeśmy driftowali 

[15.1.2021 | 23:25:4] [Sverige AKA Damian.]: A jedna droga była cała oblodzona to ja zrobiłem 180 i wpadłem tyłem do rowu a mój kuzyn 360 i na łąke wpadł 

[15.1.2021 | 23:25:11] [Sverige AKA Damian.]: Ale nie mam zdjęć smutne 

[15.1.2021 | 23:26:25] [NoOne]: Pamiętam quady z kuzynem 

[15.1.2021 | 23:26:27] [NoOne]: Ahhh 

[15.1.2021 | 23:27:23] [NoOne]: Pamiętam jak prawie zatrzymałem się na drzewie 🌳 

[15.1.2021 | 23:38:24] [Sverige AKA Damian.]: He he 

[19.1.2021 | 10:52:2][Sverige AKA Damian.]: undefined [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/801026170107854858/Screenshot_20200920-124527_Discord.jpg] 

[19.1.2021 | 10:52:9] [Sverige AKA Damian.]: Mój stary profil jeszcze 

[19.1.2021 | 10:52:21] [NoOne]: Kiedyś to było🥲 

[19.1.2021 | 10:52:31] [Sverige AKA Damian.]: No 20 września 

[19.1.2021 | 10:52:37] [Sverige AKA Damian.]: 2020 

[19.1.2021 | 10:53:12] [Sverige AKA Damian.]: :( 

[19.1.2021 | 10:53:23] [Sverige AKA Damian.]: Aż się wzruszyłem 

[19.1.2021 | 10:53:58] [Sverige AKA Damian.]: Że tak mocno się wbił ten serwer przez ostatni czas 

[19.1.2021 | 10:54:3] [NoOne]: Ja miesiąc później dostałem zaproszenie 

[19.1.2021 | 10:54:23] [Sverige AKA Damian.]: Uuu 

[19.1.2021 | 10:54:57] [Invejosa]: 😋 

[19.1.2021 | 10:55:46] [Sverige AKA Damian.]: Pamiętam jak cię tam o dużo rzeczy pytałem invejosa 

[19.1.2021 | 10:56:12] [Invejosa]: <:PepeYes:795980439558029334> 

[20.1.2021 | 23:24:28] [Szop Pracz]: Cute 

[20.1.2021 | 23:30:16] [NoOne]: +1 

[20.1.2021 | 23:32:56][Sverige AKA Damian.]: undefined [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/801580044853968946/IMG_20201226_101514_669.jpg] 

[20.1.2021 | 23:32:58] [Sverige AKA Damian.]: Hot or not? 

[20.1.2021 | 23:33:10] [Invejosa]: Ummm... Hot 

[20.1.2021 | 23:33:23] [NoOne]: Nie znam się <:zezol:718113116818374707> 

[20.1.2021 | 23:33:30] [Invejosa]: Przecież piękny jest! 

[20.1.2021 | 23:33:34] [Invejosa]: Piękne zdjęcie, prawda? 

[20.1.2021 | 23:33:38] [Invejosa]: ( Powiedz tak ) 

[20.1.2021 | 23:34:0] [Sverige AKA Damian.]: Iks de? 

[20.1.2021 | 23:34:1] [Szop Pracz]: Tak 

[20.1.2021 | 23:34:5] [Invejosa]: Widzisz? 

[20.1.2021 | 23:34:9] [Szop Pracz]: Ja bzytki 

[20.1.2021 | 23:34:14] [Szop Pracz]: To sir nie pokazuje 

[20.1.2021 | 23:34:26] [Szop Pracz]: Nikt nie ceni szopów 

[20.1.2021 | 23:34:42] [Sverige AKA Damian.]: Ja cenie 

[20.1.2021 | 23:34:48] [Sverige AKA Damian.]: Szopki są pienkne 

[20.1.2021 | 23:35:9] [NoOne]: Nie możesz wymusić opinii ode mnie, jeśli ma być nieszczera i bezpodstawna to jakie ma znaczenie? 

[20.1.2021 | 23:35:49] [Szop Pracz]: Żartujesz by polepszyć humor mi 

[20.1.2021 | 23:35:52][Sverige AKA Damian.]: undefined [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/801580783054618665/20210120_233632.jpg] 

[20.1.2021 | 23:36:9] [Sverige AKA Damian.]: Patrz jaki ślodki i piękny 

[20.1.2021 | 23:36:12] [Mr.BibleThump]: Słodki 

[20.1.2021 | 23:36:14] [Sverige AKA Damian.]: Aż się popłakałem 

[20.1.2021 | 23:36:24] [Sverige AKA Damian.]: Boże jak ja kocham zwierzęta 

[20.1.2021 | 23:36:27] [Szop Pracz]: Skąd masz moje zdięcie 

[20.1.2021 | 23:36:43] [Sverige AKA Damian.]: A tego nie powiem 

[20.1.2021 | 23:36:53] [Sverige AKA Damian.]: A w sumie zdradze ci 

[20.1.2021 | 23:37:8] [Szop Pracz]: Google grafika 

[20.1.2021 | 23:37:12] [Szop Pracz]: ? 

[20.1.2021 | 23:37:23] [Sverige AKA Damian.]: Kilka tygodni temu zatrudniłem kilka osób żeby ci zdjątka robiły 

[20.1.2021 | 23:37:29] [Sverige AKA Damian.]: Nir 

[20.1.2021 | 23:37:37] [Szop Pracz]: :c 

[20.1.2021 | 23:38:1] [Szop Pracz]: Ale na naprzykład invejose bede bzytki 

[20.1.2021 | 23:38:8] [Szop Pracz]: Bi jestem bzytki 

[20.1.2021 | 23:38:34] [Sverige AKA Damian.]: Nie dlaczego 

[20.1.2021 | 23:38:47] [Szop Pracz]: Bo tak 

[20.1.2021 | 23:38:58] [Szop Pracz]: Szopy są wytykane palcami 

[20.1.2021 | 23:39:5] [Szop Pracz]: W ameryce sie je zabija 

[20.1.2021 | 23:39:5] [Sverige AKA Damian.]: Jutro cię naszkicuję 

[20.1.2021 | 23:39:29] [Szop Pracz]: W japoni to pewnie robią futra 

[20.1.2021 | 23:39:39] [Sverige AKA Damian.]: Bo tam jest za duża populacja i plądrują dzielnice kosze itp 

[20.1.2021 | 23:39:43] [Sverige AKA Damian.]: O nie 

[20.1.2021 | 23:39:57] [Sverige AKA Damian.]: 😭 

[20.1.2021 | 23:40:4] [Szop Pracz]: :c 

[20.1.2021 | 23:40:10] [Szop Pracz]: Pewnie tak 

[20.1.2021 | 23:40:13] [Szop Pracz]: Ale jak nie 

[20.1.2021 | 23:40:19] [Szop Pracz]: To psytule jednego 

[20.1.2021 | 23:41:3] [Szop Pracz]: Tak przytule że mu guwno z oczu wyjdzie o smaku waniliowym 

[20.1.2021 | 23:41:13] [Sverige AKA Damian.]: ... 

[20.1.2021 | 23:41:27] [Sverige AKA Damian.]: Dobrz chodz lepiej juz na <#764928408231608350> 

[20.1.2021 | 23:41:29] [..nath]: Ci sie dzieje 

[20.1.2021 | 23:41:34] [Sverige AKA Damian.]: A nic nic 

[20.1.2021 | 23:41:44] [..nath]: Szczerze? 

[20.1.2021 | 23:42:10] [Sverige AKA Damian.]: Rozmawiamy o pieknych stworzeniach jak szopy 

[20.1.2021 | 23:42:18] [..nath]: Not 

[20.1.2021 | 23:42:33] [Szop Pracz]: Bzytkie 

[20.1.2021 | 23:42:35] [..nath]: Ale zależy od gustu 

[21.1.2021 | 10:51:7][Szop Pracz]: to ja normalnie [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/801750721150189568/szop_avk.png] 

[21.1.2021 | 10:51:22][Szop Pracz]: a to ja w czapce jak na wojne ide [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/801750783128895498/War_Game.png] 

[21.1.2021 | 10:54:33] [Szop Pracz]: hot or not or szop? 

[21.1.2021 | 10:57:50] [NoOne]: Obrazek 

[21.1.2021 | 10:57:53][Szop Pracz]: undefined [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/801752425190916106/Bobby_McFerrin_-_Don_t_Worry_Be_Happy_Official_Video.mp3] 

[21.1.2021 | 11:3:24][Szop Pracz]: grafika mojego autorstwa [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/801753810178801664/Kropka_Przerobka.png] 

[21.1.2021 | 11:3:37] [Szop Pracz]: jak ktoś chce taką to można sie zgłosić 

[21.1.2021 | 11:3:55][Szop Pracz]: to też moja [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/801753938910642206/TOSIBA_PRZEROBAAAAAA_ye.png] 

[21.1.2021 | 11:4:3] [Szop Pracz]: wyglądają jak obrazy 

[21.1.2021 | 11:10:0] [💚💙 кιηια 💚💙]: 👌 

[21.1.2021 | 12:16:16][Shibe]: undefined [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/801772145201119232/image0.jpg] 

[21.1.2021 | 12:17:4] [sirvel_wolf]: co to jest? skąd to masz? pytam bo wygląda fajnie 

[21.1.2021 | 12:17:14] [Shibe]: Z głowy tapeta 

[21.1.2021 | 12:17:25] [Shibe]: Na telefon komputer tablet 

[21.1.2021 | 12:17:30] [sirvel_wolf]: <:What:754801496587108453> 

[21.1.2021 | 12:17:55] [Shibe]: Tapeta zrobiona w steamie 

[21.1.2021 | 13:29:58] [Pikczel]: steam wallpaper engine? 

[21.1.2021 | 13:33:13] [Shibe]: Tak 

[21.1.2021 | 13:34:14][🐬 Bluenade_]: wip [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/801791767568580608/finished_render.PNG] 

[21.1.2021 | 13:34:32] [💚💙 кιηια 💚💙]: 👌 

[21.1.2021 | 13:35:3] [Shibe]: <:PepeYes:795980439558029334> 

[21.1.2021 | 13:35:9][🐬 Bluenade_]: to jest przykład co nuda robi z ludzi: [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/801791999513591828/20210109_215409.png] 

[21.1.2021 | 13:35:16] [Shibe]: <:PepeOk:795980596685701152> 

[21.1.2021 | 13:35:21] [💚💙 кιηια 💚💙]: Przecież piękne 

[21.1.2021 | 13:35:24][Shibe]: undefined [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/801792065523941386/image0.jpg] 

[21.1.2021 | 13:35:26] [💚💙 кιηια 💚💙]: <:PepeYes:795980439558029334> <:PepeOk:795980596685701152> 

[21.1.2021 | 13:35:43] [🐬 Bluenade_]: nudziło mi sie i nauczyłam sie pixel artów 

[21.1.2021 | 13:36:3] [💚💙 кιηια 💚💙]: Super, trudne? 

[21.1.2021 | 13:36:5][🐬 Bluenade_]: undefined [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/801792234596335626/unknown-4.png] 

[21.1.2021 | 13:36:11] [Shibe]: <:PepeOk:795980596685701152> 

[21.1.2021 | 13:36:16] [🐬 Bluenade_]: nie aż tak jak sie wydaje 

[21.1.2021 | 13:36:39] [💚💙 кιηια 💚💙]: O, mieczyk 

[21.1.2021 | 13:36:45] [🐬 Bluenade_]: taq 

[21.1.2021 | 13:36:52] [💚💙 кιηια 💚💙]: Taqq 

[21.1.2021 | 13:37:0] [Shibe]: <:PepeOk:795980596685701152> 

[21.1.2021 | 13:37:6] [Shibe]: Moja ulubiona emotki 

[21.1.2021 | 13:37:11] [Shibe]: Emotka 

[21.1.2021 | 13:37:12] [💚💙 кιηια 💚💙]: <:PepeYes:795980439558029334> 

[21.1.2021 | 13:37:17] [Shibe]: <:PepeOk:795980596685701152> 

[21.1.2021 | 13:37:18] [💚💙 кιηια 💚💙]: 😍 <:PepeOk:795980596685701152> 

[21.1.2021 | 13:37:32] [Shibe]: <:Netflix:779115666862112768> 

[21.1.2021 | 14:5:55][🐬 Bluenade_]: odkopałam 2 [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/801799742324473907/IMG_20201106_094850.jpg] 

[21.1.2021 | 14:5:56] [🐬 Bluenade_]: rysuneczki 

[21.1.2021 | 14:9:34] [💚💙 кιηια 💚💙]: Co to jest to na gorze? 

[21.1.2021 | 14:9:38] [💚💙 кιηια 💚💙]: Te 3 kulki 

[21.1.2021 | 14:9:45] [🐬 Bluenade_]: nos 

[21.1.2021 | 14:9:46] [🐬 Bluenade_]: xD 

[21.1.2021 | 14:10:36] [💚💙 кιηια 💚💙]: Ahhh 

[21.1.2021 | 14:10:50] [🐬 Bluenade_]: ale teraz inaczej rysuje nos 

[21.1.2021 | 14:12:6] [💚💙 кιηια 💚💙]: Bo wiesz.... Mialam na początku takie trochę zboczone mysli na temat tego rysunku <:PepeOk:795980596685701152> 

[21.1.2021 | 14:12:26] [🐬 Bluenade_]: zboczuszku ty 

[21.1.2021 | 14:12:31] [💚💙 кιηια 💚💙]: 😍 

[21.1.2021 | 14:13:53] [NoOne]: Każdy widzi, to co chce widzieć 😂 

[21.1.2021 | 14:14:59] [💚💙 кιηια 💚💙]: 😍 🤭 

[21.1.2021 | 14:15:33] [NoOne]: Wydało się😂 

[21.1.2021 | 14:15:39] [💚💙 кιηια 💚💙]: Tak 

[21.1.2021 | 14:16:15] [NoOne]: <a:haha:801466671801696297> 

[21.1.2021 | 14:18:27] [💚💙 кιηια 💚💙]: 🤏 to drobiazg, mało znaczy dla mnie. Mogą się dowiedzieć 🤭 

[21.1.2021 | 14:29:6][🐬 Bluenade_]: undefined [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/801805575401766952/20210121_142748.jpg] 

[21.1.2021 | 14:29:53] [💚💙 кιηια 💚💙]: Dziwny ten nos 

[21.1.2021 | 14:30:1] [💚💙 кιηια 💚💙]: 🤏 

[21.1.2021 | 14:30:5] [💚💙 кιηια 💚💙]: Tak troszkę 

[21.1.2021 | 14:31:13] [🐬 Bluenade_]: krzywy 

[21.1.2021 | 14:31:14] [🐬 Bluenade_]: mi 

[21.1.2021 | 14:31:16] [🐬 Bluenade_]: wyszedł 

[21.1.2021 | 14:31:24] [💚💙 кιηια 💚💙]: Krzywiutki 

[21.1.2021 | 14:32:49] [Szop Pracz]: kox pixelart szanuje i robie takie same albo gorsze xD 

[21.1.2021 | 14:33:18] [Szop Pracz]: co do pixelartów używasz? 

[21.1.2021 | 14:33:58] [🐬 Bluenade_]: paint net 

[21.1.2021 | 14:34:9] [Szop Pracz]: ło 

[21.1.2021 | 14:34:23] [Szop Pracz]: używam paint neta do czegoś innego 

[21.1.2021 | 14:34:33][Szop Pracz]: undefined [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/801806947287826472/TOSIBA_PRZEROBAAAAAA_ye.png] 

[21.1.2021 | 14:34:43][Szop Pracz]: undefined [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/801806981433393212/Kropka_Przerobka.png] 

[21.1.2021 | 14:34:48] [Szop Pracz]: to moje przeróby grafik 

[21.1.2021 | 14:34:49] [💚💙 кιηια 💚💙]: <:PepeOk:795980596685701152> 

[21.1.2021 | 14:34:51] [Szop Pracz]: autorskie 

[21.1.2021 | 14:35:3] [Szop Pracz]: a dziękujęi kłaniam sie nisko :> 

[21.1.2021 | 14:35:16] [💚💙 кιηια 💚💙]: 😍 🤭 

[21.1.2021 | 14:35:49] [Szop Pracz]: 😅 😉 🦝 

[21.1.2021 | 14:38:38][..nath]: 👁👄👁👍 [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/801807967203622982/20210113_021004-1.jpg] 

[21.1.2021 | 14:39:4] [NoOne]: Ale ładne <a:aPandaHYPE:777696673719255093> 

[21.1.2021 | 14:39:19] [Szop Pracz]: gziby!!! :> :D :3 :) 

[21.1.2021 | 14:39:48] [..nath]: Gziby to moja pasja 

[21.1.2021 | 14:40:5] [..nath]: Dziękuję, ale są lepsze 

[21.1.2021 | 14:40:17] [Szop Pracz]: gzibki siom fajuśkie 

[21.1.2021 | 14:40:18] [NoOne]: Możesz wysłać <:panda:791580465969496084> 

[21.1.2021 | 14:40:27] [Szop Pracz]: też bym użył tej emotki 

[21.1.2021 | 14:40:36] [..nath]: Lepsze, że innych ludzi 

[21.1.2021 | 14:40:41] [Szop Pracz]: <:Niedzwiedz:754942163233669230> 

[21.1.2021 | 14:40:41] [..nath]: Ja juz nie rysuje 

[21.1.2021 | 14:40:50] [Szop Pracz]: rysuj pliska 

[21.1.2021 | 14:40:54] [Szop Pracz]: <#795076285054713906> 

[21.1.2021 | 14:40:59] [..nath]: Nie mam jakoś talentu 

[21.1.2021 | 14:41:0] [NoOne]: Powinnaś 

[21.1.2021 | 14:41:9] [Szop Pracz]: MASZ W Gzibach 

[21.1.2021 | 14:41:16] [..nath]: Oj tak 

[21.1.2021 | 14:41:18] [NoOne]: Jak nie? Przecież ładne prace wykonujesz 

[21.1.2021 | 14:41:21] [..nath]: Zwijanie w paper 

[21.1.2021 | 14:41:37] [..nath]: Mi się osobiście nie podoba 

[21.1.2021 | 14:41:55] [NoOne]: A powinny, ładnie wykonane 

[21.1.2021 | 14:41:58] [..nath]: Z resztą na moim kierunku będę rysować rysunki techniczne 

[21.1.2021 | 14:42:16] [NoOne]: To jaki kierunek? 

[21.1.2021 | 14:42:23] [🐬 Bluenade_]: jakaś refka była używana? czy z głowy 

[21.1.2021 | 14:42:43] [..nath]: Niektóre z innych, a niektóre z głowy 

[21.1.2021 | 14:43:9] [..nath]: Geodezja jak będzie nabór, a jak nie to mundurowa albo gastro 

[21.1.2021 | 14:43:18] [NoOne]: Ciekawie 

[21.1.2021 | 14:43:24] [NoOne]: Mam siostrę na geodezji 

[21.1.2021 | 14:43:35] [..nath]: Ciekawe 

[21.1.2021 | 14:44:18] [..nath]: Rolę rysowania zostawiam tym co  potrafią 

[21.1.2021 | 14:46:25][Szop Pracz]: co uważasz? [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/801809933250723840/unknown.png] 

[21.1.2021 | 14:46:40] [🐬 Bluenade_]: hue shifting 

[21.1.2021 | 14:46:45] [Szop Pracz]: to są łapki w góre anie fakulce 

[21.1.2021 | 14:46:46] [Szop Pracz]: xD 

[21.1.2021 | 14:46:46] [🐬 Bluenade_]: dood 

[21.1.2021 | 14:46:52] [Szop Pracz]: co? 

[21.1.2021 | 14:46:55] [Szop Pracz]: co? 

[21.1.2021 | 14:46:57] [🐬 Bluenade_]: hue shifting 

[21.1.2021 | 14:47:5] [Szop Pracz]: co to znaczy xD 

[21.1.2021 | 14:47:8] [🐬 Bluenade_]: nie wiesz co to hue shifting? 

[21.1.2021 | 14:47:9] [🐬 Bluenade_]: bruh 

[21.1.2021 | 14:47:23] [Szop Pracz]: nie wiem co to hue shifting 

[21.1.2021 | 14:47:37] [🐬 Bluenade_]: sprawdź sobie 

[21.1.2021 | 14:47:54] [Szop Pracz]: a możesz powi edzieć co uważasz po polsku? 

[21.1.2021 | 14:48:29] [🐬 Bluenade_]: xD 

[21.1.2021 | 14:48:38] [🐬 Bluenade_]: cieniowania ci brak 

[21.1.2021 | 14:48:40] [🐬 Bluenade_]: i kolorów 

[21.1.2021 | 14:48:48] [Szop Pracz]: bo to specjalnie 

[21.1.2021 | 14:48:49] [🐬 Bluenade_]: nie dobierasx 

[21.1.2021 | 14:48:52] [Szop Pracz]: równe oświetlenie 

[21.1.2021 | 14:49:7] [Szop Pracz]: moge zrobić światło cień 

[21.1.2021 | 14:49:11] [Szop Pracz]: jeśli chcesz 

[21.1.2021 | 14:49:42] [Szop Pracz]: dobra nie chce mi sie robić 

[21.1.2021 | 14:49:43] [Szop Pracz]: xD 

[21.1.2021 | 21:48:22][🐬 Bluenade_]: undefined [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/801916123292500028/20210121_212237.jpg] 

[21.1.2021 | 21:48:24] [🐬 Bluenade_]: pain 

[21.1.2021 | 21:59:41] [💜-Agatka007-💜]: Wow mega 

[21.1.2021 | 22:5:4] [Sverige AKA Damian.]: O 

[21.1.2021 | 22:6:4] [NoOne]: <:hide_the_pain:623448584574074880> 

[21.1.2021 | 22:6:27] [Sverige AKA Damian.]: <:Google:798628324100014100> 

[21.1.2021 | 22:8:12][🐬 Bluenade_]: i jeszcze loncka [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/801921112833392710/20210121_215140.jpg] 

[21.1.2021 | 22:11:22] [💜-Agatka007-💜]: Mega 

[21.1.2021 | 22:11:42] [Sverige AKA Damian.]: Kozak 

[21.1.2021 | 22:11:47] [Sverige AKA Damian.]: Ja mam wilka 

[21.1.2021 | 22:11:59] [Sverige AKA Damian.]: Mój ulubiony 

[21.1.2021 | 22:12:5] [Sverige AKA Damian.]: Prosty ale własny 

[21.1.2021 | 22:12:18] [Sverige AKA Damian.]: W sumie dużo mam szkicow 

[23.1.2021 | 21:46:26][..nath]: undefined [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/802640408861343824/Snapchat-908322357.jpg] 

[23.1.2021 | 21:46:39] [..nath]: Zostawiam tu swoje legendarne zdjęcia 

[23.1.2021 | 21:46:58] [..nath]: Dajcie to na mój nagrobek 

[23.1.2021 | 21:47:3] [..nath]: Kiedyś 

[24.1.2021 | 23:45:39] [..nath]: Coo 

[25.1.2021 | 16:21:50][🐬 Bluenade_]: nikt:

ja gdy mi sie nudzi: [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/803283494612369448/20210125_161949.jpg] 

[25.1.2021 | 16:26:11] [NoOne]: Ładnie <a:CH_PepeClapping:704976704875134986> 

[25.1.2021 | 22:59:44][Chmielewski002]: undefined [Image Link:https://cdn.discordapp.com/attachments/769993114021658644/803383631719563334/20210125_225900.jpg] 

[25.1.2021 | 23:22:16] [Szop Pracz]: Mi tak nikt nie robi 

[25.1.2021 | 23:22:24] [Szop Pracz]: Im sadge 

[25.1.2021 | 23:24:26] [Szop Pracz]: https://tenor.com/view/milk-and-mocha-cry-sad-tears-upset-gif-11667710 

[25.1.2021 | 23:31:23] [Rycesz]: E tam po co Ci dziewczyna wystarczą wyjścia z kumplami na piwo, oczywiście jak będziesz pełnoletni 

[25.1.2021 | 23:31:49] [Szop Pracz]: Nie stać mnie na piwo 

[25.1.2021 | 23:32:25] [Szop Pracz]: A pozatym nie chce skączyć jako facet z nałogiem 

[25.1.2021 | 23:33:18] [Szop Pracz]: Jestem facet który myśli 2 razy 

[25.1.2021 | 23:33:19] [Rycesz]: Raz na jakiś czas wyjście z kumplami na piwo to nie nalug nie przesadzaj 

[25.1.2021 | 23:33:29] [Szop Pracz]: Konsękwętny 

[25.1.2021 | 23:33:52] [Szop Pracz]: Z kumplami nie bo zaraza 

[25.1.2021 | 23:34:7] [Szop Pracz]: Plandemia 

[25.1.2021 | 23:34:21] [Rycesz]: Znaczy w 3 możecie się spotkać 

[25.1.2021 | 23:34:38] [Szop Pracz]: No niby 

[25.1.2021 | 23:34:53] [Szop Pracz]: Alenpo co ryzykować 

[25.1.2021 | 23:34:58] [Szop Pracz]: Tak mówia 

[25.1.2021 | 23:35:7] [Szop Pracz]: *ale po 

[25.1.2021 | 23:35:16] [Szop Pracz]: Ja sie zgadzam 

[25.1.2021 | 23:35:17] [Rycesz]: Sadge 

[25.1.2021 | 23:35:23] [Szop Pracz]: Jos 

[25.1.2021 | 23:35:42] [Rycesz]: Ja się spotykam co weekend z kolegami 

[25.1.2021 | 23:35:51] [Szop Pracz]: Fajnie 

[25.1.2021 | 23:36:32] [Szop Pracz]: Ja na to sobie nie pozwalam 

[25.1.2021 | 23:36:41] [Rycesz]: Czemu 

[25.1.2021 | 23:36:59] [Szop Pracz]: Ryzyko 

[25.1.2021 | 23:37:7] [Szop Pracz]: Zarażenia 

[25.1.2021 | 23:37:39] [Szop Pracz]: A nie lubie ryzyka 

[25.1.2021 | 23:38:10] [Szop Pracz]: Jak sie skończy zaraza to zrobie z znaj impre 

[25.1.2021 | 23:38:23] [Rycesz]: Aż tak się tym przejmujesz? Dzisiaj albo wczoraj było tylko około 3 k zarazen 

[25.1.2021 | 23:38:54] [Rycesz]: I w sumie utrzymuje się tak w granicach 8 k 

[25.1.2021 | 23:39:10] [Szop Pracz]: No 

[25.1.2021 | 23:39:19] [Szop Pracz]: Ale taki problem 

[25.1.2021 | 23:39:33] [Szop Pracz]: Że mam dwie prababcie 

[25.1.2021 | 23:39:44] [Szop Pracz]: Jedna 94 lat 

[25.1.2021 | 23:39:49] [Szop Pracz]: Druga 91 

[25.1.2021 | 23:40:5] [Szop Pracz]: I nie chxe ich pozarażać 

[25.1.2021 | 23:40:19] [Rycesz]: Aha no chyba że tak 

[25.1.2021 | 23:40:37] [Szop Pracz]: No wiesz 

[25.1.2021 | 23:40:48] [Szop Pracz]: Jak masz osoby warte 

[25.1.2021 | 23:41:6] [NoOne]: ( <#764928408231608350> ) 

