[14.1.2021 | 18:43:45] [Asasin22]: Tak, Czy osoba niżej jest często aktywna na naszym serwerze? 
[25.1.2021 | 22:33:37] [Chmielewski002]: Moja ukochana, tak. Przyniosę Ci czekoladę, ale jaki smak? Czy osoba poniżej lubi czekoladę? 

[25.1.2021 | 22:33:44] [Chmielewski002]: . 

[25.1.2021 | 22:34:59] [🐬 Bluenade_]: lubie, czy osoba poniżej twierdzi że chmielewski to creep? || <@598536600493752320> || 

[25.1.2021 | 22:35:42] [Chmielewski002]: Tak. Czy osoba poniżej lubi mnie? ( szczere słowa  i bez żartów ) <@559073575340998668> 

[25.1.2021 | 22:36:14] [🐬 Bluenade_]: nienawidze, czy osoba poniżej lubi ogórki? 

[25.1.2021 | 22:36:42] [Chmielewski002]: Kocham Cie. Lubię ogórki. Czy osoba poniżej lubi KamiŁe? 

[25.1.2021 | 22:37:33] [🐬 Bluenade_]: kocham <3, czy osoba poniżej lubi tańczyć? 

[25.1.2021 | 22:38:7] [Chmielewski002]: Nie, ale czy mnie nauczysz? Czy osoba poniżej chcialaby mnie pokochać? 

[27.1.2021 | 9:29:56] [Sverige AKA Damian.]: moge polubic, czy osoba ponizej czuje sie na tym serwerze wolna i swojo 

[27.1.2021 | 9:50:56] [Szop Pracz]: Tak. Czy osoba poniżej mnie lubi? 

[27.1.2021 | 10:0:27] [Sverige AKA Damian.]: tak. czy osoba poniżej ma czarnego teriera rosyjskiego psa? 

[27.1.2021 | 10:50:5] [Diablo2609]: Nie 

[27.1.2021 | 10:52:36] [🐬 Bluenade_]: nie. czy osoba poniżej ma kotka? 

[27.1.2021 | 12:12:14] [Diablo2609]: nie.czy osoba poniżej jest normalna 

