[7.1.2021 | 17:38:56][Order]: undefined [Image Link:https://cdn.discordapp.com/attachments/756547693945290762/796779914383851590/IMG_36611.png] 
[28.1.2021 | 10:56:35] [Invejosa]: Wybaczam 

[28.1.2021 | 10:56:50] [Szop Pracz]: bede płakać 

[28.1.2021 | 10:56:58] [Szop Pracz]: :< OnO 

[28.1.2021 | 10:57:12] [Invejosa]: Chodźmy na <#764928408231608350> 

[28.1.2021 | 10:57:27][NoOne]: undefined [Image Link:https://cdn.discordapp.com/attachments/756547693945290762/804289033701425172/lis-polarny.jpg] 

[28.1.2021 | 10:57:38] [NoOne]: Na pocieszenie🥺 

[28.1.2021 | 10:57:40] [Szop Pracz]: AAa 

[28.1.2021 | 10:57:41] [Invejosa]: Łoaa 

[28.1.2021 | 10:57:46] [Szop Pracz]: wystraszyłem sie 

[28.1.2021 | 10:57:53] [Invejosa]: To lis? 

[28.1.2021 | 10:57:59] [Szop Pracz]: RATUNKU!!UHI!@C ^ 

[28.1.2021 | 10:58:1] [NoOne]: Tak 

[28.1.2021 | 10:58:3] [NoOne]: Lis 

[28.1.2021 | 10:58:6] [Invejosa]: Piękny lisek 

[28.1.2021 | 13:12:40][NoOne]: undefined [Image Link:https://cdn.discordapp.com/attachments/756547693945290762/804323057329635338/image0-12.png] 

[28.1.2021 | 13:12:43] [NoOne]: Życiowe 

