[18.1.2021 | 8:37:18] [👑 _PRYMEK_ 👑]: atop 
[18.1.2021 | 17:46:33] [Rekin]: EM/add <a:11:793760279288217601> 

[20.1.2021 | 11:59:52] [👑 _PRYMEK_ 👑]: ! perms-allow <@&711987627032707204> kick 

[20.1.2021 | 12:0:5] [👑 _PRYMEK_ 👑]: ! allowperms <@&711987627032707204> kick 

[20.1.2021 | 12:0:19] [👑 _PRYMEK_ 👑]: !allow-perms <@&711987627032707204> kick 

[20.1.2021 | 12:0:23] [👑 _PRYMEK_ 👑]: Co jest grane 

[20.1.2021 | 12:0:39] [👑 _PRYMEK_ 👑]: !perms-allow <@&711987627032707204> kick 

[20.1.2021 | 12:0:48] [👑 _PRYMEK_ 👑]: @pomo 

[20.1.2021 | 12:0:53] [👑 _PRYMEK_ 👑]: <@&710547722192683058> help 

[20.1.2021 | 12:1:35] [🥵Lidzia❤]: !perms allow <@&711987627032707204> kick 

[20.1.2021 | 12:2:11] [👑 _PRYMEK_ 👑]: Dzk 

[20.1.2021 | 12:2:21] [👑 _PRYMEK_ 👑]: !perms allow <@&711987627032707204> kick 

[20.1.2021 | 12:2:32] [👑 _PRYMEK_ 👑]: !perms allow <@&711987627032707204> warn 

[20.1.2021 | 12:2:49] [👑 _PRYMEK_ 👑]: !perms allow <@&711987627032707204> mute 

[20.1.2021 | 12:3:2] [👑 _PRYMEK_ 👑]: !perms allow <@&711987627032707204> add-money 

[20.1.2021 | 12:3:11] [👑 _PRYMEK_ 👑]: No i git 

[20.1.2021 | 12:3:16] [👑 _PRYMEK_ 👑]: I dzisiaj leci awansik 

[20.1.2021 | 12:3:23] [👑 _PRYMEK_ 👑]: Chyba dzisiaj dwa poleca 

[20.1.2021 | 12:27:0] [🥵Lidzia❤]: Ok 

[20.1.2021 | 16:54:20] [👑 _PRYMEK_ 👑]: !perms allow <@&711987627032707204> add-money-role 

[21.1.2021 | 10:49:9] [👑 _PRYMEK_ 👑]: !user <@607951368413773824> 

[21.1.2021 | 10:49:31] [👑 _PRYMEK_ 👑]: 1 miesiąc i 2 tygodnie 

[21.1.2021 | 11:5:15] [Stasiek]: !user 

[21.1.2021 | 11:6:2] [Stasiek]: eeee ja dołączyłem 4 miesięcy temu 

[21.1.2021 | 11:30:15] [👑 _PRYMEK_ 👑]: Ty masz tylko 2 misace disorda 

[21.1.2021 | 11:30:26] [👑 _PRYMEK_ 👑]: xD 

[21.1.2021 | 11:30:37] [👑 _PRYMEK_ 👑]: A na serwie jest 1 miesiąc i 3 tygodnie 

[21.1.2021 | 11:46:12] [Stasiek]: ta ja w wrześniu go założyłem 

[21.1.2021 | 11:46:31] [👑 _PRYMEK_ 👑]: To nwm 

[21.1.2021 | 15:47:54] [❤_Nezuko Kamado_❤]: !user 

[21.1.2021 | 18:52:55] [Kokichi✔]: !user 

[21.1.2021 | 18:53:2] [Kokichi✔]: 2 dni!? 

[21.1.2021 | 18:53:6] [Kokichi✔]: ahaaaa... 

[21.1.2021 | 18:53:16] [Kokichi✔]: bana miałem lol 

[21.1.2021 | 19:4:17] [👑 _PRYMEK_ 👑]: A no 

[21.1.2021 | 19:4:23] [👑 _PRYMEK_ 👑]: !magic 

[21.1.2021 | 19:4:27] [👑 _PRYMEK_ 👑]: Magic <@689129555549618269> 

[21.1.2021 | 19:4:35] [👑 _PRYMEK_ 👑]: !magic <@689129555549618269> 

[21.1.2021 | 19:4:49] [👑 _PRYMEK_ 👑]: !magik <@689129555549618269> 

[21.1.2021 | 19:4:57] [👑 _PRYMEK_ 👑]: <@&710733327526527016> 

[21.1.2021 | 20:10:48] [Stasiek]: pls magick 

[21.1.2021 | 20:11:10] [Stasiek]: pls magik 

[21.1.2021 | 20:11:16] [Stasiek]: e xd 

[21.1.2021 | 20:17:37] [👑 _PRYMEK_ 👑]: !Avatar 

[21.1.2021 | 20:17:53] [👑 _PRYMEK_ 👑]: Pls magik 

[21.1.2021 | 20:18:0] [👑 _PRYMEK_ 👑]: pls magik 

[21.1.2021 | 20:18:6] [❤_Nezuko Kamado_❤]: plsmagic 

[21.1.2021 | 20:18:12] [❤_Nezuko Kamado_❤]: pls magic 

[21.1.2021 | 20:18:47] [👑 _PRYMEK_ 👑]: pls magik <@695590947630743635> 

[21.1.2021 | 20:18:52] [👑 _PRYMEK_ 👑]: XD 

[21.1.2021 | 20:18:59] [👑 _PRYMEK_ 👑]: XD 

[21.1.2021 | 20:19:2] [👑 _PRYMEK_ 👑]: <:keekw:761295533045448725> 

[21.1.2021 | 20:19:11] [❤_Nezuko Kamado_❤]: skrzywdziłeś mnie 

[21.1.2021 | 20:19:22] [❤_Nezuko Kamado_❤]: pls magik <@!689129555549618269> 

[21.1.2021 | 20:19:29] [👑 _PRYMEK_ 👑]: XD 

[21.1.2021 | 20:19:34] [👑 _PRYMEK_ 👑]: Pijany 

[21.1.2021 | 20:20:12] [👑 _PRYMEK_ 👑]: !Avatar <@695590947630743635> 

[26.1.2021 | 12:36:21] [linda👁🗨]: *user 

[26.1.2021 | 12:36:26] [linda👁🗨]: !user 

[26.1.2021 | 12:52:51] [👑 _PRYMEK_ 👑]: !perm delete @everyone rob 

[27.1.2021 | 9:47:15] [👑 _PRYMEK_ 👑]: !perms allow <@&710547722184163439> warn 

[27.1.2021 | 9:47:28] [👑 _PRYMEK_ 👑]: !perms allow <@&710547722184163439> mute 

[27.1.2021 | 9:47:44] [👑 _PRYMEK_ 👑]: !perms allow <@&710547722184163439> add-money-role 

[27.1.2021 | 9:48:50] [👑 _PRYMEK_ 👑]: !perms allow <@&710547722184163439> add-money 

[27.1.2021 | 10:0:24] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: !alevel 

[27.1.2021 | 10:0:29] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: alevel 

[27.1.2021 | 10:50:39] [bart.bruk]: alevel list 

[27.1.2021 | 10:50:51] [bart.bruk]: alevel 

[27.1.2021 | 10:50:59] [bart.bruk]: alevel 

[27.1.2021 | 10:51:5] [bart.bruk]: alevel 

[27.1.2021 | 11:15:0] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: rank 

[27.1.2021 | 11:15:6] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: rank! 

[27.1.2021 | 11:15:9] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: !rank 

[27.1.2021 | 11:15:30] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: arank 

[27.1.2021 | 11:39:45] [❤_Nezuko Kamado_❤]: alevel 

[27.1.2021 | 11:41:57] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: alevel 

[27.1.2021 | 11:49:39] [❤_Nezuko Kamado_❤]: alevel 

[27.1.2021 | 11:49:47] [❤_Nezuko Kamado_❤]: alevel 

[27.1.2021 | 11:50:23] [❤_Nezuko Kamado_❤]: alevel 

[27.1.2021 | 11:51:38] [❤_Nezuko Kamado_❤]: alevel 

[28.1.2021 | 10:35:26] [👑 _PRYMEK_ 👑]: !perms allow <@&804283043048849448> g!create 

[28.1.2021 | 10:35:47] [👑 _PRYMEK_ 👑]: !perms allow <@&804283043048849448> g!create 

[28.1.2021 | 10:35:52] [👑 _PRYMEK_ 👑]: <@581373577404874752> 

[28.1.2021 | 10:36:0] [👑 _PRYMEK_ 👑]: Unbalive 

[28.1.2021 | 10:36:7] [👑 _PRYMEK_ 👑]: Działa tylko na swoje komendy tak 

[28.1.2021 | 10:36:7] [👑 _PRYMEK_ 👑]: ? 

[28.1.2021 | 10:36:54] [Kokichi✔]: tak 

[28.1.2021 | 10:37:32] [👑 _PRYMEK_ 👑]: !perms allow <@&804283043048849448> !gcreate 

[28.1.2021 | 10:38:14] [Kokichi✔]: !ghelp 

[28.1.2021 | 10:38:31] [👑 _PRYMEK_ 👑]: !glisy 

[28.1.2021 | 10:38:34] [👑 _PRYMEK_ 👑]: !glist 

[28.1.2021 | 10:38:42] [Kokichi✔]: !gcreate 

[28.1.2021 | 10:39:6] [👑 _PRYMEK_ 👑]: Ok 

[28.1.2021 | 10:39:15] [Kokichi✔]: tą rolę potrzebuję chyba 

[28.1.2021 | 10:39:54] [👑 _PRYMEK_ 👑]: <@581373577404874752> 

[28.1.2021 | 10:39:57] [👑 _PRYMEK_ 👑]: A teraz 

[28.1.2021 | 10:39:59] [👑 _PRYMEK_ 👑]: ? 

[28.1.2021 | 10:40:19] [Kokichi✔]: nie dałeś mi rangi 

[28.1.2021 | 10:40:23] [👑 _PRYMEK_ 👑]: Dałem 

[28.1.2021 | 10:40:24] [👑 _PRYMEK_ 👑]: <@581373577404874752> 

[28.1.2021 | 10:40:28] [👑 _PRYMEK_ 👑]: Spróbuj 

[28.1.2021 | 10:40:30] [👑 _PRYMEK_ 👑]: Teraz 

[28.1.2021 | 10:40:34] [Kokichi✔]: już jest 

[28.1.2021 | 10:40:38] [Kokichi✔]: !gcreate 

[28.1.2021 | 10:40:43] [👑 _PRYMEK_ 👑]: Hahahahaa 

[28.1.2021 | 10:41:2] [Kokichi✔]: nazwij tą rolę Giveaways 

[28.1.2021 | 10:41:4] [👑 _PRYMEK_ 👑]: Usunełem emotki 

[28.1.2021 | 10:41:6] [Kokichi✔]: bez emotek 

[28.1.2021 | 10:41:12] [👑 _PRYMEK_ 👑]: Jest juzb 

[28.1.2021 | 10:41:16] [Kokichi✔]: !g create 

[28.1.2021 | 10:41:19] [Kokichi✔]: jest 

[28.1.2021 | 10:41:19] [👑 _PRYMEK_ 👑]: EZ 

[28.1.2021 | 10:41:25] [👑 _PRYMEK_ 👑]: Muszę ci dać 

[28.1.2021 | 10:41:28] [Kokichi✔]: cancel 

[28.1.2021 | 10:41:29] [👑 _PRYMEK_ 👑]: Uprawnienia do pisania 

[28.1.2021 | 10:41:31] [👑 _PRYMEK_ 👑]: Na kanale 

[28.1.2021 | 10:41:37] [👑 _PRYMEK_ 👑]: Do konkursów 

[28.1.2021 | 10:42:47] [👑 _PRYMEK_ 👑]: <@581373577404874752> 

[28.1.2021 | 10:42:50] [👑 _PRYMEK_ 👑]: I możesz pisać 

[28.1.2021 | 10:42:51] [👑 _PRYMEK_ 👑]: ? 

[28.1.2021 | 10:47:28] [Kokichi✔]: !gcreate 

[28.1.2021 | 10:49:24] [👑 _PRYMEK_ 👑]: <#710547723018960959> 

[28.1.2021 | 10:49:42] [Kokichi✔]: !g create 

[28.1.2021 | 10:49:42] [👑 _PRYMEK_ 👑]: Skopiuj sobie 

[28.1.2021 | 10:49:44] [👑 _PRYMEK_ 👑]: I wklej 

[28.1.2021 | 10:49:46] [Kokichi✔]: <#710547723018960959> 

[28.1.2021 | 10:49:46] [👑 _PRYMEK_ 👑]: <@581373577404874752> 

[28.1.2021 | 10:50:5] [Kokichi✔]: 1d 

[28.1.2021 | 10:50:7] [👑 _PRYMEK_ 👑]: Ja spadam mam lekcje 

[28.1.2021 | 10:50:14] [Kokichi✔]: 2 

[28.1.2021 | 10:50:50] [Kokichi✔]: **400k NA EKONOMII DLA 2 OSÓB** 

[28.1.2021 | 13:17:37] [Kokichi✔]: !user <@!689129555549618269> 

