[12.1.2021 | 13:23:7] [Cichy]: gut 
[12.1.2021 | 15:34:19] [Cichy]: vv 

[12.1.2021 | 15:34:20] [Cichy]: f 

[12.1.2021 | 15:34:20] [Cichy]: e 

[12.1.2021 | 15:34:20] [Cichy]: f 

[12.1.2021 | 15:34:21] [Cichy]: s 

[12.1.2021 | 15:34:21] [Cichy]: f 

[12.1.2021 | 15:34:23] [Cichy]: rgd 

[12.1.2021 | 15:34:24] [Cichy]: drg 

[12.1.2021 | 15:34:26] [Cichy]: gd 

[12.1.2021 | 15:34:27] [Cichy]: rd 

[12.1.2021 | 15:34:27] [Cichy]: kurwa\ 

[12.1.2021 | 15:35:8] [Cichy]: /natura 

[12.1.2021 | 15:36:9] [Cichy]: /narkarm <@!632672411141013530> 

[12.1.2021 | 15:37:15] [Cichy]: bot-program-used 

[12.1.2021 | 15:40:38] [Cichy]: cancel 

[12.1.2021 | 15:40:40] [Cichy]: daw 

[12.1.2021 | 15:40:41] [Cichy]: d 

[12.1.2021 | 15:40:41] [Cichy]: d 

[12.1.2021 | 15:40:41] [Cichy]: d 

[12.1.2021 | 15:41:2] [Cichy]: sad 

[12.1.2021 | 15:44:37] [Cichy]: https://api.qrserver.com/v1/create-qr-code/?size=250x250&data=hej 

[12.1.2021 | 15:46:42] [Cichy]: https://api.qrserver.com/v1/create-qr-code/?size=250x250&data=123123 

[12.1.2021 | 15:47:5] [Cichy]: ----------*****https://api.qrserver.com/v1/create-qr-code/?size=250x250&data=${tempVars("params")}***** 

[12.1.2021 | 15:47:20] [Cichy]: 0------- https://api.qrserver.com/v1/create-qr-code/?size=250x250&data=${tempVars("params")} -------------- 

[12.1.2021 | 15:48:44] [Cichy]: https://api.qrserver.com/v1/create-qr-code/?size=100x100&data=/qr 

[12.1.2021 | 15:48:47] [Cichy]: https://api.qrserver.com/v1/create-qr-code/?size=100x100&data=/qr 

[12.1.2021 | 15:49:59] [Cichy]: \<a:Uzytkownicze:787792321885241414> 

[12.1.2021 | 16:5:55] [Cichy]: https://api.qrserver.com/v1/create-qr-code/?size=100x100&data=/qr 

[12.1.2021 | 18:10:39] [Cichy]: l 

[12.1.2021 | 18:18:24] [Cichy]: 32 

[12.1.2021 | 18:29:14] [Cichy]: https://api.qrserver.com/v1/create-qr-code/?size=100x100&data=123 

[12.1.2021 | 18:30:25] [Cichy]: \<a:Check:788816525104381952> 

[12.1.2021 | 18:49:25] [Cichy]: l 

[12.1.2021 | 18:49:25] [Cichy]: ] 

[12.1.2021 | 18:50:46] [Cichy]: \🤣 

[12.1.2021 | 18:56:3][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/798543225182093352/798611267447029821/Karmienie.jpg] 

[12.1.2021 | 18:56:30][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/798543225182093352/798611380567408660/Karmienie.gif] 

[12.1.2021 | 19:5:8][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/798543225182093352/798613552772153387/KarmienieGIF_2.gif] 

[12.1.2021 | 19:6:5][Cichy]: undefined [Image Link:https://cdn.discordapp.com/attachments/798543225182093352/798613792019054612/KarmienieGIF.gif] 

[12.1.2021 | 19:7:31] [Cichy]: https://cdn.discordapp.com/attachments/798543225182093352/798613792019054612/KarmienieGIF.gif 

[12.1.2021 | 19:13:21] [Cichy]: \<a:Check:788816525104381952> 

[12.1.2021 | 19:15:19] [Cichy]: \<:Tytul:790631060802502687> 

[12.1.2021 | 19:16:0] [Cichy]: \<a:URL:789168010958209084> 

[12.1.2021 | 19:16:2] [Cichy]: <a:URL:789168010958209084> 

[12.1.2021 | 19:19:35] [Cichy]: /losowaemoji2 

[12.1.2021 | 19:21:54] [Cichy]: /create 

[12.1.2021 | 19:31:27] [Cichy]: /lista <@!632672411141013530> 

[12.1.2021 | 19:36:52] [Cichy]: \<a:Check:788816525104381952> 

[12.1.2021 | 19:37:27] [Cichy]: \<a:Administrator:788459507612254218> 

[12.1.2021 | 19:37:50] [Cichy]: \<a:Tresc:796438256845717525> 

[12.1.2021 | 19:41:12] [Cichy]: v 

[12.1.2021 | 19:48:40] [Cichy]: ᴌ 

[12.1.2021 | 19:48:46] [Cichy]: ᴌʷʸ 

[12.1.2021 | 19:49:5] [Cichy]: łł 

[12.1.2021 | 19:52:30] [Cichy]: /update 

[12.1.2021 | 19:52:42] [Cichy]: 32324 

[12.1.2021 | 19:52:44] [Cichy]: 123 

[12.1.2021 | 19:53:17] [Cichy]: 123 

[12.1.2021 | 19:53:19] [Cichy]: kurwa 

[12.1.2021 | 19:56:0] [Cichy]: \<:Godzina:792749176554389525> 

[12.1.2021 | 20:3:8] [Cichy]: .help 

[12.1.2021 | 20:3:11] [Cichy]: .szukaj 

[12.1.2021 | 20:3:13] [Cichy]: .szukaj 

[12.1.2021 | 20:3:18] [Cichy]: .google 

[12.1.2021 | 20:18:28] [Cichy]: /trumpqoute 

[12.1.2021 | 20:19:58] [Cichy]: poland 

[12.1.2021 | 20:20:1] [Cichy]: dobrze 

[12.1.2021 | 20:20:4] [Cichy]: police 

[13.1.2021 | 21:53:46] [Cichy]: https://youtube.com/watch?v=eu-GTH1glHA 

[13.1.2021 | 22:5:52] [Cichy]: 32 32 

[13.1.2021 | 22:5:52] [Cichy]: 32 

[13.1.2021 | 22:5:52] [Cichy]: 323 

[13.1.2021 | 22:5:53] [Cichy]: 3 

[13.1.2021 | 22:5:53] [Cichy]: 2 

