[8.1.2021 | 23:41:36] [Cover]: b!mysze 
[26.1.2021 | 12:34:49] [Cover]: b!gra 

[26.1.2021 | 12:35:7] [Cover]: b!zaczynamy 

[26.1.2021 | 12:49:29] [Cover]: b!gra 

[26.1.2021 | 12:49:38] [Cover]: b!zaczynajmy 

[26.1.2021 | 12:51:58] [Cover]: b!zaczynamy 

[26.1.2021 | 12:52:7] [Cover]: b!jeden 

[27.1.2021 | 9:43:15] [Cover]: b!koronawiruus 

