[7.1.2021 | 18:3:0] [fockus17]: $ha 
[7.1.2021 | 19:1:42] [Izumi Midori]: $mg 

[7.1.2021 | 19:1:43] [Izumi Midori]: $mg 

[7.1.2021 | 19:1:45] [Izumi Midori]: $mg 

[7.1.2021 | 19:1:46] [Izumi Midori]: $mg 

[7.1.2021 | 19:1:48] [Izumi Midori]: $mg 

[7.1.2021 | 19:1:49] [Izumi Midori]: $mg 

[7.1.2021 | 19:30:50] [fockus17]: $ha 

[7.1.2021 | 19:31:27] [fockus17]: $ha 

[7.1.2021 | 19:31:27] [fockus17]: $ha 

[7.1.2021 | 19:31:32] [fockus17]: $ha 

[7.1.2021 | 19:31:33] [fockus17]: $ha 

[7.1.2021 | 19:31:36] [fockus17]: $ha 

[7.1.2021 | 19:31:37] [fockus17]: $ha 

[7.1.2021 | 19:31:41] [fockus17]: $ha 

[7.1.2021 | 19:31:42] [fockus17]: $ha 

[7.1.2021 | 19:31:48] [fockus17]: $ha 

[7.1.2021 | 19:31:49] [fockus17]: $ha 

[7.1.2021 | 20:9:36] [Mangoludek]: $wa 

[7.1.2021 | 20:9:45] [Mangoludek]: $wa 

[7.1.2021 | 20:9:47] [Mangoludek]: $wa 

[7.1.2021 | 20:9:49] [Mangoludek]: $wa 

[7.1.2021 | 20:9:51] [Mangoludek]: $wa 

[7.1.2021 | 20:9:53] [Mangoludek]: $wa 

[7.1.2021 | 20:9:55] [Mangoludek]: $wa 

[7.1.2021 | 20:9:59] [Mangoludek]: $wa 

[7.1.2021 | 20:10:2] [Mangoludek]: $wa 

[7.1.2021 | 20:10:3] [Mangoludek]: $wa 

[7.1.2021 | 20:10:24] [Mangoludek]: $im Little Suzy 

[7.1.2021 | 21:2:55] [fockus17]: $ma 

[7.1.2021 | 21:2:59] [fockus17]: $ma 

[7.1.2021 | 21:3:0] [fockus17]: $ma 

[7.1.2021 | 21:3:4] [fockus17]: $ma 

[7.1.2021 | 21:3:5] [fockus17]: $ma 

[7.1.2021 | 21:3:9] [fockus17]: $ma 

[7.1.2021 | 21:3:10] [fockus17]: $ma 

[7.1.2021 | 21:3:16] [fockus17]: $ma 

[7.1.2021 | 21:3:17] [fockus17]: $ma 

[7.1.2021 | 21:3:20] [fockus17]: $ma 

[7.1.2021 | 21:3:22] [fockus17]: $ma 

[7.1.2021 | 21:3:33] [fockus17]: $im Chintarou 

[7.1.2021 | 21:3:52] [fockus17]: $im Chintarou 

[7.1.2021 | 22:29:7] [Mangoludek]: $wa 

[7.1.2021 | 22:29:14] [Mangoludek]: $wa 

[7.1.2021 | 22:29:20] [Mangoludek]: $wa 

[7.1.2021 | 22:29:39] [Mangoludek]: $wa 

[7.1.2021 | 22:29:42] [Mangoludek]: $wa 

[7.1.2021 | 22:29:44] [Mangoludek]: $wa 

[7.1.2021 | 22:29:46] [Mangoludek]: $wa 

[7.1.2021 | 22:29:48] [Mangoludek]: $wa 

[7.1.2021 | 22:29:50] [Mangoludek]: $wa 

[7.1.2021 | 22:29:55] [Mangoludek]: $wa 

[7.1.2021 | 22:29:57] [Mangoludek]: $wa 

[7.1.2021 | 22:38:25] [fockus17]: $ma 

[7.1.2021 | 22:38:29] [fockus17]: $ma 

[7.1.2021 | 22:38:30] [fockus17]: $ma 

[7.1.2021 | 22:38:34] [fockus17]: $ma 

[7.1.2021 | 22:38:35] [fockus17]: $ma 

[7.1.2021 | 22:38:39] [fockus17]: $ma 

[7.1.2021 | 22:38:39] [fockus17]: $ma 

[7.1.2021 | 22:38:43] [fockus17]: $ma 

[7.1.2021 | 22:38:45] [fockus17]: $ma 

[7.1.2021 | 22:38:49] [fockus17]: $ma 

[7.1.2021 | 22:38:51] [fockus17]: $ma 

[7.1.2021 | 23:8:52] [Mangoludek]: $wa 

[7.1.2021 | 23:8:54] [Mangoludek]: $wa 

[7.1.2021 | 23:8:55] [Mangoludek]: $wa 

[7.1.2021 | 23:8:56] [Mangoludek]: $wa 

[7.1.2021 | 23:8:58] [Mangoludek]: $wa 

[7.1.2021 | 23:8:59] [Mangoludek]: $wa 

[7.1.2021 | 23:9:0] [Mangoludek]: $wa 

[7.1.2021 | 23:9:1] [Mangoludek]: $wa 

[7.1.2021 | 23:9:2] [Mangoludek]: $wa 

[7.1.2021 | 23:9:3] [Mangoludek]: $wa 

[7.1.2021 | 23:15:30] [Mangoludek]: $im Akane Akaza 

[7.1.2021 | 23:35:43] [Izumi Midori]: $mg 

[7.1.2021 | 23:35:44] [Izumi Midori]: $mg 

[7.1.2021 | 23:35:46] [Izumi Midori]: $mg 

[7.1.2021 | 23:35:47] [Izumi Midori]: $mg 

[7.1.2021 | 23:35:48] [Izumi Midori]: $mg 

[7.1.2021 | 23:35:49] [Izumi Midori]: $mg 

[7.1.2021 | 23:35:54] [Izumi Midori]: $mg 

[7.1.2021 | 23:35:55] [Izumi Midori]: $mg 

[7.1.2021 | 23:35:57] [Izumi Midori]: $mg 

[7.1.2021 | 23:35:59] [Izumi Midori]: $mg 

[7.1.2021 | 23:38:3] [fockus17]: 'claim 93 

[7.1.2021 | 23:38:5] [fockus17]: $ma 

[7.1.2021 | 23:38:6] [fockus17]: $ma 

[7.1.2021 | 23:38:7] [fockus17]: $ma 

[7.1.2021 | 23:38:11] [fockus17]: $ma 

[7.1.2021 | 23:38:12] [fockus17]: $ma 

[7.1.2021 | 23:38:15] [fockus17]: $ma 

[7.1.2021 | 23:38:16] [fockus17]: $ma 

[7.1.2021 | 23:38:19] [fockus17]: $ma 

[7.1.2021 | 23:38:20] [fockus17]: $ma 

[7.1.2021 | 23:38:25] [fockus17]: $ma 

[7.1.2021 | 23:38:26] [fockus17]: $ma 

[7.1.2021 | 23:38:42] [fockus17]: $im Akari Akaza 

[7.1.2021 | 23:38:45] [fockus17]: XD 

[8.1.2021 | 12:50:37] [Kara Chan]: $m 

[8.1.2021 | 12:50:45] [Kara Chan]: $m 

[8.1.2021 | 12:50:49] [Kara Chan]: $m 

[8.1.2021 | 12:50:52] [Kara Chan]: $m 

[8.1.2021 | 12:50:54] [Kara Chan]: $m 

[8.1.2021 | 12:51:0] [Kara Chan]: $m 

[8.1.2021 | 12:51:3] [Kara Chan]: $m 

[8.1.2021 | 12:51:7] [Kara Chan]: $m 

[8.1.2021 | 12:51:11] [Kara Chan]: $m 

[8.1.2021 | 12:51:13] [Kara Chan]: $m 

[8.1.2021 | 13:5:48] [Izumi Midori]: $ma 

[8.1.2021 | 13:5:49] [Izumi Midori]: $ma 

[8.1.2021 | 13:5:50] [Izumi Midori]: $ma 

[8.1.2021 | 13:5:51] [Izumi Midori]: $ma 

[8.1.2021 | 13:5:52] [Izumi Midori]: $ma 

[8.1.2021 | 13:5:56] [Izumi Midori]: $ma 

[8.1.2021 | 13:5:57] [Izumi Midori]: $ma 

[8.1.2021 | 13:5:58] [Izumi Midori]: $ma 

[8.1.2021 | 13:6:0] [Izumi Midori]: $ma 

[8.1.2021 | 13:6:1] [Izumi Midori]: $ma 

[8.1.2021 | 14:43:18] [fockus17]: $im Willy Tibur 

[8.1.2021 | 14:49:40] [fockus17]: $ma 

[8.1.2021 | 14:49:44] [fockus17]: $ma 

[8.1.2021 | 14:49:45] [fockus17]: $ma 

[8.1.2021 | 14:49:48] [fockus17]: $ma 

[8.1.2021 | 14:49:49] [fockus17]: $ma 

[8.1.2021 | 14:49:53] [fockus17]: $ma 

[8.1.2021 | 14:49:54] [fockus17]: $ma 

[8.1.2021 | 14:50:0] [fockus17]: $ma 

[8.1.2021 | 14:50:1] [fockus17]: $ma 

[8.1.2021 | 14:50:3] [fockus17]: $ma 

[8.1.2021 | 14:50:4] [fockus17]: $ma 

[8.1.2021 | 14:50:27] [fockus17]: $im Shinichi Izumi 

[8.1.2021 | 15:30:48] [fockus17]: $ma 

[8.1.2021 | 19:37:28] [fockus17]: $ma 

[8.1.2021 | 19:37:29] [fockus17]: $ma 

[8.1.2021 | 19:37:31] [fockus17]: $ma 

[8.1.2021 | 19:37:34] [fockus17]: $ma 

[8.1.2021 | 19:37:35] [fockus17]: $ma 

[8.1.2021 | 19:37:39] [fockus17]: $ma 

[8.1.2021 | 19:37:40] [fockus17]: $ma 

[8.1.2021 | 19:37:43] [fockus17]: $ma 

[8.1.2021 | 19:37:44] [fockus17]: $ma 

[8.1.2021 | 19:37:45] [fockus17]: $ma 

[8.1.2021 | 19:37:46] [fockus17]: $ma 

[8.1.2021 | 19:38:5] [fockus17]: $im Tsuyoshi Naoe 

[8.1.2021 | 20:5:13] [fockus17]: $ma 

[8.1.2021 | 20:5:14] [fockus17]: $ma 

[8.1.2021 | 20:18:10] [Trash]: $m 

[8.1.2021 | 20:18:14] [Trash]: $m 

[8.1.2021 | 20:18:16] [Trash]: $m 

[8.1.2021 | 20:18:18] [Trash]: $m 

[8.1.2021 | 20:18:19] [Trash]: $m 

[8.1.2021 | 20:18:20] [Trash]: $m 

[8.1.2021 | 20:18:22] [Trash]: $m 

[8.1.2021 | 20:18:24] [Trash]: $m 

[8.1.2021 | 20:18:26] [Trash]: $m 

[8.1.2021 | 20:18:27] [Trash]: $m 

[8.1.2021 | 20:18:53] [Trash]: 'claim 56 

[8.1.2021 | 20:19:33] [Trash]: .user 

[8.1.2021 | 20:19:43] [Trash]: .user <@791310078690983946> 

[8.1.2021 | 22:11:38] [fockus17]: $ha 

[8.1.2021 | 22:11:39] [fockus17]: $ja 

[8.1.2021 | 22:11:40] [fockus17]: $ha 

[8.1.2021 | 22:11:41] [fockus17]: $ha 

[8.1.2021 | 22:11:46] [fockus17]: $ha 

[8.1.2021 | 22:11:49] [fockus17]: $ha 

[8.1.2021 | 22:11:53] [fockus17]: $ha 

[8.1.2021 | 22:11:55] [fockus17]: $ha 

[8.1.2021 | 22:11:58] [fockus17]: $ha 

[8.1.2021 | 22:11:59] [fockus17]: $ha 

[8.1.2021 | 22:12:2] [fockus17]: $ha 

[8.1.2021 | 22:12:3] [fockus17]: $ha 

[8.1.2021 | 22:13:45] [Trash]: $m 

[8.1.2021 | 22:13:47] [Trash]: $m 

[8.1.2021 | 22:13:49] [Trash]: $m 

[8.1.2021 | 22:13:50] [Trash]: $m 

[8.1.2021 | 22:13:51] [Trash]: $m 

[8.1.2021 | 22:13:53] [Trash]: $m 

[8.1.2021 | 22:13:54] [Trash]: $m 

[8.1.2021 | 22:13:56] [Trash]: $m 

[8.1.2021 | 22:13:57] [Trash]: $m 

[8.1.2021 | 22:13:59] [Trash]: $m 

[8.1.2021 | 23:1:48] [Trash]: $m 

[8.1.2021 | 23:1:51] [Trash]: $m 

[8.1.2021 | 23:1:53] [Trash]: $m 

[8.1.2021 | 23:1:55] [Trash]: $m 

[8.1.2021 | 23:1:57] [Trash]: $m 

[8.1.2021 | 23:1:58] [Trash]: $m 

[8.1.2021 | 23:2:0] [Trash]: $m 

[8.1.2021 | 23:2:1] [Trash]: $m 

[8.1.2021 | 23:2:2] [Trash]: $m 

[8.1.2021 | 23:2:4] [Trash]: $m 

[8.1.2021 | 23:2:24] [Mangoludek]: $wa 

[8.1.2021 | 23:2:36] [Mangoludek]: $wa 

[8.1.2021 | 23:2:38] [Mangoludek]: $wa 

[8.1.2021 | 23:2:39] [Mangoludek]: $wa 

[8.1.2021 | 23:2:42] [Mangoludek]: $wa 

[8.1.2021 | 23:2:44] [Mangoludek]: $wa 

[8.1.2021 | 23:2:46] [Mangoludek]: $wa 

[8.1.2021 | 23:2:47] [Mangoludek]: $wa 

[8.1.2021 | 23:2:49] [Mangoludek]: $wa 

[8.1.2021 | 23:2:51] [Mangoludek]: $wa 

[8.1.2021 | 23:2:52] [Mangoludek]: $wa 

[8.1.2021 | 23:56:12] [fockus17]: $im Hayase Nagatoro 

[8.1.2021 | 23:56:16] [fockus17]: XD 

[8.1.2021 | 23:56:21] [fockus17]: $ha 

[8.1.2021 | 23:56:22] [fockus17]: $ha 

[8.1.2021 | 23:56:24] [fockus17]: $ha 

[8.1.2021 | 23:56:27] [fockus17]: $ha 

[8.1.2021 | 23:56:28] [fockus17]: $ha 

[8.1.2021 | 23:56:31] [fockus17]: $ha 

[8.1.2021 | 23:56:32] [fockus17]: $ha 

[8.1.2021 | 23:56:34] [fockus17]: $ha 

[8.1.2021 | 23:56:35] [fockus17]: $ha 

[8.1.2021 | 23:56:37] [fockus17]: $ha 

[8.1.2021 | 23:56:38] [fockus17]: $ha 

[8.1.2021 | 23:56:41] [Trash]: $m 

[8.1.2021 | 23:56:43] [Trash]: $m 

[8.1.2021 | 23:56:44] [Trash]: $m 

[8.1.2021 | 23:56:46] [Trash]: $m 

[8.1.2021 | 23:56:47] [Trash]: $m 

[8.1.2021 | 23:56:48] [Trash]: $m 

[8.1.2021 | 23:56:50] [Trash]: $m 

[8.1.2021 | 23:56:52] [Trash]: $m 

[8.1.2021 | 23:56:53] [Trash]: $m 

[8.1.2021 | 23:56:54] [Trash]: $m 

[8.1.2021 | 23:57:3] [fockus17]: $im 2p 

[8.1.2021 | 23:58:55] [Trash]: .user <@791310078690983946> 

[9.1.2021 | 0:31:52] [fockus17]: .user 

[9.1.2021 | 0:33:16] [Izumi Midori]: $mg 

[9.1.2021 | 0:33:18] [Izumi Midori]: $mg 

[9.1.2021 | 0:33:20] [Izumi Midori]: $mg 

[9.1.2021 | 0:33:21] [Izumi Midori]: $mg 

[9.1.2021 | 0:33:22] [Izumi Midori]: $mg 

[9.1.2021 | 0:33:25] [Izumi Midori]: $mg 

[9.1.2021 | 0:33:26] [Izumi Midori]: $mg 

[9.1.2021 | 0:33:28] [Izumi Midori]: $mg 

[9.1.2021 | 0:33:29] [Izumi Midori]: $mg 

[9.1.2021 | 0:33:30] [Izumi Midori]: $mg 

[9.1.2021 | 15:29:14] [fockus17]: $ga 

[9.1.2021 | 15:29:15] [fockus17]: $ha 

[9.1.2021 | 15:29:16] [fockus17]: $ha 

[9.1.2021 | 15:29:17] [fockus17]: $ha 

[9.1.2021 | 15:29:23] [fockus17]: Nieeee 

[9.1.2021 | 15:29:36] [fockus17]: $im Shitaro Midorima 

[9.1.2021 | 15:29:46] [fockus17]: $im Shitarou Midorima 

[9.1.2021 | 15:29:58] [fockus17]: $im Shintarou Midorima 

[9.1.2021 | 15:30:18] [fockus17]: $im Kuroko Tetsuya 

[9.1.2021 | 15:30:28] [fockus17]: $im Taiga Kagami 

[9.1.2021 | 15:30:41] [fockus17]: $im Aomine Daiki 

[9.1.2021 | 17:56:38] [Trash]: $m 

[9.1.2021 | 17:56:40] [Trash]: $m 

[9.1.2021 | 17:56:42] [Trash]: $m 

[9.1.2021 | 17:56:43] [Trash]: $m 

[9.1.2021 | 17:56:45] [Trash]: $m 

[9.1.2021 | 17:56:47] [Trash]: $m 

[9.1.2021 | 17:56:49] [Trash]: $m 

[9.1.2021 | 17:56:50] [Trash]: $m 

[9.1.2021 | 17:56:52] [Trash]: $m 

[9.1.2021 | 17:56:55] [Trash]: $m 

[9.1.2021 | 19:13:2] [fockus17]: $ha 

[9.1.2021 | 19:13:3] [fockus17]: $ha 

[9.1.2021 | 19:13:4] [fockus17]: $ha 

[9.1.2021 | 19:13:7] [fockus17]: $ha 

[9.1.2021 | 19:13:7] [fockus17]: $ha 

[9.1.2021 | 19:13:13] [fockus17]: $ha 

[9.1.2021 | 19:13:16] [fockus17]: $ha 

[9.1.2021 | 19:13:16] [fockus17]: $ha 

[9.1.2021 | 19:13:19] [fockus17]: $hq 

[9.1.2021 | 19:13:20] [fockus17]: $ha 

[9.1.2021 | 19:13:21] [fockus17]: $ha 

[9.1.2021 | 19:13:24] [fockus17]: $ha 

[9.1.2021 | 19:13:25] [fockus17]: $ha 

[9.1.2021 | 20:41:23] [fockus17]: $ha 

[9.1.2021 | 20:41:24] [fockus17]: $ha 

[9.1.2021 | 20:41:26] [fockus17]: $ha 

[9.1.2021 | 20:41:30] [fockus17]: $ha 

[9.1.2021 | 20:41:31] [fockus17]: $ha 

[9.1.2021 | 20:41:33] [fockus17]: $ha 

[9.1.2021 | 20:41:37] [fockus17]: $ha 

[9.1.2021 | 20:41:38] [fockus17]: $ha 

[9.1.2021 | 20:41:41] [fockus17]: $ha 

[9.1.2021 | 20:41:42] [fockus17]: $ha 

[9.1.2021 | 20:42:8] [Mangoludek]: $wa 

[9.1.2021 | 20:42:20] [Mangoludek]: $wa 

[9.1.2021 | 20:42:22] [Mangoludek]: $wa 

[9.1.2021 | 20:42:23] [Mangoludek]: $wa 

[9.1.2021 | 20:42:25] [Mangoludek]: $wa 

[9.1.2021 | 20:42:26] [Mangoludek]: $wa 

[9.1.2021 | 20:42:27] [Mangoludek]: $wa 

[9.1.2021 | 20:42:28] [Mangoludek]: $wa 

[9.1.2021 | 20:42:36] [Mangoludek]: $wa 

[9.1.2021 | 20:42:39] [Mangoludek]: $wa 

[9.1.2021 | 20:42:43] [Mangoludek]: $wa 

[9.1.2021 | 20:42:44] [fockus17]: $im Misato Tachibana 

[9.1.2021 | 22:52:55] [Mangoludek]: $wa 

[9.1.2021 | 22:53:4] [Mangoludek]: $wa 

[9.1.2021 | 22:53:15] [Mangoludek]: $wa 

[9.1.2021 | 22:53:19] [Mangoludek]: $wa 

[9.1.2021 | 22:53:19] [fockus17]: $im Saki watase 

[9.1.2021 | 22:53:26] [fockus17]: $im Saki Watase 

[9.1.2021 | 22:53:39] [Mangoludek]: $wa 

[9.1.2021 | 22:53:42] [Mangoludek]: $wa 

[9.1.2021 | 22:53:44] [Mangoludek]: $wa 

[9.1.2021 | 22:53:45] [Mangoludek]: $wa 

[9.1.2021 | 22:53:47] [Mangoludek]: $wa 

[9.1.2021 | 22:53:48] [Mangoludek]: $wa 

[9.1.2021 | 22:53:52] [fockus17]: $ha 

[9.1.2021 | 22:53:53] [fockus17]: $ha 

[9.1.2021 | 22:53:54] [fockus17]: $ha 

[9.1.2021 | 22:53:58] [fockus17]: $ha 

[9.1.2021 | 22:53:59] [fockus17]: $ha 

[9.1.2021 | 22:54:2] [fockus17]: $ha 

[9.1.2021 | 22:54:4] [fockus17]: $< 

[9.1.2021 | 22:54:7] [fockus17]: $ha 

[9.1.2021 | 22:54:8] [fockus17]: $ha 

[9.1.2021 | 22:54:9] [fockus17]: $ha 

[9.1.2021 | 22:54:12] [fockus17]: $ha 

[9.1.2021 | 22:54:15] [fockus17]: $< 

[9.1.2021 | 22:54:18] [fockus17]: $ha 

[9.1.2021 | 22:54:47] [Mangoludek]: $im SCP-001 (The Broken God) 

[9.1.2021 | 22:54:56] [fockus17]: $top 

[9.1.2021 | 22:55:15] [Mangoludek]: Co kurwa 

[9.1.2021 | 22:55:49] [Mangoludek]: Kto kurwa dał ją na pierwsze miejsce 

[9.1.2021 | 22:55:56] [fockus17]: $im Zero two 

[9.1.2021 | 22:56:3] [fockus17]: $im Rem 

[9.1.2021 | 22:56:11] [fockus17]: $im Ram 

[9.1.2021 | 22:56:22] [fockus17]: $im Subaru 

[9.1.2021 | 22:56:30] [fockus17]: $im Subaru natsuki 

[9.1.2021 | 22:56:48] [fockus17]: $im Felix argyle 

[9.1.2021 | 22:57:17] [fockus17]: $top boy 

[9.1.2021 | 22:58:19] [fockus17]: $top 

[9.1.2021 | 22:58:33] [fockus17]: $im Rias Gremory 

[9.1.2021 | 23:20:30] [fockus17]: $ha 

[9.1.2021 | 23:20:31] [fockus17]: $ha 

[10.1.2021 | 14:5:14] [fockus17]: $ma 

[10.1.2021 | 14:5:15] [fockus17]: $ma 

[10.1.2021 | 14:5:16] [fockus17]: $ma 

[10.1.2021 | 14:5:22] [fockus17]: $ma 

[10.1.2021 | 14:5:24] [fockus17]: $ma 

[10.1.2021 | 14:5:27] [fockus17]: $ma 

[10.1.2021 | 14:5:28] [fockus17]: $ma 

[10.1.2021 | 14:5:31] [fockus17]: $ma 

[10.1.2021 | 14:5:33] [fockus17]: $ma 

[10.1.2021 | 14:5:38] [fockus17]: $ma 

[10.1.2021 | 14:5:39] [fockus17]: $ma 

[10.1.2021 | 14:44:9] [Trash]: $m 

[10.1.2021 | 14:44:15] [Trash]: $m 

[10.1.2021 | 14:44:18] [Trash]: $m 

[10.1.2021 | 14:44:20] [Trash]: $m 

[10.1.2021 | 14:44:21] [Trash]: $m 

[10.1.2021 | 14:44:23] [Trash]: $m 

[10.1.2021 | 14:44:24] [Trash]: $m 

[10.1.2021 | 14:44:26] [Trash]: $m 

[10.1.2021 | 14:44:28] [Trash]: $m 

[10.1.2021 | 14:44:30] [Trash]: $m 

[10.1.2021 | 14:44:50] [Trash]: 'claim 41 

[10.1.2021 | 14:45:59] [Trash]: .user 

[10.1.2021 | 14:46:7] [Trash]: Kur zapomniałam pinga 

[10.1.2021 | 14:46:9] [Trash]: Pf 

[10.1.2021 | 14:46:38] [Trash]: 2 dni <:emoji_10:780167257204326422> 

[10.1.2021 | 14:47:48] [Trash]: <:emoji_10:780167257204326422> <:emoji_19:783061995351179314> <:emoji_10:780167257204326422> <:emoji_4:779367208534409267> <:emoji_13:780167933480927233> <:emoji_7:779369233473077248> <:emoji_6:779368641288077382> <:emoji_20:783062020340973568> 😍 💅 🥰 💓 <:emoji_7:779369233473077248> <:emoji_19:783061995351179314> <:emoji_10:780167257204326422> <:emoji_4:779367208534409267> <:emoji_13:780167933480927233> <:emoji_13:780167933480927233> <:emoji_40:783338999405740062> 😍 <:emoji_2:779301232736469052> <:emoji_6:779368641288077382> <:emoji_4:779367208534409267> <:emoji_40:783338999405740062> <:emoji_6:779368641288077382> <:emoji_20:783062020340973568> <:emoji_10:780167257204326422> <:emoji_10:780167257204326422> <:emoji_10:780167257204326422> <:emoji_10:780167257204326422> <:emoji_19:783061995351179314> <:emoji_19:783061995351179314> <:emoji_19:783061995351179314> <:emoji_13:780167933480927233> <:emoji_13:780167933480927233> <:emoji_20:783062020340973568> <:emoji_11:780167282143920158> <:emoji_10:780167257204326422> <:emoji_20:783062020340973568> <:emoji_13:780167933480927233> <:emoji_19:783061995351179314> <:emoji_10:780167257204326422> <:emoji_13:780167933480927233> <:emoji_20:783062020340973568> <:emoji_19:783061995351179314> <:emoji_10:780167257204326422> <:emoji_4:779367208534409267> <:emoji_4:779367208534409267> <:emoji_4:779367208534409267> <:emoji_40:783338999405740062> <:emoji_40:783338999405740062> <:emoji_7:779369233473077248> <:emoji_7:779369233473077248> <:emoji_6:779368641288077382> <:emoji_6:779368641288077382> 💅 ❤️ <:emoji_40:783338999405740062> 😍 🥰 <:emoji_10:780167257204326422> <:emoji_19:783061995351179314> <:emoji_13:780167933480927233> <:emoji_19:783061995351179314> <:emoji_19:783061995351179314> 💅 <:emoji_20:783062020340973568> <:emoji_7:779369233473077248> 😍 🥰 <:emoji_10:780167257204326422> 

[10.1.2021 | 14:47:53] [Trash]: KURSJBbw 

[10.1.2021 | 14:48:22] [Trash]: Zjebie zjebany zjeb zjebany zjeb zjebany zjebie zajeb zjeba zjebie 

[10.1.2021 | 14:48:28] [Trash]: 'claim 96 

[10.1.2021 | 14:59:27] [fockus17]: $ha 

[10.1.2021 | 14:59:28] [fockus17]: $ha 

[10.1.2021 | 14:59:33] [fockus17]: $ha 

[10.1.2021 | 14:59:37] [fockus17]: $ha 

[10.1.2021 | 14:59:38] [fockus17]: $ha 

[10.1.2021 | 14:59:42] [fockus17]: $ha 

[10.1.2021 | 14:59:44] [fockus17]: $ha 

[10.1.2021 | 14:59:49] [fockus17]: $ja 

[10.1.2021 | 14:59:52] [fockus17]: $ha 

