[9.1.2021 | 20:2:19] [Kishunia]: Pora na tabletki. 
[9.1.2021 | 23:25:36] [piołun]: Prosze ja musze wiedziec 

[9.1.2021 | 23:34:6][DoctorToxic]: undefined [Image Link:https://cdn.discordapp.com/attachments/787765832033107968/797594072290295878/Screenshot_20210109_233358_com.android.chrome.jpg] 

[9.1.2021 | 23:34:57] [piołun]: A to w tubxee 

[9.1.2021 | 23:34:59] [piołun]: Dzieci 

[9.1.2021 | 23:35:5] [piołun]: Dzieki w sensie 

[9.1.2021 | 23:35:7] [piołun]: Kc 

[9.1.2021 | 23:37:32] [DoctorToxic]: UvU 

[9.1.2021 | 23:38:43] [Deamovsky]: Witam Witam 

[9.1.2021 | 23:39:30] [piołun]: Nie ma nid takiego wrr 

[9.1.2021 | 23:39:39] [piołun]: No to kupie maslo w sprayu trudno 

[9.1.2021 | 23:40:8] [DoctorToxic]: XD 

[10.1.2021 | 11:29:28] [DoctorToxic]: Dobra już nieważne już je mam xD 

[10.1.2021 | 11:29:33] [emm]: To jest gdzieś przy stormbearer point 

[10.1.2021 | 11:29:34] [emm]: O 

[10.1.2021 | 11:29:41] [DoctorToxic]: Tak pod góry 

[10.1.2021 | 11:29:45] [DoctorToxic]: Coś w tym stylu rosną 

[10.1.2021 | 11:29:49] [emm]: No 

[10.1.2021 | 11:30:2] [DoctorToxic]: Szczęśliwie mi się tam misję trafiły 

[10.1.2021 | 11:30:6] [DoctorToxic]: Lmao 

[10.1.2021 | 11:44:13] [FiczetoX]: Dzień dobry -_- 

[10.1.2021 | 11:46:28] [krasnal ogrodowy niko]: Czeeeeeść 

[10.1.2021 | 11:46:30] [krasnal ogrodowy niko]: Jak się spało? 

[10.1.2021 | 11:47:46] [FiczetoX]: Nawet, ale słuchawki niewygodne 

[10.1.2021 | 11:49:17] [krasnal ogrodowy niko]: Ojooj 

[10.1.2021 | 11:49:20] [krasnal ogrodowy niko]: Biedaczek 

[10.1.2021 | 11:50:9] [FiczetoX]: Przestań 

[10.1.2021 | 11:50:14] [krasnal ogrodowy niko]: Uwuuuuu 

[10.1.2021 | 11:50:34] [krasnal ogrodowy niko]: Ale to było uroczeee 

[10.1.2021 | 11:50:39] [krasnal ogrodowy niko]: 🥺 

[10.1.2021 | 11:50:58] [FiczetoX]: Ale jednak da się zasnąć przy Slayerze 

[10.1.2021 | 11:52:35] [krasnal ogrodowy niko]: Mhmm 

[10.1.2021 | 11:52:54] [FiczetoX]: Przestań 

[10.1.2021 | 11:53:33] [FiczetoX]: Zgadnij -_- 

[10.1.2021 | 11:54:57] [krasnal ogrodowy niko]: Nic 

[10.1.2021 | 11:55:2] [krasnal ogrodowy niko]: Teraz po prostu napisałem mhm 

[10.1.2021 | 11:55:17] [krasnal ogrodowy niko]: A przeciągam z przyzwyczajenia 

[10.1.2021 | 11:55:56] [FiczetoX]: Uznajmy -_- 

[10.1.2021 | 11:56:16] [krasnal ogrodowy niko]: Przestań mnie atakować tymi emotkami >:+ 

[10.1.2021 | 11:56:24] [FiczetoX]: Ok -_- 

[10.1.2021 | 12:14:23] [Kishunia]: Dzień dobry 

[10.1.2021 | 12:31:57] [FiczetoX]: Dzień dobry 

[10.1.2021 | 12:37:48] [piołun]: Dzisiaj tez ide spac na glosowy elo 

[10.1.2021 | 12:39:43] [18seba03]: Dobry dzień 

[10.1.2021 | 12:40:32] [krasnal ogrodowy niko]: Ficzetox dalej na spanku siedzi 

[10.1.2021 | 12:40:39] [krasnal ogrodowy niko]: Budzimy się budzimy 

[10.1.2021 | 12:41:3] [FiczetoX]: Weź mnie wyrzuć, bo nie chce mi się iść po telefon 

[10.1.2021 | 12:41:32] [FiczetoX]: <@697153934246150185> 

[10.1.2021 | 12:41:45] [FiczetoX]: W sensie z kanału 

[10.1.2021 | 12:42:4] [krasnal ogrodowy niko]: Już 

[10.1.2021 | 12:42:10] [FiczetoX]: Dzięki 

[10.1.2021 | 12:42:16] [krasnal ogrodowy niko]: Kuwaaaa 

[10.1.2021 | 12:42:19] [krasnal ogrodowy niko]: Muszę iść się myć 

[10.1.2021 | 12:42:30] [krasnal ogrodowy niko]: Bo dzisiaj idziemy do fajnego wujka i ja chcę iść 

[10.1.2021 | 12:42:36] [krasnal ogrodowy niko]: Ale mi się nie chce myć 

[10.1.2021 | 12:43:39] [piołun]: Niko unyj sie bo julek ci powie ze wujek lepiej pachnie 

[10.1.2021 | 12:44:6] [krasnal ogrodowy niko]: Siedzi przy mnie i jeszcze nie poszedł ;_; 

[10.1.2021 | 12:44:13] [krasnal ogrodowy niko]: A poza tym myłem się wczoraj 

[10.1.2021 | 12:44:16] [krasnal ogrodowy niko]: Tylko włosów nie 

[10.1.2021 | 12:44:23] [piołun]: To wlosy ci smierdza 

[10.1.2021 | 12:44:32] [krasnal ogrodowy niko]: ;_; 

[10.1.2021 | 12:44:32] [piołun]: Umyj sie 

[10.1.2021 | 12:44:57] [piołun]: Jak sie umyjesz to go przytul ode mnie 

[10.1.2021 | 12:44:58] [po prostu kaczka]: Co było na mszy? 

[10.1.2021 | 12:45:8] [piołun]: Wspomnirnir chrztu 

[10.1.2021 | 12:45:17] [piołun]: Pierdolenie o szopenie 

[10.1.2021 | 12:45:27] [piołun]: Wspomnienie smierci takiej laski ze szkoly 

[10.1.2021 | 12:46:3] [po prostu kaczka]: Ou 

[10.1.2021 | 12:47:48] [piołun]: Ii 

[10.1.2021 | 13:28:31] [krasnal ogrodowy niko]: Przytuliłem im 

[10.1.2021 | 13:29:0] [krasnal ogrodowy niko]: I się mnie pyta 

[10.1.2021 | 13:41:23] [Kishunia]: Czy jest Pani w stanie, służyć w Afganistanie 

[10.1.2021 | 13:44:11][Kishunia]: undefined [Image Link:https://cdn.discordapp.com/attachments/787765832033107968/797808001821835294/received_199891578577037.jpeg] 

[10.1.2021 | 14:6:35] [piołun]: Co znacza cyferki aa 

[10.1.2021 | 14:8:24] [Kishunia]: You wouldn't get it 

[10.1.2021 | 14:10:16] [piołun]: Powiedz mi '( 

[10.1.2021 | 14:10:34] [Kishunia]: Nie 

[10.1.2021 | 14:10:45] [Kishunia]: Jesteś za młofa 

[10.1.2021 | 14:11:41] [piołun]: Nie wiesz ile mam lat 

[10.1.2021 | 14:14:51] [Kishunia]: I nie musze 

[10.1.2021 | 14:18:9] [piołun]: No
Ale ja musze wiedziec co oznaczaja te cyferki 

[10.1.2021 | 14:18:25] [Kishunia]: Nie musisz 

[10.1.2021 | 14:18:42] [Kishunia]: Tą wiedzę, trzeba posiąść samodzielnie 

[10.1.2021 | 14:19:0] [Kishunia]: Tą wiedze? Tę wiedzę? 

[10.1.2021 | 14:19:2] [Kishunia]: Jebać. 

[10.1.2021 | 14:19:48] [piołun]: Trudno deam mi wyjasni 

[10.1.2021 | 15:1:21][Kishunia]: undefined [Image Link:https://cdn.discordapp.com/attachments/787765832033107968/797827423428280370/Screenshot_20210110-100919.jpg] 

[10.1.2021 | 15:23:11] [18seba03]: Wiedza z cyferkami jest legendarna i póki sama jej nie zdobędziesz wkładając w to starania to nic nie osiągniesz 

[10.1.2021 | 15:25:10] [piołun]: Dostałam klucza :DD 

[10.1.2021 | 15:25:41] [18seba03]: Jakiego klucza? 

[10.1.2021 | 15:26:14] [piołun]: Potem sprawdze xd ale deam powiedIal ze fajny 

[10.1.2021 | 15:26:46] [Kishunia]: Sam klucz, chuja Ci da 

[10.1.2021 | 15:26:46] [18seba03]: Ahła 

[10.1.2021 | 15:26:56] [Kishunia]: Musisz wiedzieć jak go użyć 

[10.1.2021 | 15:26:59] [18seba03]: Tu trzeba jeszcze zrozumienia 

[10.1.2021 | 15:27:18] [piołun]: Klucz to juz cos ok 

[10.1.2021 | 15:27:42] [piołun]: Zwlasscza ze moje poszukiwania to zulenie odpowiedzi od jednej osoby xD 

[10.1.2021 | 15:28:9] [18seba03]: Jak dla mnie nie jesteś jeszcze godną tej wiedzy *sip tea* 

[10.1.2021 | 15:28:26] [piołun]: Ups 

[10.1.2021 | 15:29:54] [Deamovsky]: ona się dopiero uczy tej wiedzy i nie wie wszystkiego jeszcze 

[10.1.2021 | 19:5:53] [cheeto pizzerini]: hej kochani 

[10.1.2021 | 19:5:57] [cheeto pizzerini]: powiedzcie mi 

[10.1.2021 | 19:6:2] [cheeto pizzerini]: jakie macie znaki zodiaku\ 

[10.1.2021 | 19:6:13] [cheeto pizzerini]: plis 

[10.1.2021 | 19:8:32] [Kishunia]: Byk 

[10.1.2021 | 19:9:50] [sausage snout]: kangur 

[10.1.2021 | 19:11:26] [Invejosa]: Ojojoj, nie wiem. Chyba ryba, nie znam się na znakach zodiaku 

[10.1.2021 | 19:11:46] [Kishunia]: Każdy znak obejmuje chyba 3 miesiące 

[10.1.2021 | 19:11:50] [Kishunia]: Jak dobrze pamiętam 

[10.1.2021 | 19:11:56] [Kishunia]: Mogę się mylił 

[10.1.2021 | 19:12:7] [cheeto pizzerini]: to dlaczego jest 12 znaków 

[10.1.2021 | 19:12:13] [cheeto pizzerini]: intelektualisto 

[10.1.2021 | 19:12:15] [Invejosa]: Jeden miesiąc... 

[10.1.2021 | 19:12:16] [Kishunia]: Jeden chuj 

[10.1.2021 | 19:12:18] [Invejosa]: Nie trzy 

[10.1.2021 | 19:12:21] [Kishunia]: Myśleć mi się nie chce 

[10.1.2021 | 19:12:49] [-Saki-]: Lew 

[10.1.2021 | 19:15:21] [NoOne]: Zakazy po co Ci to <:AK_Triggered_Nani:752082354868060231> 

[10.1.2021 | 19:18:18] [cheeto pizzerini]: co to za znak zakazy 

[10.1.2021 | 19:18:26] [cheeto pizzerini]: a po co miałyby mi być 

[10.1.2021 | 19:18:53] [cheeto pizzerini]: po waszysz znakach znajdę wasz adres ip i wystalkuję wasze wszystkie media społecznościowe 

[10.1.2021 | 19:19:14] [cheeto pizzerini]: potem dowiem się jaki jest wasz adres 

[10.1.2021 | 19:19:57] [cheeto pizzerini]: pa 

[10.1.2021 | 19:20:9] [NoOne]: <a:znikam:778064952140627998> 

[10.1.2021 | 19:31:27] [18seba03]: Wodnik 

[10.1.2021 | 19:31:32] [18seba03]: *sip Tea* 

[10.1.2021 | 19:31:47] [18seba03]: sorry ale to tak nie działa 

[10.1.2021 | 19:33:27] [cheeto pizzerini]: no kurwa nie pierdol geniuszu 

[10.1.2021 | 19:33:32] [cheeto pizzerini]: chcesz medal? 

[10.1.2021 | 19:33:53] [krasnal ogrodowy niko]: Skrobia spokojnie 

[10.1.2021 | 19:34:37] [cheeto pizzerini]: jak mam być kurwa spokojna jak on myśli że jest kurwa bystry jakiś 

[10.1.2021 | 19:35:36] [cheeto pizzerini]: do 21 bliznieta od 22 rak 

[10.1.2021 | 19:38:21] [krasnal ogrodowy niko]: A to ja mam bliźnięta 

[10.1.2021 | 19:38:30] [FiczetoX]: Bliźnięta 

[10.1.2021 | 19:39:20] [FiczetoX]: Z Maja 

[10.1.2021 | 19:39:31] [krasnal ogrodowy niko]: Kurce 

[10.1.2021 | 19:39:34] [krasnal ogrodowy niko]: Ktoś jest z czerwca może? 

[10.1.2021 | 19:39:41] [FiczetoX]: Lucek 

[10.1.2021 | 19:39:47] [krasnal ogrodowy niko]: Kto to lucek 

[10.1.2021 | 19:39:52] [FiczetoX]: Mój mops 

[10.1.2021 | 19:40:4] [krasnal ogrodowy niko]: ;_; 

[10.1.2021 | 19:40:7] [cheeto pizzerini]: SAME SISTERRR 

[10.1.2021 | 19:40:18] [cheeto pizzerini]: Niko którego dnia 

[10.1.2021 | 19:40:22] [cheeto pizzerini]: sie urodziles 

[10.1.2021 | 19:41:13] [tsuki]: oo, czyli zaraz urodzinki czy już po?^^ 

[10.1.2021 | 19:42:48] [18seba03]: wyjaśnianie takich jest zabawne *sip Tea* 

[10.1.2021 | 19:42:53] [18seba03]: ta w lutym 

[10.1.2021 | 19:43:13] [FiczetoX]: Dużo ci jeszcze tej herbaty zostało? 

[10.1.2021 | 19:43:14] [cheeto pizzerini]: ty wyjaśniłeś mnie kiedy? 

[10.1.2021 | 19:43:17] [tsuki]: sto lat na przyszłość haha 

[10.1.2021 | 19:43:24] [cheeto pizzerini]: bo chyba nie poczułam tego zniszczenia 

[10.1.2021 | 19:43:26] [18seba03]: zapas mam, podzielić się? 

[10.1.2021 | 19:43:32] [18seba03]: Dzięks 

[10.1.2021 | 19:43:41] [krasnal ogrodowy niko]: Drugiego 

[10.1.2021 | 19:43:59] [cheeto pizzerini]: jestes bliznietami 

[10.1.2021 | 19:44:3] [cheeto pizzerini]: tak jak ja i ficzet 

[10.1.2021 | 19:44:5] [FiczetoX]: A jaką masz? 

[10.1.2021 | 19:44:21] [krasnal ogrodowy niko]: UUUUUUWUUUUUU 

[10.1.2021 | 19:44:33] [18seba03]: Mięta, malinowa, owocowa, czarna, mocna, i wiele innych 

[10.1.2021 | 19:44:50] [cheeto pizzerini]: zielonej nie masz 

[10.1.2021 | 19:44:56] [cheeto pizzerini]: słabeuszu 

[10.1.2021 | 19:44:59] [18seba03]: na kij mam wymieniac wszystkie? 

[10.1.2021 | 19:45:5] [cheeto pizzerini]: tak 

[10.1.2021 | 19:45:8] [cheeto pizzerini]: masz 

[10.1.2021 | 19:45:11] [cheeto pizzerini]: wymieniac 

[10.1.2021 | 19:45:14] [FiczetoX]: Wymień, mamy czas 

[10.1.2021 | 19:45:15] [cheeto pizzerini]: wszystkie 

[10.1.2021 | 19:45:21] [18seba03]: Pani brak ortografii prosze mnie tu się nie mądrzyć *sip tea* 

[10.1.2021 | 19:45:30] [krasnal ogrodowy niko]: Ejejejej 

[10.1.2021 | 19:45:38] [cheeto pizzerini]: przecież umiem pisać poparwnie stary 

[10.1.2021 | 19:45:39] [krasnal ogrodowy niko]: Stop 

[10.1.2021 | 19:45:50] [cheeto pizzerini]: jesteś wybitnie irytujący 

[10.1.2021 | 19:46:1] [18seba03]: no wczoraj widziałem xD, dobra Niko nie będę ciągnąc tego 

[10.1.2021 | 19:46:7] [FiczetoX]: 🫖 

[10.1.2021 | 19:46:14] [krasnal ogrodowy niko]: Dziękuję ❤️ 

[10.1.2021 | 19:46:19] [cheeto pizzerini]: gdybym cie znała irl musialabym ze sobą potężnie walczyć żeby ci nie wyjebac z liscia na ryj 

[10.1.2021 | 19:46:20] [cheeto pizzerini]: <3 

[10.1.2021 | 19:46:23] [krasnal ogrodowy niko]: Ojoi jak ja kocham jak mówicie do mnie Niko 

[10.1.2021 | 19:46:38] [FiczetoX]: Tak, Nikodemie? 

[10.1.2021 | 19:46:43] [cheeto pizzerini]: no bo kurwa pisałam ze znajomymi co dosłownie byliśmy na vc 

[10.1.2021 | 19:46:50] [cheeto pizzerini]: na chuj mam sie starac w pisowni 

[10.1.2021 | 19:46:56] [krasnal ogrodowy niko]: Skrobia proszę 

[10.1.2021 | 19:46:59] [cheeto pizzerini]: proś 

[10.1.2021 | 19:47:0] [18seba03]: nie będę nawet nic pisać bo nie ma sensu zużywać na Ciebie chociażby promila umysłu 

[10.1.2021 | 19:47:7] [krasnal ogrodowy niko]: CAPTAIN 

[10.1.2021 | 19:47:14] [cheeto pizzerini]: nie masz wiele do zużycia kociak 

[10.1.2021 | 19:47:20] [cheeto pizzerini]: 💋 

[10.1.2021 | 19:47:23] [18seba03]: Sory ale Ona tak kusi by jeździć dla beki xD 

[10.1.2021 | 19:47:31] [cheeto pizzerini]: no śmiało 

[10.1.2021 | 19:47:35] [cheeto pizzerini]: czy ja ci bronię? 

[10.1.2021 | 19:47:52] [18seba03]: nie, ale Niko ładnie prosił to się wstrzymuję *sip tea* 

[10.1.2021 | 19:48:6] [cheeto pizzerini]: nie udław się ta herbatką 

[10.1.2021 | 19:48:9] [tsuki]: kochani, plis. nie kłóćcie się :c a jak już musicie to na priv 

[10.1.2021 | 19:48:19] [cheeto pizzerini]: nie bede pisac z nikim na prov 

[10.1.2021 | 19:48:21] [cheeto pizzerini]: prov 

[10.1.2021 | 19:48:23] [cheeto pizzerini]: priv 

[10.1.2021 | 19:48:28] [18seba03]: https://tenor.com/view/anime-tea-drink-cute-bangs-gif-15778933 

[10.1.2021 | 19:48:40] [tsuki]: kocham to anime, uwu 

[10.1.2021 | 19:48:44] [cheeto pizzerini]: https://tenor.com/view/kubi-shime-anime-struggle-choke-gif-10894130 

[10.1.2021 | 19:48:46] [18seba03]: jakie to? 

[10.1.2021 | 19:48:48] [cheeto pizzerini]: this could be us 

[10.1.2021 | 19:48:51] [cheeto pizzerini]: captain 

[10.1.2021 | 19:48:53] [tsuki]: inu x boku ss 

[10.1.2021 | 19:48:54] [cheeto pizzerini]: ur the girl 

[10.1.2021 | 19:49:2] [18seba03]: o czym mniej więcej? 

[10.1.2021 | 19:49:4] [cheeto pizzerini]: a ja tą reką 

[10.1.2021 | 19:49:13] [tsuki]: znasz kamisama hajimemashita? 

[10.1.2021 | 19:49:23] [tsuki]: <@!303250741429272577> ^ 

[10.1.2021 | 19:49:23] [18seba03]: chyba kojarzę 

[10.1.2021 | 19:49:36] [tsuki]: no to coś w ten deseń tylko bez haremu 

[10.1.2021 | 19:49:47] [18seba03]: a dobra, może obejrze sobie 

[10.1.2021 | 19:50:11] [tsuki]: i takie spokojniejsze, słodsze i główna bohaterka tak nie irytuje 

[10.1.2021 | 19:50:15] [cheeto pizzerini]: ile macie obejrzanych anime 

[10.1.2021 | 19:50:17] [cheeto pizzerini]: tak około 

[10.1.2021 | 19:50:21] [tsuki]: 35 około 

[10.1.2021 | 19:50:24] [cheeto pizzerini]: jeśli macie gdzies spis czy cos 

[10.1.2021 | 19:50:31] [cheeto pizzerini]: <@!303250741429272577> 

[10.1.2021 | 19:50:32] [cheeto pizzerini]: ile masz 

[10.1.2021 | 19:50:35] [FiczetoX]: Całkowicie obejrzanych? 

[10.1.2021 | 19:50:38] [tsuki]: a ty, mamke? 

[10.1.2021 | 19:50:38] [cheeto pizzerini]: tak 

[10.1.2021 | 19:50:46] [Nazwa Uzytkownika]: ja mam 20-iles 

[10.1.2021 | 19:50:53] [FiczetoX]: 1 skończone, 12 niedokończonych 

[10.1.2021 | 19:51:19] [18seba03]: nie licze, moge tylko podac Ci rok od ktorego mniej więcej oglądam 

[10.1.2021 | 19:51:43] [tsuki]: ale bardziej 20, 50, 100, 1000? 

[10.1.2021 | 19:51:46] [cheeto pizzerini]: 113 ale to liczy sezony i dodatki i wszystko jako osobne anime czy coś więc ogólnie serii mam mniej 

[10.1.2021 | 19:52:15] [FiczetoX]: Jak sezony, to 2 

[10.1.2021 | 19:52:22] [cheeto pizzerini]: wsesnie że jak mam np. snk 1,2 i 3 sezon obejrzane to liczy jako 3 a nie 1 anime 

[10.1.2021 | 19:52:31] [tsuki]: aaa, i tak sporo ^^ ja liczę po całości🙈 

[10.1.2021 | 19:52:32] [cheeto pizzerini]: słabe troche ale nie chce mi sie przepisywac 

[10.1.2021 | 19:52:35] [18seba03]: Jakbym miał strzelać może koło 300-450? wiem tylko że na telefonie już nie liczy mi kart pootwieranych przez anime od 6 lat 

[10.1.2021 | 19:52:48] [tsuki]: dobra, lecę oglądać akame ga kill 

[10.1.2021 | 19:52:51] [cheeto pizzerini]: podaj 

[10.1.2021 | 19:52:54] [tsuki]: bay bay, mina < 3 

[10.1.2021 | 19:52:55] [krasnal ogrodowy niko]: Ja w sumie mało obejrzałem 

[10.1.2021 | 19:52:58] [18seba03]: ja do tego ciągle się przymierzam 

[10.1.2021 | 19:53:17] [18seba03]: od 2011 

[10.1.2021 | 19:53:17] [cheeto pizzerini]: chce wiedzieć czy moja szybkośc oglądania jest raczej okej czy nie 

[10.1.2021 | 19:53:21] [FiczetoX]: Ja chcę dokończyć Another wreszcie, ale czasu nie mam 

[10.1.2021 | 19:53:22] [cheeto pizzerini]: oU 

[10.1.2021 | 19:53:36] [cheeto pizzerini]: długo 

[10.1.2021 | 19:53:40] [cheeto pizzerini]: ja od dwóch lat 

[10.1.2021 | 19:53:50] [cheeto pizzerini]: 🛌 

[10.1.2021 | 19:53:54] [18seba03]: tylko że wtedy to tez brałem za zwykłe bajki xd 

[10.1.2021 | 19:54:22] [18seba03]: a tak powazniej oglądając od 2013, wtedy zaczałem sam szukać anime do oglądania 

[10.1.2021 | 19:54:33] [krasnal ogrodowy niko]: Ja ledwo mam czas żeby zjeść w sumie no i jestem do tyłu z anime 

[10.1.2021 | 19:54:44] [18seba03]: ja po nocach oglądam 

[10.1.2021 | 19:54:51] [cheeto pizzerini]: ||stary jesteś|| 

[10.1.2021 | 19:54:53] [18seba03]: lub na nudnych lekcjach 

[10.1.2021 | 19:55:2] [18seba03]: wiem 

[10.1.2021 | 19:55:3] [krasnal ogrodowy niko]: Ile masz lat? 

[10.1.2021 | 19:55:12] [18seba03]: tyle ile ranga ma wpisane 

[10.1.2021 | 19:55:18] [cheeto pizzerini]: 54 

[10.1.2021 | 19:55:20] [krasnal ogrodowy niko]: O jezuu 

[10.1.2021 | 19:55:23] [cheeto pizzerini]: obstawiam 

[10.1.2021 | 19:55:26] [18seba03]: 18 

[10.1.2021 | 19:55:31] [krasnal ogrodowy niko]: Aaaaa 

[10.1.2021 | 19:55:31] [18seba03]: jprd co cie wzielo 

[10.1.2021 | 19:55:32] [18seba03]: xD 

[10.1.2021 | 19:55:43] [krasnal ogrodowy niko]: To mój brat jest starszy wsn 

