[10.1.2021 | 12:45:37][DoctorToxic]: undefined [Image Link:https://cdn.discordapp.com/attachments/787765876858421258/797793263544565790/Screenshot_20210110_124515_com.zhiliaoapp.musically.jpg] 
[10.1.2021 | 12:48:43] [DoctorToxic]: Dla mnie są dwu płciowi 

[10.1.2021 | 12:48:53] [FiczetoX]: Przypomniało mi się jak robiłem autorole z 40 opcjami, heh 

[10.1.2021 | 12:48:58] [DoctorToxic]: XD 

[10.1.2021 | 12:49:17] [FiczetoX]: Dere 

[10.1.2021 | 12:49:26] [DoctorToxic]: Dere? 

[10.1.2021 | 12:49:32] [FiczetoX]: 40+ rodzajów 

[10.1.2021 | 12:49:36] [DoctorToxic]: A 

[10.1.2021 | 12:49:40] [FiczetoX]: Wszystkie w autorolach 

[10.1.2021 | 12:49:46] [DoctorToxic]: Rozumiem rozumiem 

[10.1.2021 | 12:50:2] [FiczetoX]: Rodzaje charakteru (nie umiem tłumaczyć) 

[10.1.2021 | 12:51:12] [DoctorToxic]: A to 

[10.1.2021 | 12:51:15] [DoctorToxic]: Tsundere 

[10.1.2021 | 12:51:24] [FiczetoX]: Tia 

[10.1.2021 | 12:51:26] [DoctorToxic]: Itd 

[10.1.2021 | 12:51:38] [FiczetoX]: 40 rodzajów 

[10.1.2021 | 12:51:54] [DoctorToxic]: Jest 40 rodzajów dere? 

[10.1.2021 | 12:52:5] [FiczetoX]: Ponad 

[10.1.2021 | 12:52:17] [DoctorToxic]: :0 

[10.1.2021 | 14:6:55] [piołun]: Ja chxe plec piasek 

[10.1.2021 | 14:6:57] [piołun]: Proszek 

[10.1.2021 | 14:6:58] [piołun]: . 

[10.1.2021 | 21:50:17] [krasnal ogrodowy niko]: Co sądzicie o kabaretach? 

[10.1.2021 | 22:19:1] [FiczetoX]: Zależy kto wykonuje 

[10.1.2021 | 22:27:16] [po prostu kaczka]: Lubię jeden 

[10.1.2021 | 22:27:20] [po prostu kaczka]: Wiekszosc z nich jest suaba 

[13.1.2021 | 18:40:21][DoctorToxic]: undefined [Image Link:https://cdn.discordapp.com/attachments/787765876858421258/798969705137963008/Screenshot_20210113_184000_com.zhiliaoapp.musically.jpg] 

[13.1.2021 | 18:40:36] [DoctorToxic]: Matko bosko nie no idziesz do domu 

[15.1.2021 | 14:20:15] [_Zack_]: Ale większość 11 latek nawet okresu nie ma 

[15.1.2021 | 14:21:9] [krasnal ogrodowy niko]: Zdarzają się takie przypadki 

[15.1.2021 | 14:21:16] [krasnal ogrodowy niko]: Mimo wszystko 

[15.1.2021 | 14:39:51] [krasnal ogrodowy niko]: Ej 

[15.1.2021 | 14:39:58] [krasnal ogrodowy niko]: Co sądzicie o tej sytuacji z neta 

[15.1.2021 | 14:40:7] [krasnal ogrodowy niko]: W sensie nie z neta tylko z faktów 

[15.1.2021 | 14:40:37] [krasnal ogrodowy niko]: Że jakąś 13-latkę zabił 15-larek bo była w ciąży 

[15.1.2021 | 14:40:52] [Grylled]: No cóż this is America 

[15.1.2021 | 14:40:53] [krasnal ogrodowy niko]: Dla mnie to już po prostu patologia 

[15.1.2021 | 14:41:1] [Grylled]: Znaczy this is Poland 

[15.1.2021 | 14:41:14] [krasnal ogrodowy niko]: SWEEET HOOOME ALABAMA 

[15.1.2021 | 14:41:17] [Grylled]: No po prostu ameryka w polsce 

[15.1.2021 | 14:41:24] [Grylled]: Dzieci mają dzieci 

[15.1.2021 | 14:41:43] [krasnal ogrodowy niko]: SWEEET HOME ŚLĄĄĄSK! 

[15.1.2021 | 15:1:46] [piołun]: I maja dobrze xd
Ja dostalam okresu w wieku 9 lat 

[15.1.2021 | 15:2:43] [cheeto pizzerini]: Wtf 

[15.1.2021 | 15:2:50] [cheeto pizzerini]: Ja jak mialam 14 

[15.1.2021 | 15:2:55] [cheeto pizzerini]: 😐 

[15.1.2021 | 15:3:2] [cheeto pizzerini]: Albo 15 nawet nwm 

[15.1.2021 | 15:3:6] [cheeto pizzerini]: Żałosn3 

[15.1.2021 | 15:3:45] [piołun]: Tez nie bylam szczesliwa 

[15.1.2021 | 15:3:56] [piołun]: To byl koniec wakacji 

[15.1.2021 | 15:4:4] [piołun]: Wtedy 

[15.1.2021 | 15:8:42] [cheeto pizzerini]: Ja w sobote dostalam z tego co pamietam ito prezd pandemia chyba 

[15.1.2021 | 15:9:9] [cheeto pizzerini]: Wiec jeden okres mialam jak sie do szkoly chodzilo reszta w domu i czilera totalna 

[15.1.2021 | 15:10:58] [_Zack_]: To 15 łatkę zabił 13 latke 

[15.1.2021 | 15:11:54] [_Zack_]: A w dużej mierze zawinili rodzice też 

[15.1.2021 | 15:12:9] [_Zack_]: Bo co no seks uprawiał dzieciaki 

[15.1.2021 | 15:12:34] [_Zack_]: Nie pilnowali 

[15.1.2021 | 15:37:29] [po prostu kaczka]: Nie pławda, okres zaczyna się wcześniej nawet 

[15.1.2021 | 15:38:3] [po prostu kaczka]: Ja mialam wlasnie 11 ale skurcze mialam juz odkad mialam 10/9 lat 

[15.1.2021 | 23:3:15] [FiczetoX]: Dyskusja z <#787810456852889610> 

[15.1.2021 | 23:3:58] [Kishunia]: Celowo sięgnęłam po źródła internetowe 

[15.1.2021 | 23:4:21] [Kishunia]: pijąc laudanum – przygotowuje się je zalewając opium alkoholem, spirytusem lub wodą z kwaskiem cytrynowym. Taka forma spożywania narkotyku była popularna zwłaszcza w XIX wieku, kiedy nalewki opiumowe były szeroko dostępne. Można było je robić także na własny użytek. Według oryginalnego przepisu do nalewki z opium dodawano przyprawy: szafran, cynamon i goździki.
paląc – sposób wciąż bardzo popularny w krajach dalekiego Wschodu. Opium pali się za pomocą długiej fajki wdychając opary palonej substancji. Można również robić to przy użyciu kawałka folii aluminiowej, podgrzewając substancję od spodu płomieniem zapalniczki.
dożylnie – sterylne opium wymieszane z kwaskiem cytrynowym i zagotowane wlewa się do strzykawki i wkłuwa w żyłę. Metoda bardzo niebezpieczna z uwagi na to, że nie można przewidzieć, jaka ilość substancji wywoła pożądany efekt. Osoba nigdy wcześniej niezażywająca narkotyków nawet przy kilku kroplach roztworu wpuszczonych do krwioobiegu może dostać poważnej niewydolności oddechowej, a nawet umrzeć. 

[15.1.2021 | 23:4:55] [FiczetoX]: Jednakże oryginalnie było ono palone, więc zwrot "w formie opium", jest uważane za palone, bądź w formie laudanum 

[15.1.2021 | 23:5:19] [Kishunia]: Oficjalnie, tak. 

[15.1.2021 | 23:5:24] [Kishunia]: Nieoficjalnie, nie 

[15.1.2021 | 23:6:23] [FiczetoX]: > Metoda bardzo niebezpieczna z uwagi na to, że nie można przewidzieć, jaka ilość substancji wywoła pożądany efekt. 

[15.1.2021 | 23:7:3] [Kishunia]: Faktycznie, opium podawane dożylnie jest groźne, lecz szczerze mówiąc, niewiele osób interesuje czy taka osoba przeżyje 

[15.1.2021 | 23:7:35] [FiczetoX]: Ważne, żeby się sprzedało -_- 

[15.1.2021 | 23:7:41] [Kishunia]: Co najwyżej dla dealera, dla którego "obiekt" jest źródłem zarobku 

[15.1.2021 | 23:7:50] [Kishunia]: Szpitala który leczy taką osobę 

[15.1.2021 | 23:8:10] [Kishunia]: I straży więziennej która musi pilnować takich osób, które są wręcz zniszczone 

[15.1.2021 | 23:8:22] [Kishunia]: Poza nimi, wiele osób ma ich w dupie 

[15.1.2021 | 23:8:23] [FiczetoX]: Lecz dożylne przedawkowanie może zabić w kilka minut 

[15.1.2021 | 23:8:38] [FiczetoX]: Poprzez uduszenie 

[15.1.2021 | 23:8:38] [Kishunia]: Każde przedawkowanie może zabić w kilka minut 

[15.1.2021 | 23:8:53] [Kishunia]: I to nie tylko opium 

[15.1.2021 | 23:9:3] [Kishunia]: Nawet alkohol 

[15.1.2021 | 23:9:18] [FiczetoX]: Zależy jaki alkohol 

[15.1.2021 | 23:9:36] [Kishunia]: Mówiąc alkohol, mam na myśli ponad 40% 

[15.1.2021 | 23:9:58] [FiczetoX]: Etylowy? 

[15.1.2021 | 23:10:5] [Kishunia]: Oczywiście 

[15.1.2021 | 23:10:23] [Kishunia]: Metanol może być śmiertelny przy małych dawkach 

[15.1.2021 | 23:10:35] [Kishunia]: Etanol akurat jest najmniej śmiertelny 

[15.1.2021 | 23:10:44] [18seba03]: Metanol to trucizna od samego początku So 

[15.1.2021 | 23:10:53] [Kishunia]: Tak 

[15.1.2021 | 23:10:57] [Kishunia]: Chociaż 

[15.1.2021 | 23:11:4] [FiczetoX]: Już w minimalnych dawkach powoduje permanentną ślepotę 

[15.1.2021 | 23:11:12] [Kishunia]: Od opium, gorsze są dopalacze bazowane na mim 

[15.1.2021 | 23:11:42] [18seba03]: Pruwda 

[15.1.2021 | 23:12:7] [Kishunia]: Chuj wie jaki Domestos tam jest, czy inny kret 

[15.1.2021 | 23:12:8] [FiczetoX]: Są to narkoleptyki, dobrze pamiętam? 

[15.1.2021 | 23:12:47] [FiczetoX]: W sensie uspokajające 

[15.1.2021 | 23:12:48] [Kishunia]: Nie jestem pewna na 100% 

[15.1.2021 | 23:13:23] [Kishunia]: Propranolol chyba 

[15.1.2021 | 23:16:8] [FiczetoX]: Propranolol jest (teraz już rzadziej) używany jako lek na nadciśnienie 

[15.1.2021 | 23:17:7] [18seba03]: Ta 

[15.1.2021 | 23:17:22] [18seba03]: Chociaż podczas wojny Niemcy stosowali go do czego innego xd 

[15.1.2021 | 23:17:56] [FiczetoX]: Bronie chemiczne 

[15.1.2021 | 23:17:57] [Kishunia]: Podczas wojny, wszystkie sztuczki chemiczne są dozwolone 

[15.1.2021 | 23:18:22] [Kishunia]: Niemcy faszerowali żołnierzy, czekoladą z narkotykami 

[15.1.2021 | 23:18:44] [18seba03]: Właśnie chodziło mi o faszerowanie ich ale ok, broń chemiczną też spoks xf 

[15.1.2021 | 23:19:4] [Kishunia]: A Japonia przeprowadzała na ludziach eksperymenty z różnymi rodzajami broni chemicznej 

[15.1.2021 | 23:19:48] [18seba03]: Yup 

[15.1.2021 | 23:19:52] [18seba03]: W sumie nie tylko ona 

[15.1.2021 | 23:20:4] [Kishunia]: Wszyscy 

[15.1.2021 | 23:21:4] [FiczetoX]: Aktualnie trwają badania nad energią fuzyjną 

[15.1.2021 | 23:21:43] [18seba03]: Ta zimna fuzja to coś fajnego ale chuja z tego jak i tak najpierw wyciśniemy ziemię z ropy itp dla pieniędzy So 

[15.1.2021 | 23:21:49] [Kishunia]: I powstanie symbioza Jarosława Pashy Bicepsa z Pudzianem 

[15.1.2021 | 23:22:6] [18seba03]: xDD 

[18.1.2021 | 23:20:5] [_Zack_]: Śmierć wrogom włoszczyzny 

[18.1.2021 | 23:20:15] [cheeto pizzerini]: polska dla polaków 

[18.1.2021 | 23:20:20] [cheeto pizzerini]: ziemia dla ziemniaków 

[18.1.2021 | 23:20:24] [_Zack_]: Dag 

[18.1.2021 | 23:20:41] [krasnal ogrodowy niko]: Japier... 

[19.1.2021 | 19:29:29] [DoctorToxic]: <@407114029585399809> jaki masz problem do tego że wyglądam jak dziewczynę i pisze przez łem? 

[19.1.2021 | 19:30:32] [DoctorToxic]: Internet to jedyne miejsce gdzie mogę być kim chce. 

[19.1.2021 | 19:33:20] [_Zack_]: ~~nie powiedziałbym~~ 

[19.1.2021 | 19:34:1] [Kishunia]: Jedyny mój problem do tego, to że wciąż ból dupisz o to. Osobiście, jebie mnie to. Ale aż SAM się prosisz o pastwienie się nad tobą w ten sposób. Im bardziej się wkurwiasz o to, tym większą mi to sprawia frajdę. 

[19.1.2021 | 19:34:48] [DoctorToxic]: To nie jest frajda 

[19.1.2021 | 19:34:54] [DoctorToxic]: Chce wiedzieć jaki masz tylko problem 

[19.1.2021 | 19:35:4] [DoctorToxic]: Nie chce mi się tu siedzieć 

[19.1.2021 | 19:35:30] [_Zack_]: ~~odpowiedziała ci~~ 

[19.1.2021 | 19:35:34] [Kishunia]: Mówiłam o tym. Internet, to nie miejsce dla każdego. Niektórzy, nie nadają sie 

[19.1.2021 | 19:35:47] [Kishunia]: I nie musisz 

[19.1.2021 | 19:36:0] [DoctorToxic]: Hooo 

[19.1.2021 | 19:36:21] [Kishunia]: Możesz wyjść 

[19.1.2021 | 19:36:28] [Kishunia]: Złożyć skargę 

[19.1.2021 | 19:36:35] [Kishunia]: Dać se spokój 

[19.1.2021 | 19:36:49] [Kishunia]: Dalej mi tu moralizować 

[19.1.2021 | 19:36:50] [DoctorToxic]: Yare yare 

[19.1.2021 | 19:36:58] [DoctorToxic]: Dobra rób co chcesz 

[19.1.2021 | 19:37:1] [DoctorToxic]: Temat skończony 

[19.1.2021 | 19:37:3] [Kishunia]: Wiele masz do wyboru 

[19.1.2021 | 21:38:54] [_Zack_]: Ejeje 

[19.1.2021 | 21:38:56] [_Zack_]: Bo wy tacy doświadczeni 

[19.1.2021 | 21:39:38] [_Zack_]: Q w skrócie LGBTQ oznacza LGBT Qrwa 

[19.1.2021 | 21:39:42] [_Zack_]: TAK? 

[19.1.2021 | 21:40:27] [Kishunia]: te Q ma chyba jakoś się odnosić do tekstów "istnieje więcej płci niż 2" 

[19.1.2021 | 21:40:37] [krasnal ogrodowy niko]: Queer 

[19.1.2021 | 21:40:37] [Kishunia]: Jakieś non binary, gender fluid I inne chuje myje i dzikie węże 

[19.1.2021 | 21:41:12] [_Zack_]: Kto to jest quee 

[19.1.2021 | 21:41:28] [_Zack_]: Dzikie węże xd 

[19.1.2021 | 21:41:35] [_Zack_]: Pasuje 

[19.1.2021 | 21:41:52] [Kishunia]: Queer, to "dziwny" 

[19.1.2021 | 21:42:5][Kishunia]: undefined [Image Link:https://cdn.discordapp.com/attachments/787765876858421258/801189767428702208/Screenshot_20210119-214159.png] 

[19.1.2021 | 21:42:17] [_Zack_]: Ale z tego nic nie wynika 

[19.1.2021 | 21:42:26] [_Zack_]: Czyli co dziwacy to już lgbt 

[19.1.2021 | 21:42:27] [_Zack_]: ? 

[19.1.2021 | 21:43:3] [Kishunia]: LGBT, to ogół mniejszości o innej orientacji seksualnej niż hetero 

[19.1.2021 | 21:43:14] [Kishunia]: Niektóre są faktycznie istniejące 

[19.1.2021 | 21:43:18] [_Zack_]: No dobra ale z tej definicji z Wiki nic nie wynika 

[19.1.2021 | 21:43:41] [Kishunia]: A niektóre to wymyślone przez jakieś atencyjne Julki z twittera 

[19.1.2021 | 21:44:11] [Kishunia]: Queer, początkowo było wyzwiskiem LGBT, od dziwaków 

[19.1.2021 | 21:44:29] [emm]: W skrócie lgbtq+ nic nie jest wymyslone przez JuLKI ale ok 

[19.1.2021 | 21:44:31] [Kishunia]: Teraz to po prostu określenie, mniejszości 

[19.1.2021 | 21:45:17] [_Zack_]: Aha 

[19.1.2021 | 21:45:20] [_Zack_]: Debilizm 

[19.1.2021 | 21:45:37] [_Zack_]: 400 płci to becz00nia 

[19.1.2021 | 21:45:49] [krasnal ogrodowy niko]: Czemu debilizm? Nie pogrążaj się proszę 

[19.1.2021 | 21:45:50] [_Zack_]: Niektórzy to mam wrażenie specjalnie sobie szukają żeby być oryginalnym xd 

[19.1.2021 | 21:46:25] [emm]: Nie ma czegoś takiego jak 400 płci ale ok 

[19.1.2021 | 21:46:52] [_Zack_]: No tożsamości płciowe 

[19.1.2021 | 21:47:9] [_Zack_]: Bo ta literą q jest nie potrzebna 

[19.1.2021 | 21:47:14] [emm]: Ale nie ma ich 400 

[19.1.2021 | 21:47:15] [cheeto pizzerini]: y 

[19.1.2021 | 21:47:17] [_Zack_]: Wiadomo że jak gej to homo 

[19.1.2021 | 21:47:28] [_Zack_]: No 52 

[19.1.2021 | 21:47:35] [cheeto pizzerini]: określenie queer dosłownie istneije od kiedy powstalo lgbt 

[19.1.2021 | 21:47:42] [emm]: Nie ma czegoś takie typie ale ok 

[19.1.2021 | 21:47:42] [cheeto pizzerini]: już wtedy się fgo uzywalo 

[19.1.2021 | 21:48:16] [_Zack_]: No aj widzę że w Internecie są 

[19.1.2021 | 21:48:20] [_Zack_]: 56 dokładnie 

[19.1.2021 | 21:48:27] [emm]: Z jakiego źródła? 

[19.1.2021 | 21:50:9] [_Zack_]: Na Wikipedii 

[19.1.2021 | 21:50:19] [_Zack_]: I facebooku xd 

[19.1.2021 | 21:50:30] [_Zack_]: No ale w końcu fb pdoaza za postępem 

[19.1.2021 | 21:50:39] [_Zack_]: 🙃🙃🙃 

[19.1.2021 | 21:50:39] [Kishunia]: To się nazywa atencją ;) 

[19.1.2021 | 21:50:55] [_Zack_]: No np płeć bezpłciowa 

[19.1.2021 | 21:50:57] [_Zack_]: Co to jest xd 

[19.1.2021 | 21:51:4] [_Zack_]: Że co że jesteś niczym aha 

[19.1.2021 | 21:51:11] [Kishunia]: Czyli nie masz płci 

[19.1.2021 | 21:51:17] [krasnal ogrodowy niko]: Se nie utożsamiasz się jako kobieta, ani jako mężczyzna 

[19.1.2021 | 21:51:18] [cheeto pizzerini]: wiesz że coś takiego dosłownie istnieje od wieków 

[19.1.2021 | 21:51:24] [Kishunia]: Nie masz ani XX ani XY 

[19.1.2021 | 21:51:29] [cheeto pizzerini]: 😶 

[19.1.2021 | 21:51:52] [emm]: Nikt tak nie robi ale ok 

[19.1.2021 | 21:51:52] [_Zack_]: Od wieków to istnieją orientacje i seksualność 

[19.1.2021 | 21:52:6] [Kishunia]: A co się z tym wiąże, twoje drogi moczowe ograniczają się do dziurki w biodrze 

[19.1.2021 | 21:52:48] [_Zack_]: O albo to jest dobre 

[19.1.2021 | 21:52:54] [_Zack_]: Demigender 

[19.1.2021 | 21:53:6] [_Zack_]: Niby  nie binarny 

[19.1.2021 | 21:53:14] [_Zack_]: Ale jednak kurwa w jakimś stopniu tak 

[19.1.2021 | 21:53:15] [_Zack_]: XD 

[19.1.2021 | 21:53:28] [_Zack_]: Czyli niezdecydowany 

[19.1.2021 | 21:53:36] [emm]: Ale ty masz z tym problem 

[19.1.2021 | 21:53:38] [_Zack_]: Niby nie ale jednak 

[19.1.2021 | 21:53:48] [_Zack_]: Z czym 

[19.1.2021 | 21:54:0][Kishunia]: <@565167434340892682> [Image Link:https://cdn.discordapp.com/attachments/787765876858421258/801192765974249472/nieznane.jpeg] 

[19.1.2021 | 21:54:22][cheeto pizzerini]: undefined [Image Link:https://cdn.discordapp.com/attachments/787765876858421258/801192858299924530/unknown.png] 

[19.1.2021 | 21:54:33] [cheeto pizzerini]: ostrzegam 

[19.1.2021 | 21:54:33] [krasnal ogrodowy niko]: <@565167434340892682> zaczynasz łamać 6 punkt regulaminu 

[19.1.2021 | 21:54:40] [cheeto pizzerini]: sisterssssss 

[19.1.2021 | 21:54:50] [krasnal ogrodowy niko]: Yaaaes 

[19.1.2021 | 21:55:42] [cheeto pizzerini]: hej jestem niezdecydowany 

[19.1.2021 | 21:55:47] [cheeto pizzerini]: jakiś problem? 

[19.1.2021 | 21:55:51] [_Zack_]: Teoretycznie to są moje poglądy 

[19.1.2021 | 21:56:1] [cheeto pizzerini]: ale obrażasz nasze 

[19.1.2021 | 21:56:3] [krasnal ogrodowy niko]: Tymi poglądami możesz ranić innych 

[19.1.2021 | 21:57:12] [_Zack_]: No lewica jest tylko jedna cwiartka 

[19.1.2021 | 21:57:22] [_Zack_]: I od zawsze się gryzło 

[19.1.2021 | 21:57:38] [_Zack_]: Wasze poglądy nie są jakieś ponad innych 

[19.1.2021 | 21:57:46] [Kishunia]: Ciężko by prawica nie obrażała lewicy xDDDD 

[19.1.2021 | 21:57:51] [emm]: Nikt tak nie powiedział 

[19.1.2021 | 21:57:59] [Kishunia]: To są zupełnie inne części kompasu politycznego 

[19.1.2021 | 21:58:13] [_Zack_]: Czyli co jesteś chlopem i kobieta naraz czy jak 

[19.1.2021 | 21:58:20] [cheeto pizzerini]: nie lmao 

[19.1.2021 | 21:58:21] [cheeto pizzerini]: XD 

[19.1.2021 | 21:58:21] [Kishunia]: Tak samo on, może powiedzieć że wy go obrażacie 

[19.1.2021 | 21:58:47] [_Zack_]: Bo nie binarnosc wg. Wiki to osoby z więcej niż dwie tozsamosci 

[19.1.2021 | 21:58:55] [cheeto pizzerini]: sama nie wiem czym jestem i nie widzę czemu to uważasz za jakiś problem 

[19.1.2021 | 21:59:4] [cheeto pizzerini]: myslalam ze jestem dami ale chuj wie 

[19.1.2021 | 21:59:7] [cheeto pizzerini]: jestem szczurem 

[19.1.2021 | 21:59:11] [cheeto pizzerini]: mikroorganizmem 

[19.1.2021 | 21:59:17] [cheeto pizzerini]: czymkolwiek 

[19.1.2021 | 21:59:36] [_Zack_]: Hm 

[19.1.2021 | 21:59:37] [_Zack_]: Ciekawe 

[19.1.2021 | 21:59:56] [_Zack_]: Mówisz że jesteś niebinarna ale używasz końcówki kobiecej 

[19.1.2021 | 21:59:59] [_Zack_]: Czyli co 

[19.1.2021 | 22:0:7] [_Zack_]: Jesteś kobietą i czymś jeszcze 

[19.1.2021 | 22:0:8] [_Zack_]: Czy jak 

[19.1.2021 | 22:0:9] [cheeto pizzerini]: a jakich mam uzywac hm? 

[19.1.2021 | 22:0:20] [_Zack_]: Nwm niektórzy żadnych nie używają 

[19.1.2021 | 22:0:26] [cheeto pizzerini]: uzywam naprzemienjnie zeskich i meskich 

[19.1.2021 | 22:0:31] [Kishunia]: Używać *? 

[19.1.2021 | 22:0:33] [cheeto pizzerini]: ale meskich w gronie znajomych 

[19.1.2021 | 22:0:36] [_Zack_]: Pisałem z taka osoba która dawała bezosobowe końcówki 

[19.1.2021 | 22:0:47] [_Zack_]: Czyli pisał*m 

[19.1.2021 | 22:0:56] [_Zack_]: ☻ 

[19.1.2021 | 22:1:9] [cheeto pizzerini]: no ta mozna ale ja tak nie chce i co 

[19.1.2021 | 22:1:16] [cheeto pizzerini]: nie uwazam sie za nonbinary 

[19.1.2021 | 22:1:35] [cheeto pizzerini]: ja sie wogóle nie okreslam chyba że ktoś bardzo chce wiedziec XD 

[19.1.2021 | 22:2:9] [_Zack_]: Nie wiem jak można nie wiedzieć czym się jest 

[19.1.2021 | 22:2:20] [cheeto pizzerini]: XD 

[19.1.2021 | 22:2:21] [krasnal ogrodowy niko]: Radzę ci zamilknąć 

[19.1.2021 | 22:2:28] [_Zack_]: No co nie wiwm 

[19.1.2021 | 22:2:36] [krasnal ogrodowy niko]: W tej chwili otwarcie obrażasz i ranisz innych swoją niewiedza 

[19.1.2021 | 22:2:48] [cheeto pizzerini]: oczywiście że nie wiesz, przecież jestes cishetem 

[19.1.2021 | 22:2:56] [cheeto pizzerini]: skąd miałbys 

[19.1.2021 | 22:3:7] [_Zack_]: No a jak ktoś nie wie kiedy się rozpoczęła wojna światowa to taki weteranów czy jak xd 

[19.1.2021 | 22:3:17] [emm]: Co 

[19.1.2021 | 22:3:18] [cheeto pizzerini]: dobra spokojnie niko 

[19.1.2021 | 22:3:23] [Kishunia]: To się nazywa wyrażanie zdania 

[19.1.2021 | 22:3:38] [_Zack_]: Stwierdziłem fakt że nie wim 

[19.1.2021 | 22:3:42] [_Zack_]: Mam prawo nie wiedzieć 

[19.1.2021 | 22:3:44] [krasnal ogrodowy niko]: Wyrażanie zdania nie powinno ranić innych 

[19.1.2021 | 22:3:58] [_Zack_]: Ale ja mam prawo nie wiedzieć lol 

[19.1.2021 | 22:4:1] [cheeto pizzerini]: ale to nie znaczy że powinienes byc ignorancki tho 

[19.1.2021 | 22:4:18] [_Zack_]: A to już cecha charakteru 

[19.1.2021 | 22:4:20] [Kishunia]: To się nazywa życie <@697153934246150185> 

[19.1.2021 | 22:4:27] [cheeto pizzerini]: XD 

[19.1.2021 | 22:4:31] [cheeto pizzerini]: chyba nie bardzo 

[19.1.2021 | 22:4:36] [cheeto pizzerini]: to jest podejście 

[19.1.2021 | 22:4:40] [cheeto pizzerini]: a nie cecha 

[19.1.2021 | 22:4:59] [emm]: To nie jest argument 

[19.1.2021 | 22:6:7] [_Zack_]: Aha 

[19.1.2021 | 22:6:8] [_Zack_]: A co 

[19.1.2021 | 22:6:11] [_Zack_]: Tożsamość 

[19.1.2021 | 22:6:14] [_Zack_]: Charakteru 

[19.1.2021 | 22:6:15] [_Zack_]: Xd 

[19.1.2021 | 22:6:22] [cheeto pizzerini]: . 

[19.1.2021 | 22:6:29] [cheeto pizzerini]: p o d e j ś c i e 

[19.1.2021 | 22:7:2] [_Zack_]: Jakie podejście 

[19.1.2021 | 22:7:46] [cheeto pizzerini]: ignorancja to jest podejście a nie cecha charakteru ziomo 

[19.1.2021 | 22:8:36] [_Zack_]: Dobra ale jakie 

[19.1.2021 | 22:8:38] [_Zack_]: Podejście 

[19.1.2021 | 22:8:46] [_Zack_]: Czym wg ciebie jest ignorancja 

[19.1.2021 | 22:9:5] [cheeto pizzerini]: podejście
1. «przestrzeń, którą się przebywa, podchodząc pod górę; też: droga wiodąca pod górę»
2.  «sposób traktowania kogoś lub ujmowania czegoś» 

[19.1.2021 | 22:9:8] [cheeto pizzerini]: numer 2 

