[7.1.2021 | 21:37:4] [Bupka]: ?verify 
[23.1.2021 | 22:37:58] [NoOne]: Nic takiego się nie pojawiło? 

[24.1.2021 | 0:8:54] [ethevl]: ?verify 

[24.1.2021 | 14:24:38] [Malin kra kra sowa]: ?verify 

[25.1.2021 | 10:9:56] [! Renifero]: ?verify 

[25.1.2021 | 14:37:43] [✞Kalo✞ (Nu Ke)ک]: ?verify 

[25.1.2021 | 19:9:2] [Kristofer]: ?verify 

[25.1.2021 | 20:30:11] [Damian]: ?verifly 

[26.1.2021 | 13:0:50] [JaQu_bik]: ?verify 

[26.1.2021 | 13:8:55] [𝓍𝒱𝒾𝓇𝒪𝓍_𝒴𝒯]: ?veriify 

[26.1.2021 | 13:9:2] [𝓍𝒱𝒾𝓇𝒪𝓍_𝒴𝒯]: ?verify 

[26.1.2021 | 13:9:19] [𝓍𝒱𝒾𝓇𝒪𝓍_𝒴𝒯]: ?verify 

[26.1.2021 | 14:37:54] [オリビア]: ?verify 

[26.1.2021 | 17:5:27] [Diablo2609]: ?verify 

[26.1.2021 | 17:6:36] [Diablo2609]: ?verify 

[26.1.2021 | 17:8:43] [Diablo2609]: ?verify 

[26.1.2021 | 19:53:51] [Skeet]: ?verify 

[26.1.2021 | 20:30:13] [!                       !Blood]: ?verify 

[26.1.2021 | 21:51:4] [NotTiczqu]: ?verify 

[27.1.2021 | 9:40:6] [💞MF_Oskar_KOD Misfi💞]: ?verify 

[27.1.2021 | 11:23:46] [Sebeeq]: ?verify 

[27.1.2021 | 14:0:48] [sǝpnu puǝs]: ?verify 

[27.1.2021 | 14:0:57] [sǝpnu puǝs]: https://discord.gg/pp5qDfPm 

[27.1.2021 | 14:1:0] [sǝpnu puǝs]: https://discord.gg/pp5qDfPm 

[27.1.2021 | 15:59:1] [..nath]: ?verify 

[27.1.2021 | 22:0:31] [Yuki_chan]: ?verify 

[27.1.2021 | 22:1:19] [Yuki_chan]: ?verify 

[27.1.2021 | 23:55:26] [David Beckham]: ?verify 

[27.1.2021 | 23:56:49] [David Beckham]: ?verify 

[28.1.2021 | 11:10:2] [ignacy]: chuj wam wr ryj pizeczki 

[28.1.2021 | 13:37:37] [przypadki.exe]: ? Verify 

[28.1.2021 | 14:13:4] [!!.𝓐𝓜𝓘𝓧𝓢𝓞®.!!]: ? Verify 

[28.1.2021 | 15:17:39] [g.woss]: ?verify 

[28.1.2021 | 17:15:13] [Ruben.]: ? Verify 

[28.1.2021 | 20:50:5] [krystyna]: ?verify 

[28.1.2021 | 21:10:0] [Rycesz]: ?verify 

[28.1.2021 | 21:10:8] [Invejosa]: Hej Rycerzu! 

