[7.1.2021 | 18:16:39] [Kara Chan]: $m 
[26.1.2021 | 15:15:49] [Roczym]: $m asturbacja 

[26.1.2021 | 15:15:52] [Roczym]: KURWA 

[26.1.2021 | 15:15:59] [Roczym]: MOGŁEM WSIĄŚĆ TAMTYCH 

[26.1.2021 | 15:16:9] [Roczym]: $wish THEBEZTGERLARMIN 

[26.1.2021 | 15:16:15] [Roczym]: $wish Armin 

[26.1.2021 | 15:16:29] [Roczym]: ej ale jaki to armin 

[26.1.2021 | 15:16:33] [Roczym]: $im Armin 

[26.1.2021 | 15:16:34] [Roczym]: e 

[26.1.2021 | 15:16:38] [Roczym]: nie ten kurwa 

[26.1.2021 | 15:16:44] [Roczym]: ten to pedał 

[26.1.2021 | 15:16:50] [Roczym]: $wish-remove Armin 

[26.1.2021 | 15:16:56] [Roczym]: $wish Armin Arlert 

[26.1.2021 | 15:17:2] [Roczym]: $wishlist 

[26.1.2021 | 15:17:8] [Roczym]: no 

[26.1.2021 | 15:17:30] [Roczym]: $im Armin Arlert 

[26.1.2021 | 15:17:35] [Roczym]: DE BEZT GERL ARMIN 

[26.1.2021 | 15:19:4] [KiritikaKoizumi]: $? 

[26.1.2021 | 15:19:6] [KiritikaKoizumi]: $m 

[26.1.2021 | 15:19:8] [KiritikaKoizumi]: $m 

[26.1.2021 | 15:19:10] [KiritikaKoizumi]: $m 

[26.1.2021 | 15:19:12] [KiritikaKoizumi]: $m 

[26.1.2021 | 15:19:15] [KiritikaKoizumi]: $m 

[26.1.2021 | 15:19:19] [KiritikaKoizumi]: $m 

[26.1.2021 | 15:19:20] [KiritikaKoizumi]: $m 

[26.1.2021 | 15:19:22] [KiritikaKoizumi]: $m 

[26.1.2021 | 15:19:26] [KiritikaKoizumi]: $m 

[26.1.2021 | 15:19:45] [KiritikaKoizumi]: $im Frieda Reiss 

