[15.1.2021 | 13:5:21] [Domii ;3]: %fish 
[15.1.2021 | 19:6:16] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[15.1.2021 | 19:6:17] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[15.1.2021 | 19:6:21] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[15.1.2021 | 19:6:24] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[15.1.2021 | 19:6:26] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[15.1.2021 | 19:6:28] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[15.1.2021 | 19:6:35] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[15.1.2021 | 19:6:50] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %inventory 

[15.1.2021 | 19:7:7] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %sell all 

[15.1.2021 | 19:15:30] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[15.1.2021 | 19:15:33] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[15.1.2021 | 19:15:36] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[15.1.2021 | 19:15:38] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[15.1.2021 | 19:15:42] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[15.1.2021 | 19:15:46] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[15.1.2021 | 19:59:9] [Domii ;3]: %fish 

[15.1.2021 | 19:59:12] [Domii ;3]: %fish 

[15.1.2021 | 19:59:16] [Domii ;3]: %Fish 

[15.1.2021 | 19:59:19] [Domii ;3]: %fish 

[15.1.2021 | 19:59:24] [Domii ;3]: %fish 

[15.1.2021 | 19:59:32] [Domii ;3]: %color 

[15.1.2021 | 19:59:49] [Domii ;3]: %shop boots 

[15.1.2021 | 20:0:7] [Domii ;3]: %shop boosts 

[15.1.2021 | 20:0:23] [Domii ;3]: %fish 

[15.1.2021 | 20:0:33] [Domii ;3]: %shop uprades 

[15.1.2021 | 20:0:40] [Domii ;3]: %shop upgrades 

[15.1.2021 | 20:0:58] [Domii ;3]: %shop bait 

[15.1.2021 | 20:1:15] [Domii ;3]: %buy 30 Leeches 

[15.1.2021 | 20:1:19] [Domii ;3]: %fish 

[15.1.2021 | 20:1:39] [Domii ;3]: %fish 

[15.1.2021 | 20:1:50] [Domii ;3]: %fish 

[15.1.2021 | 20:1:55] [Domii ;3]: %fish 

[15.1.2021 | 20:2:0] [Domii ;3]: %fish 

[15.1.2021 | 20:2:4] [Domii ;3]: %fish 

[15.1.2021 | 20:2:9] [Domii ;3]: %fish 

[15.1.2021 | 20:2:13] [Domii ;3]: %fish 

[15.1.2021 | 20:2:18] [Domii ;3]: %fish 

[15.1.2021 | 20:2:21] [Domii ;3]: %fish 

[15.1.2021 | 20:2:24] [Domii ;3]: %fish 

[15.1.2021 | 20:2:27] [Domii ;3]: %fish 

[15.1.2021 | 22:55:47] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 14:33:39] [Domii ;3]: %fish 

[16.1.2021 | 14:33:49] [Domii ;3]: %fish 

[16.1.2021 | 14:47:39] [Domii ;3]: %fish 

[16.1.2021 | 14:48:23] [Domii ;3]: %fish 

[16.1.2021 | 14:48:29] [Domii ;3]: %fish 

[16.1.2021 | 15:17:44] [Domii ;3]: %fish 

[16.1.2021 | 15:25:38] [Domii ;3]: %fish 

[16.1.2021 | 15:25:43] [Domii ;3]: %fish 

[16.1.2021 | 15:25:49] [Domii ;3]: %fish 

[16.1.2021 | 15:25:53] [Domii ;3]: %sell all 

[16.1.2021 | 15:26:5] [Domii ;3]: %fish 

[16.1.2021 | 17:20:11] [Domii ;3]: %fish 

[16.1.2021 | 17:20:14] [Domii ;3]: %fish 

[16.1.2021 | 17:20:17] [Domii ;3]: %fish 

[16.1.2021 | 17:20:22] [Domii ;3]: %fish 

[16.1.2021 | 17:20:29] [Domii ;3]: %fish 

[16.1.2021 | 17:20:32] [Domii ;3]: %shop 

[16.1.2021 | 17:20:42] [Domii ;3]: %shop upgrades 

[16.1.2021 | 17:21:19] [Domii ;3]: %buy Bait Efficiency 

[16.1.2021 | 17:21:22] [Domii ;3]: %fish 

[16.1.2021 | 17:40:56] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %shop upgrades 

[16.1.2021 | 17:41:25] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %buy Better dailies 

[16.1.2021 | 17:41:32] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %buy Better dailies 

[16.1.2021 | 17:41:40] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %shop upgrades 

[16.1.2021 | 17:42:14] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %buy experienced 

[16.1.2021 | 17:42:22] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %shop upgrades 

[16.1.2021 | 17:42:42] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %dayli 

[16.1.2021 | 17:42:47] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %help 

[16.1.2021 | 17:42:55] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %daily 

[16.1.2021 | 17:43:3] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:43:7] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:43:11] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:43:13] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:43:15] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:43:17] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:43:19] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:43:21] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:43:23] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:43:25] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:43:26] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:43:28] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:43:30] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:43:32] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:43:33] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:43:35] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:43:36] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:43:38] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:43:39] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:43:42] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:43:43] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:43:45] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:43:46] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:43:48] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:43:50] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:43:51] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:43:54] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:43:56] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:43:57] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:43:59] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:44:0] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:44:2] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:44:4] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:44:5] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:44:7] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:44:9] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:44:10] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:44:11] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:44:19] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %bait 

[16.1.2021 | 17:44:24] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:44:27] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:44:28] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:44:30] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:44:32] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:45:38] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:45:41] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:45:42] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:45:45] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:45:47] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:45:49] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:45:50] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:45:53] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:45:54] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:45:56] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:45:57] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:45:59] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:46:1] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:46:2] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:46:3] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:46:4] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:46:5] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:46:14] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:46:15] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:46:17] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:46:18] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:46:21] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:46:22] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:46:25] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:46:27] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:46:28] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:46:30] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:46:31] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:46:34] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:46:35] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:46:37] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:46:38] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: Skopiowany tekst będzie automatycznie wyświetlany tutaj 

[16.1.2021 | 17:46:46] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:46:48] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:46:50] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:46:52] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:46:54] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:46:57] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:46:59] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:47:0] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:47:2] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:47:4] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:47:6] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:47:9] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:47:10] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:47:14] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:47:16] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:47:18] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:47:20] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:47:25] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:47:26] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:47:28] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:47:29] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:47:31] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:47:33] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:47:35] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:47:36] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:47:38] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:47:40] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:47:41] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:47:43] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:47:45] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:47:47] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:47:50] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:47:53] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:47:54] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:47:56] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:47:58] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:48:0] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:48:1] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:48:4] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:48:5] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:48:7] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:48:8] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:48:10] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:48:12] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:48:13] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:48:15] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:48:16] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:48:19] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:48:23] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:48:24] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:48:26] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:48:27] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

[16.1.2021 | 17:48:41] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %shop bait 

[16.1.2021 | 17:49:1] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %Buy 400 fish 

[16.1.2021 | 17:49:7] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %bait fish 

[16.1.2021 | 17:49:11] [𝔽̶𝕒̶𝕡̶𝕒̶ł̶𝕖̶ł̶𝕦̶]: %fish 

