[7.1.2021 | 17:49:44] [COVER]: 6946 
[12.1.2021 | 23:15:31] [Cover]: Aha 

[12.1.2021 | 23:15:40] [Cichy]: Musisz oznaczyć rolę. 

[12.1.2021 | 23:15:45] [Cover]: Ok 

[12.1.2021 | 23:16:1] [NoOne]: <a:PandaPingRee:777707643920842793> 

[13.1.2021 | 19:53:11] [Shibe]: .collect-income 

[13.1.2021 | 19:53:15] [Shibe]: .work 

[13.1.2021 | 19:53:17] [Shibe]: .crime 

[13.1.2021 | 19:53:18] [Shibe]: .slut 

[13.1.2021 | 19:53:21] [Shibe]: .dep all 

[13.1.2021 | 19:53:24] [Shibe]: .bal 

[13.1.2021 | 20:17:41] [💜-Agatka007-💜]: .work 

[13.1.2021 | 20:17:52] [💜-Agatka007-💜]: .crime 

[13.1.2021 | 20:18:3] [💜-Agatka007-💜]: .slut 

[13.1.2021 | 20:18:10] [💜-Agatka007-💜]: .bal 

[13.1.2021 | 20:18:16] [💜-Agatka007-💜]: .dep all 

[13.1.2021 | 20:18:21] [💜-Agatka007-💜]: .bal 

[13.1.2021 | 20:18:28] [💜-Agatka007-💜]: .top 

[13.1.2021 | 20:18:43] [💜-Agatka007-💜]: .bal <@715496461781041154> 

[13.1.2021 | 20:55:46] [Pikczel]: .collect-income 

[13.1.2021 | 20:55:49] [Pikczel]: .dep all 

[14.1.2021 | 11:48:20] [ŁC_]: =help 

[14.1.2021 | 15:16:36] [mesik]: <@!749016976793272360> 

[14.1.2021 | 15:16:53] [mesik]: hm 

[14.1.2021 | 15:29:53] [Invejosa]: Zespół discord możliwe, że zbanował API bota Cichego, bo zbyt wiele prosb wysyłał 

[14.1.2021 | 15:30:21] [Invejosa]: O 

[14.1.2021 | 15:31:39] [Cichy]: API bota było zablokowane na okres godziny, w tym moje konto. 

[15.1.2021 | 0:19:48] [szym402pl]: .rob <@!721619240721055797> 

[15.1.2021 | 0:19:53] [szym402pl]: .collect-income 

[15.1.2021 | 0:19:54] [szym402pl]: .slut 

[15.1.2021 | 0:19:55] [szym402pl]: .crime 

[15.1.2021 | 0:19:56] [szym402pl]: .work 

[15.1.2021 | 0:19:57] [szym402pl]: .dep all 

[15.1.2021 | 0:20:1] [szym402pl]: .top 

[15.1.2021 | 0:21:0] [Oliwia123🎁🎀]: .crime 

[15.1.2021 | 0:21:2] [Oliwia123🎁🎀]: .slut 

[15.1.2021 | 0:21:4] [Oliwia123🎁🎀]: .work 

[15.1.2021 | 0:21:6] [Oliwia123🎁🎀]: .dep all 

[15.1.2021 | 0:21:9] [Oliwia123🎁🎀]: .collect-income 

[15.1.2021 | 16:7:52] [Asasin22]: .daily-income 

[15.1.2021 | 16:7:59] [Asasin22]: .collect-income 

[15.1.2021 | 16:11:38] [sirvel_wolf]: .use mvip 

[15.1.2021 | 16:12:14] [sirvel_wolf]: .use 1 mvip 

[15.1.2021 | 16:22:50] [S1mpelka]: .dep all 

[15.1.2021 | 16:22:54] [S1mpelka]: .bal 

[15.1.2021 | 16:23:0] [S1mpelka]: .dep all 

[15.1.2021 | 16:23:4] [S1mpelka]: .bal 

[15.1.2021 | 16:23:14] [S1mpelka]: .sklep 

[15.1.2021 | 16:23:18] [S1mpelka]: .shop 

[15.1.2021 | 16:23:31] [sirvel_wolf]: .dep all 

[15.1.2021 | 16:23:35] [S1mpelka]: .shop 2 

[15.1.2021 | 16:24:7] [S1mpelka]: .collect-income 

[15.1.2021 | 16:24:12] [sirvel_wolf]: .bal 

[15.1.2021 | 16:24:17] [Asasin22]: .DEP ALL 

[15.1.2021 | 16:24:30] [Asasin22]: . bal 

[15.1.2021 | 16:24:39] [Asasin22]: .shop 2 

[15.1.2021 | 16:24:42] [sirvel_wolf]: .collect-income 

[15.1.2021 | 16:24:50] [Asasin22]: .with 2500 

[15.1.2021 | 16:24:51] [sirvel_wolf]: .dep all 

[15.1.2021 | 16:25:3] [sirvel_wolf]: .bal 

[15.1.2021 | 16:25:12] [Asasin22]: .buy svip 

[15.1.2021 | 16:25:15] [sirvel_wolf]: .work 

[15.1.2021 | 16:25:16] [Asasin22]: .use svip 

[15.1.2021 | 16:25:28] [sirvel_wolf]: .slut 

[15.1.2021 | 16:25:35] [sirvel_wolf]: .crime 

[15.1.2021 | 16:25:40] [sirvel_wolf]: .dep all 

[15.1.2021 | 16:25:46] [Asasin22]: .collect-income 

[15.1.2021 | 16:25:49] [Asasin22]: .dep all 

[15.1.2021 | 17:4:44] [Adan]: .lb 

[15.1.2021 | 17:4:52] [Adan]: jest jestem 10 

[15.1.2021 | 19:39:50] [Cichy]: .add-money <@!793624440650596352> 600 

[15.1.2021 | 19:40:3] [Cichy]: **Powód: ** `Działanie na rozwój serwera.` 

[15.1.2021 | 21:16:28] [Oliwia123🎁🎀]: .collect-income 

[15.1.2021 | 21:18:6] [Cichy]: .add-money <@!793624440650596352> 500 

[15.1.2021 | 21:18:7] [Cichy]: **Powód: ** `Działanie na rozwój serwera.` 

[15.1.2021 | 21:18:45] [Oliwia123🎁🎀]: dziekuje 

[15.1.2021 | 21:18:49] [Oliwia123🎁🎀]: 💟 

[15.1.2021 | 21:24:9] [-❄☃- Zimowy Żółwik <KK>]: /reps <@725766490229309580> 

[15.1.2021 | 21:24:30] [-❄☃- Zimowy Żółwik <KK>]: /rep 

[15.1.2021 | 21:25:45] [-❄☃- Zimowy Żółwik <KK>]: /invite 

[15.1.2021 | 21:31:35] [Oliwia123🎁🎀]: oo 

[15.1.2021 | 21:32:8] [Oliwia123🎁🎀]: troszkę niedokładny ale gitara jest 

[15.1.2021 | 21:35:23] [Oliwia123🎁🎀]: super ten bot 

[15.1.2021 | 21:35:27] [Oliwia123🎁🎀]: bardzo mi sie podoba ten tłumacz 

[15.1.2021 | 21:36:6] [Oliwia123🎁🎀]: /id <#795088601775734815> 

[15.1.2021 | 21:37:40] [Oliwia123🎁🎀]: eee 

[15.1.2021 | 21:37:45] [Oliwia123🎁🎀]: o 

[15.1.2021 | 21:56:44] [Oliwia123🎁🎀]: /oblic 

[15.1.2021 | 21:58:53] [Sverige AKA Damian.]: .work 

[15.1.2021 | 21:58:55] [Sverige AKA Damian.]: .slut 

[15.1.2021 | 21:58:58] [Sverige AKA Damian.]: .crime 

[15.1.2021 | 21:59:10] [Sverige AKA Damian.]: .collect-income 

[15.1.2021 | 22:12:24] [🔥MT.ARO TVP.🔥]: Da się tu grać o role <@&730534940499771462> 

[15.1.2021 | 22:12:49] [Oliwia123🎁🎀]: mozesz rekrutowac chyba 

[15.1.2021 | 22:13:27] [Sverige AKA Damian.]: Nie jest zamknięta rekrutacja 

[15.1.2021 | 22:13:32] [🔥MT.ARO TVP.🔥]: A jak grać 

[15.1.2021 | 22:13:44] [Sverige AKA Damian.]: A w co albo o co? 

[15.1.2021 | 22:14:10] [🔥MT.ARO TVP.🔥]: Nwm znam komendy do tego bota 

[15.1.2021 | 22:14:17] [🔥MT.ARO TVP.🔥]: Tylko o co moge 

[15.1.2021 | 22:14:22] [Sverige AKA Damian.]: Wpisz .help 

[15.1.2021 | 22:14:40] [Cichy]: Grać? Bot nie ma jeszcze ekonomi. 

[15.1.2021 | 22:14:41] [Sverige AKA Damian.]: A / nowy prefix 

[15.1.2021 | 22:15:7] [🔥MT.ARO TVP.🔥]: .help 

[15.1.2021 | 22:15:18] [Sverige AKA Damian.]: Aa 

[15.1.2021 | 22:15:40] [🔥MT.ARO TVP.🔥]: Mam dołączyć do serwera ubeliveboata 

[15.1.2021 | 22:15:48] [Sverige AKA Damian.]: Bie nie musisz 

[15.1.2021 | 22:16:7] [Sverige AKA Damian.]: Wow wszystko się zgadza 

[15.1.2021 | 22:16:43] [🔥MT.ARO TVP.🔥]: Ale fauny bot 

[15.1.2021 | 22:16:59] [Sverige AKA Damian.]: Wow 

[15.1.2021 | 22:17:17] [🔥MT.ARO TVP.🔥]: Mogę grac 

[15.1.2021 | 22:17:28] [Cichy]: Grać, lecz w co? 

[15.1.2021 | 22:17:39] [Sverige AKA Damian.]: Albo o co? 

[15.1.2021 | 22:18:2] [Oliwia123🎁🎀]: Bardzo mi sie podoba /koronawirus i /minutnik 

[15.1.2021 | 22:18:11] [Sverige AKA Damian.]: Xd 

[15.1.2021 | 22:18:14] [Sverige AKA Damian.]: xD 

[15.1.2021 | 22:18:29] [Sverige AKA Damian.]: Panda 

[15.1.2021 | 22:18:46] [NoOne]: <:panda:791580465969496084> <:panda:791580465969496084> <:panda:791580465969496084> 

[15.1.2021 | 22:19:8] [Sverige AKA Damian.]: Eeeeee 

[15.1.2021 | 22:19:15] [Oliwia123🎁🎀]: nie pasuje? 

[15.1.2021 | 22:19:21] [Sverige AKA Damian.]: Nie jest ok 

[15.1.2021 | 22:19:33] [Sverige AKA Damian.]: Po prostu nie wiedziałem że to tak działa 

[15.1.2021 | 22:19:40] [🔥MT.ARO TVP.🔥]: /fortnite 

[15.1.2021 | 22:19:55] [Sverige AKA Damian.]: /osiogniecie samotne życie 

[15.1.2021 | 22:20:3] [🔥MT.ARO TVP.🔥]: Nie ma forta 

[15.1.2021 | 22:20:9] [Oliwia123🎁🎀]: nima 

[15.1.2021 | 22:20:13] [Oliwia123🎁🎀]: :< 

[15.1.2021 | 22:20:19] [Sverige AKA Damian.]: /osiągnięcie samotne życie 

[15.1.2021 | 22:20:28] [Oliwia123🎁🎀]: Niee 

[15.1.2021 | 22:20:29] [Oliwia123🎁🎀]: bez polskich znakow 

[15.1.2021 | 22:20:32] [🔥MT.ARO TVP.🔥]: !crime 

[15.1.2021 | 22:20:36] [Oliwia123🎁🎀]: .crime 

[15.1.2021 | 22:20:38] [Oliwia123🎁🎀]: .slut 

[15.1.2021 | 22:20:39] [🔥MT.ARO TVP.🔥]: .crime 

[15.1.2021 | 22:20:41] [Sverige AKA Damian.]: . 

[15.1.2021 | 22:20:42] [Oliwia123🎁🎀]: .work 

[15.1.2021 | 22:20:49] [Sverige AKA Damian.]: Prefix to kropka 

[15.1.2021 | 22:21:33] [🔥MT.ARO TVP.🔥]: .work 

[15.1.2021 | 22:21:42] [🔥MT.ARO TVP.🔥]: .slut 

[15.1.2021 | 22:21:48] [🔥MT.ARO TVP.🔥]: !bal 

[15.1.2021 | 22:21:51] [🔥MT.ARO TVP.🔥]: .bal 

[15.1.2021 | 22:22:14] [🔥MT.ARO TVP.🔥]: .roulette 106 red 

[15.1.2021 | 22:23:38] [Sverige AKA Damian.]: Wynik jest idealny 

[15.1.2021 | 22:24:20] [Sverige AKA Damian.]: Zawsze tak myślałem że jestem gejem na 10 procentów 

[15.1.2021 | 22:25:6] [Sverige AKA Damian.]: 9282 

[15.1.2021 | 22:25:15] [Sverige AKA Damian.]: /9282 

[15.1.2021 | 22:25:32] [Cichy]: 9482 

[15.1.2021 | 22:25:39] [Sverige AKA Damian.]: / minigra 

[15.1.2021 | 22:26:11] [Sverige AKA Damian.]: Ai 

[15.1.2021 | 22:26:48] [Oliwia123🎁🎀]: o troche znieksztalcone 

[15.1.2021 | 22:27:11] [Sverige AKA Damian.]: Proszę używaj 

[15.1.2021 | 22:27:18] [Sverige AKA Damian.]: Id 

[15.1.2021 | 22:27:31] [Cichy]: Jeszcze nie jest funkcja uruchomiona na ID. 

[15.1.2021 | 22:27:36] [Sverige AKA Damian.]: A ok 

[15.1.2021 | 22:28:17] [🔥MT.ARO TVP.🔥]: Jej gola mam 

[15.1.2021 | 22:28:20] [Sverige AKA Damian.]: /gifa 

[15.1.2021 | 22:28:44] [Sverige AKA Damian.]: :*( 

[15.1.2021 | 22:28:49] [🔥MT.ARO TVP.🔥]: Ty to masz pecha do fify 

[15.1.2021 | 22:28:56] [Oliwia123🎁🎀]: haha 

[15.1.2021 | 22:28:57] [Oliwia123🎁🎀]: racja 

[15.1.2021 | 22:28:59] [Oliwia123🎁🎀]: on to ma pecha 

[15.1.2021 | 22:29:4] [Sverige AKA Damian.]: Wogle mam pecha 

[15.1.2021 | 22:29:7] [Oliwia123🎁🎀]: o 

[15.1.2021 | 22:29:9] [Oliwia123🎁🎀]: trafilam 

[15.1.2021 | 22:29:27] [Sverige AKA Damian.]: Ja wogle mam pecha 

[15.1.2021 | 22:30:48] [Sverige AKA Damian.]: /kill 

[15.1.2021 | 22:30:49] [FiczetoX]: Jaka jest szansa, że znajdę Magmołaza ;_;? 

[15.1.2021 | 22:30:56] [Oliwia123🎁🎀]: a co to? 

[15.1.2021 | 22:31:3] [FiczetoX]: Mob z MC 

[15.1.2021 | 22:31:4] [Sverige AKA Damian.]: Pokemon 

[15.1.2021 | 22:31:13] [🔥MT.ARO TVP.🔥]: Hahahahhaha 

[15.1.2021 | 22:31:29] [Sverige AKA Damian.]: /pogemon rayquaza 

[15.1.2021 | 22:31:46] [Oliwia123🎁🎀]: sporo tych informacji 

[15.1.2021 | 22:31:48] [FiczetoX]: Magmołaz (Strider) to mob z gry Minecraft z wersji 1.16.2 

[15.1.2021 | 22:32:5] [🔥MT.ARO TVP.🔥]: Wohoho 

[15.1.2021 | 22:32:14] [🔥MT.ARO TVP.🔥]: <@749016976793272360> 

[15.1.2021 | 22:32:32] [Cichy]: <@!749016976793272360> 

[15.1.2021 | 22:32:33] [FiczetoX]: > Pogoda dla Hiszpania, Poland 

[15.1.2021 | 22:32:46] [Cichy]: Sprawdź teraz, <@!784351222273409034>. 

[15.1.2021 | 22:32:59] [Sverige AKA Damian.]: Nie mogę oznaczać:*( 

[15.1.2021 | 22:33:3] [Oliwia123🎁🎀]: to prawdopodobnie pobiera twoja lokalizacje 

[15.1.2021 | 22:33:7] [Oliwia123🎁🎀]: no wiesz 

[15.1.2021 | 22:33:8] [Oliwia123🎁🎀]: o 

[15.1.2021 | 22:33:11] [Oliwia123🎁🎀]: co kaman 

[15.1.2021 | 22:33:24] [Sverige AKA Damian.]: Ta 

[15.1.2021 | 22:33:42] [FiczetoX]: Ale adres ja mam wyłączoną lokalizację 

[15.1.2021 | 22:33:52] [FiczetoX]: A Discord nie ma do niej dostępu 

[15.1.2021 | 22:34:35] [Oliwia123🎁🎀]: Kurcze 

[15.1.2021 | 22:34:36] [Oliwia123🎁🎀]: to nie wiem 

[15.1.2021 | 22:34:40] [Oliwia123🎁🎀]: moze cos sie zlagowalo 

[15.1.2021 | 22:34:46] [Oliwia123🎁🎀]: nie znam sie 

[15.1.2021 | 22:34:47] [Oliwia123🎁🎀]: na tym troszke 

[15.1.2021 | 22:35:10] [Oliwia123🎁🎀]: <@!749016976793272360> 

[15.1.2021 | 22:44:3] [💜-Agatka007-💜]: .work 

[15.1.2021 | 22:44:5] [💜-Agatka007-💜]: .crime 

[15.1.2021 | 22:44:11] [💜-Agatka007-💜]: .slut 

[15.1.2021 | 22:44:17] [💜-Agatka007-💜]: .dep all 

[15.1.2021 | 22:44:20] [💜-Agatka007-💜]: .bal 

[15.1.2021 | 22:45:39] [Oliwia123🎁🎀]: moge odznakeeee? 

[15.1.2021 | 22:49:23] [Oliwia123🎁🎀]: prosze 

[15.1.2021 | 23:1:56] [Sverige AKA Damian.]: .dep all 

[15.1.2021 | 23:2:10] [NoOne]: .work 

[15.1.2021 | 23:2:13] [NoOne]: .slut 

[15.1.2021 | 23:2:25] [NoOne]: .crime 

[15.1.2021 | 23:2:30] [NoOne]: .dep all 

[15.1.2021 | 23:2:40] [Sverige AKA Damian.]: Ale beczka 

[15.1.2021 | 23:3:48] [Sverige AKA Damian.]: Xd 

[15.1.2021 | 23:3:54] [Sverige AKA Damian.]: Kozackie to 

[15.1.2021 | 23:4:28] [💜-Agatka007-💜]: / hug <@748061664447823963> 

[15.1.2021 | 23:4:43] [Sverige AKA Damian.]: Hahhaga 

[15.1.2021 | 23:4:46] [Sverige AKA Damian.]: Dobre 

[15.1.2021 | 23:5:8] [💜-Agatka007-💜]: HehexD 

[15.1.2021 | 23:9:22] [Sverige AKA Damian.]: Nie mogę oznaczac:*( 

[15.1.2021 | 23:9:31] [Sverige AKA Damian.]: A wcześniej mogłem 

[15.1.2021 | 23:9:45] [💜-Agatka007-💜]: Najpierw oznacz a potem dodaj reszte 

[15.1.2021 | 23:9:46] [💜-Agatka007-💜]: Zobacz 

[15.1.2021 | 23:9:50] [Sverige AKA Damian.]: Ok 

[15.1.2021 | 23:9:57] [Sverige AKA Damian.]: O działa 

[15.1.2021 | 23:9:59] [Sverige AKA Damian.]: Jej 

[15.1.2021 | 23:10:1] [Sverige AKA Damian.]: Dzienks 

[15.1.2021 | 23:10:2] [💜-Agatka007-💜]: Nom 

[15.1.2021 | 23:10:6] [💜-Agatka007-💜]: Spoczko 

[15.1.2021 | 23:10:28] [Sverige AKA Damian.]: Działa :D 

[15.1.2021 | 23:10:55] [💜-Agatka007-💜]: :)) 

[15.1.2021 | 23:11:14] [Sverige AKA Damian.]: :*( 

