[25.1.2021 | 13:11:53] [Shibe]: <@689853240002740338>  nie kick <@!749016976793272360> 
[27.1.2021 | 9:46:59] [banio]: wojna normalna by była lepsza 

[27.1.2021 | 9:47:11] [banio]: tylko jak chcecie wojne to włączcie fire tick 

[27.1.2021 | 9:47:12] [Truskawa5]: ok głosuj jak chcesz 

[27.1.2021 | 9:47:23] [Truskawa5]: jest już włączony 

[27.1.2021 | 9:47:28] [banio]: dobra 

[27.1.2021 | 9:47:36] [Kuba Izydorczyk]: <@!689853240002740338> kiedy wojna jest 

[27.1.2021 | 9:47:53] [Truskawa5]: nwm borys musi coś zniszczyć 

[27.1.2021 | 9:48:3] [banio]: jak będziecie miely wojne to ja się wyprowadzam 

[27.1.2021 | 9:48:17] [Kuba Izydorczyk]: znaczy wojna to kieniec serwera 

[27.1.2021 | 9:48:23] [Shibe]: Tylko ze to bedzie koniec edycji 

[27.1.2021 | 9:48:27] [Truskawa5]: albo się przeprowadź obok mnie z murami 

[27.1.2021 | 9:48:32] [Truskawa5]: no tak 

[27.1.2021 | 9:48:46] [banio]: nice 

[27.1.2021 | 9:48:51] [Kuba Izydorczyk]: dobrze że nie odbudowywałem swojej wieży XD 

[27.1.2021 | 9:49:10] [to ja, nie ty]: ale mnie nawet na tym serwie nie ma 

[27.1.2021 | 9:49:19] [Kuba Izydorczyk]: ale jak to 

[27.1.2021 | 9:49:26] [Kuba Izydorczyk]: przecież byłeś 

[27.1.2021 | 9:49:27] [Truskawa5]: to po co jesteś na tym serwerze? 

[27.1.2021 | 9:49:34] [to ja, nie ty]: bo mnie dodałeś 

[27.1.2021 | 9:49:41] [to ja, nie ty]: i 

[27.1.2021 | 9:49:45] [Truskawa5]: jak chcesz to cie wyrzucę 

[27.1.2021 | 9:49:48] [to ja, nie ty]: bo byłem na tamtym 

[27.1.2021 | 9:49:56] [to ja, nie ty]: ale nie mogę dołączyć 

[27.1.2021 | 9:50:3] [Truskawa5]: aaaaaaaaaaaa 

[27.1.2021 | 9:50:14] [Truskawa5]: jakim tamtym? 

[27.1.2021 | 9:50:47] [Truskawa5]: ? 

[27.1.2021 | 9:51:16] [to ja, nie ty]: chyba że nie ma żadnego nowego 

[27.1.2021 | 9:51:46] [Truskawa5]: no nie ma nowego jest tylko 2 edycja na której ty byłeś 

[27.1.2021 | 9:52:11] [banio]: tnt można używać? 

[27.1.2021 | 9:52:16] [Truskawa5]: tak 

[27.1.2021 | 9:52:25] [banio]: dobra 

[27.1.2021 | 9:53:9] [Kuba Izydorczyk]: ej..... a co chcesz zrobić? 

[27.1.2021 | 9:53:44] [Truskawa5]: pewnie 

[27.1.2021 | 9:53:51] [Truskawa5]: https://tenor.com/view/explosion-boom-iron-man-gif-14282225 

[27.1.2021 | 9:54:3] [banio]: bartek mi dom niszczy to ja mu zniszcz 

[27.1.2021 | 9:54:44] [Kuba Izydorczyk]: le zemsta 

[27.1.2021 | 9:54:44] [Truskawa5]: on ci nie niszczy 

[27.1.2021 | 9:54:52] [banio]: niszczy 

[27.1.2021 | 9:54:58] [banio]: chcesz screena? 

[27.1.2021 | 9:55:7] [Truskawa5]: no dawaj screena 

[27.1.2021 | 9:55:45][banio]: undefined [Image Link:https://cdn.discordapp.com/attachments/801028237190889495/803911113275211806/unknown.png] 

[27.1.2021 | 9:55:51] [banio]: szybko go zabiłem 

[27.1.2021 | 9:55:58] [banio]: ale still 

[27.1.2021 | 9:56:18] [Kuba Izydorczyk]: no racja 

[27.1.2021 | 9:56:22] [banio]: a wgl 

[27.1.2021 | 9:56:28] [banio]: kogo jest ten zamek 

[27.1.2021 | 9:56:32] [Truskawa5]: mój 

[27.1.2021 | 9:56:38] [Truskawa5]: bartek domu nie ma 

[27.1.2021 | 9:56:54] [Truskawa5]: bo se spalił przypadkowo xD 

[27.1.2021 | 9:56:58] [Kuba Izydorczyk]: ej on genialny 

[27.1.2021 | 9:57:4] [Kuba Izydorczyk]: aha XD 

[27.1.2021 | 9:57:6] [Truskawa5]: nom 

[27.1.2021 | 9:57:16] [banio]: ? 

[27.1.2021 | 9:57:28] [Truskawa5]: napisałem już mój 

[27.1.2021 | 9:57:58] [Borys_Adamczyk]: Wojne rozpeczelii a ja ma gdzieś waszą wojnę 

[27.1.2021 | 9:58:13] [Truskawa5]: aha 

[27.1.2021 | 9:58:32] [Truskawa5]: nie możesz mieć gdzieś 

[27.1.2021 | 9:58:37] [Borys_Adamczyk]: Wiem że ty truskawa mi zniszczyłeś dom. 

[27.1.2021 | 9:58:48] [Truskawa5]: nie ja debilu 

[27.1.2021 | 9:59:3] [Borys_Adamczyk]: Nie może crepper? 

[27.1.2021 | 9:59:15] [Truskawa5]: nwm kto ale nie ja 

[27.1.2021 | 9:59:23] [Kuba Izydorczyk]: monGriefing jest wyłączony 

[27.1.2021 | 9:59:31] [Borys_Adamczyk]: Przecież wiem 

[27.1.2021 | 9:59:38] [Borys_Adamczyk]: To człowiek zroił 

[27.1.2021 | 10:0:6] [banio]: a moge troche tnt bo ciężko się zdobywa normalnie 

[27.1.2021 | 10:0:19] [Truskawa5]: oke 

[27.1.2021 | 10:0:38] [Truskawa5]: ju 

[27.1.2021 | 10:0:40] [Kuba Izydorczyk]: to może na wojne każdemu damy 3 stacki dynamitu 

[27.1.2021 | 10:0:47] [Truskawa5]: nie teraz 

[27.1.2021 | 10:0:52] [Borys_Adamczyk]: A co do wojny nie ma sensu Maciek jesteś za dobrze przygotowany . 

[27.1.2021 | 10:1:18] [Kuba Izydorczyk]: nikt nie broni ci sę przygotować 

[27.1.2021 | 10:1:43] [Truskawa5]: i proszę nie róbcie wielkiej wojny bo ja mogę grać tylko w weekendy i to jest dla mnie słabe 

[27.1.2021 | 10:1:50] [Borys_Adamczyk]: Ja nie potzebuje sie przygitowywać 

[27.1.2021 | 10:2:20] [Kuba Izydorczyk]: czyli wojna w sobotę 

[27.1.2021 | 10:2:23] [Borys_Adamczyk]: Zrobie ale nie bede z nimi wlaczył bo mi domu nie zniszczyli. 

[27.1.2021 | 10:2:47] [Truskawa5]: to jaka wielka wojna bez walki xD 

[27.1.2021 | 10:2:56] [Truskawa5]: w piątek też mogę 

[27.1.2021 | 10:3:11] [Kuba Izydorczyk]: no to w piątek 

[27.1.2021 | 10:3:43] [Borys_Adamczyk]: Ja nie bioręwniej udziału pamiętaj 

[27.1.2021 | 10:4:13] [Kuba Izydorczyk]: ej to z kim będziemy walczyć 

[27.1.2021 | 10:4:19] [Truskawa5]: musisz, bo to każdy na każdego i każdy będze wysadzał 

[27.1.2021 | 10:4:41] [Borys_Adamczyk]: Nie bo ty sie ze wszystkimi z sojujesz i mi ponsczysz 

[27.1.2021 | 10:4:43] [Truskawa5]: nwm ja mam sojusz z tobą i rafałem 

[27.1.2021 | 10:5:0] [Borys_Adamczyk]: No widzisz juz masz sojusz' 

[27.1.2021 | 10:5:3] [Truskawa5]: ty też możesz mieć sojusz 

[27.1.2021 | 10:5:12] [Borys_Adamczyk]: czyli niemam kazdyna każdego 

[27.1.2021 | 10:5:23] [Truskawa5]: aaaa 

[27.1.2021 | 10:5:43] [Truskawa5]: możesz przestać mi słowa zmieniać 

[27.1.2021 | 10:6:1] [Truskawa5]: każdy na każdego, ale można mieć sojusze 

[27.1.2021 | 10:6:5] [Truskawa5]: tak jest 

[27.1.2021 | 10:6:40] [Kuba Izydorczyk]: w wojnie są dwie zasady:
1.można mieć sojusze
2.nie ma więcej zasad 

[27.1.2021 | 10:6:52] [Truskawa5]: xD ale dobre 

[27.1.2021 | 10:7:22] [Shibe]: Nie ma zasad to wojna 

[27.1.2021 | 10:7:35] [Borys_Adamczyk]: Ja tam nie walcze sami sie zabijajcie' 

[27.1.2021 | 10:7:50] [Borys_Adamczyk]: Niemam potrzeby wy może macie 

[27.1.2021 | 10:8:34] [banio]: czyli w lutym nowa edycja? 

[27.1.2021 | 10:8:50] [Truskawa5]: zapewne tak 

[27.1.2021 | 10:9:48] [Kuba Izydorczyk]: tiaaaa 

[27.1.2021 | 10:10:49] [banio]: ktoś mnie okradł 

[27.1.2021 | 10:10:56] [Shibe]: Kto 

[27.1.2021 | 10:10:56] [Truskawa5]: aaha 

[27.1.2021 | 10:10:58] [Shibe]: Z czego 

[27.1.2021 | 10:11:2] [Kuba Izydorczyk]: le dochodzenie time 

[27.1.2021 | 10:11:30] [Kuba Izydorczyk]: dobra! kto z was okradł <@!509049979692908551> 

[27.1.2021 | 10:12:14] [banio]: ze zbroi nowej i z kilofu 

[27.1.2021 | 10:12:56] [Shibe]: Ok 

[27.1.2021 | 10:14:58] [Truskawa5]: <@!689813998329135112>  jeśli chcesz mapę survival no to głosuj na mapę 

[27.1.2021 | 10:15:1] [Shibe]: Jakiej zrobi i kilofa 

[27.1.2021 | 10:15:7] [Kuba Izydorczyk]: ok 

[27.1.2021 | 10:15:18] [_____]: co siem stało🤔 

[27.1.2021 | 10:15:19][banio]: ja [Image Link:https://cdn.discordapp.com/attachments/801028237190889495/803916033094189056/unknown.png] 

[27.1.2021 | 10:15:25] [Truskawa5]: xD 

[27.1.2021 | 10:15:33] [_____]: to twój dom? 

[27.1.2021 | 10:15:36] [Shibe]: Co sie stało 

[27.1.2021 | 10:15:37] [banio]: tak 

[27.1.2021 | 10:15:53][banio]: ahaaa [Image Link:https://cdn.discordapp.com/attachments/801028237190889495/803916178762366976/unknown.png] 

[27.1.2021 | 10:15:57] [Shibe]: Wojna 

[27.1.2021 | 10:16:0] [banio]: bartek wysadza 

[27.1.2021 | 10:16:4] [Shibe]: O nie! 

[27.1.2021 | 10:16:18] [Borys_Adamczyk]: to juz wiem kto kradnie i niszczy 

[27.1.2021 | 10:16:21] [_____]: Ban Bartek 1/3 

[27.1.2021 | 10:16:25] [Shibe]: 2/3 

[27.1.2021 | 10:16:26] [Kuba Izydorczyk]: wojna dopiero w sobotę! 

[27.1.2021 | 10:16:28] [Kuba Izydorczyk]: 3/3 

[27.1.2021 | 10:16:32] [Truskawa5]: ej nie 

[27.1.2021 | 10:16:33] [_____]: Ez 

[27.1.2021 | 10:16:39] [Borys_Adamczyk]: 4/4 

[27.1.2021 | 10:16:44] [Truskawa5]: co wy robicie 

[27.1.2021 | 10:16:57] [Truskawa5]: nie mam takich zesad 

[27.1.2021 | 10:17:1][banio]: rafał twój dom jest chyba zniszczony [Image Link:https://cdn.discordapp.com/attachments/801028237190889495/803916464897785876/unknown.png] 

[27.1.2021 | 10:17:8] [Shibe]: Gdzies to 

[27.1.2021 | 10:17:10] [Kuba Izydorczyk]: wejdż zobacz 

[27.1.2021 | 10:17:14] [Shibe]: To nie moj dom juz 

[27.1.2021 | 10:17:17] [Kuba Izydorczyk]: <@!509049979692908551> 

[27.1.2021 | 10:17:30] [Borys_Adamczyk]: Alarm najwyzszy stan gotowości 

[27.1.2021 | 10:17:42] [Truskawa5]: @everyone  było że proszę ale nie że nie można 

[27.1.2021 | 10:17:51] [Shibe]: ? 

[27.1.2021 | 10:18:1] [Truskawa5]: no z tą wojną 

[27.1.2021 | 10:18:8] [Truskawa5]: a wy go chcecie ban 

[27.1.2021 | 10:18:15] [banio]: może ktoś z adminów grać? 

[27.1.2021 | 10:18:22] [banio]: tak to byście zrobili command block na wojne 

[27.1.2021 | 10:18:26] [Shibe]: Ja o 18:30 

[27.1.2021 | 10:18:28] [banio]: czyli basically daje tnt 

[27.1.2021 | 10:18:34] [Kuba Izydorczyk]: jest 

[27.1.2021 | 10:18:40] [Shibe]: ? 

[27.1.2021 | 10:18:52][banio]: to koniec centrum [Image Link:https://cdn.discordapp.com/attachments/801028237190889495/803916930113208350/unknown.png] 

[27.1.2021 | 10:19:19] [Kuba Izydorczyk]: and i'm not suprised 

[27.1.2021 | 10:19:25] [banio]: tak 

[27.1.2021 | 10:19:44] [Borys_Adamczyk]: Ja zara wchodze mam kilka prochow i sand stone ogarne kikla tnt 

[27.1.2021 | 10:20:13] [Truskawa5]: tnt robi się z sandu a nie z sand stone 

[27.1.2021 | 10:20:17] [to ja, nie ty]: nie niszczie mi 

[27.1.2021 | 10:20:29] [banio]: gucio a ty ze mną nie mieszkałeś? 

[27.1.2021 | 10:20:35] [Borys_Adamczyk]: Dobrze truskwa wiec  ty mi niezniszyłeś to kto mi zniszczył dom? 

[27.1.2021 | 10:20:35] [to ja, nie ty]: no tak 

[27.1.2021 | 10:20:40] [banio]: no to nie masz domu 

[27.1.2021 | 10:20:45] [to ja, nie ty]: kurwa no 

[27.1.2021 | 10:20:47] [banio]: ktoś cały nasz zniszczył 

[27.1.2021 | 10:20:55] [Truskawa5]: bartek pewnie 

[27.1.2021 | 10:20:55] [Borys_Adamczyk]: Moj pierwszy' 

[27.1.2021 | 10:21:3] [to ja, nie ty]: a mi? 

[27.1.2021 | 10:21:11] [Truskawa5]: bartek 

[27.1.2021 | 10:21:17] [to ja, nie ty]: mi? bartek 

[27.1.2021 | 10:21:21] [Shibe]: Tak 

[27.1.2021 | 10:21:23] [Borys_Adamczyk]: Ale brtek znisczył swoj dom bysmy nic mu niezniszczyli 

[27.1.2021 | 10:21:28] [to ja, nie ty]: https://tenor.com/view/luffy-one-piece-anime-cry-crying-gif-5378935 

[27.1.2021 | 10:22:31] [banio]: jak takto 

[27.1.2021 | 10:22:47] [banio]: to maciek zrób /give @a tnt 180 

[27.1.2021 | 10:22:55] [Truskawa5]: oke 

[27.1.2021 | 10:23:25] [banio]: i jeszcze może flinta i steela 

[27.1.2021 | 10:23:32] [Truskawa5]: ok 

[27.1.2021 | 10:24:12] [Borys_Adamczyk]: Chaimu masz proch 

[27.1.2021 | 10:24:42] [Borys_Adamczyk]: Każdy na wojne powinnien miec dobry lub świetny łuk 

[27.1.2021 | 10:25:4] [Borys_Adamczyk]: I zbroje ,miecze itp. 

[27.1.2021 | 10:25:24] [Shibe]: To se zrób 

[27.1.2021 | 10:25:29] [Shibe]: Masz 3 dni 

[27.1.2021 | 10:29:59] [banio]: emaciek 

[27.1.2021 | 10:30:5] [Truskawa5]: nom 

[27.1.2021 | 10:30:5] [banio]: ktoś ci dom wysadził 

[27.1.2021 | 10:30:10] [Truskawa5]: nwm 

[27.1.2021 | 10:30:17] [Borys_Adamczyk]: A kto mógł 

[27.1.2021 | 10:30:18] [Truskawa5]: bartek pewno 

[27.1.2021 | 10:30:22] [Truskawa5]: ale jaki 

[27.1.2021 | 10:30:31] [Truskawa5]: zamek czy ten stary dom 

[27.1.2021 | 10:30:40] [Borys_Adamczyk]: Twoja forteca ma obsa 

[27.1.2021 | 10:30:51] [Truskawa5]: no 

[27.1.2021 | 10:31:5] [Borys_Adamczyk]: To jak ci miał wysadzic wortece moze wraki zostały 

[27.1.2021 | 10:31:14] [Truskawa5]: nwm 

[27.1.2021 | 10:31:25][Bartek Kośla]: undefined [Image Link:https://cdn.discordapp.com/attachments/801028237190889495/803920087262167040/IMG_20210127_103102503.jpg] 

[27.1.2021 | 10:31:42] [Bartek Kośla]: Moje dzieło 

[27.1.2021 | 10:31:54] [Kuba Izydorczyk]: szanuję za szczerość 

[27.1.2021 | 10:32:2] [Borys_Adamczyk]: A teraz my ci pokazemy co to znaczy niszczyć, 

[27.1.2021 | 10:32:23] [Truskawa5]: jprdl 

[27.1.2021 | 10:32:52] [Kuba Izydorczyk]: a ile zniszczyłeś 

[27.1.2021 | 10:33:15] [Bartek Kośla]: Wszystko prawie 

[27.1.2021 | 10:33:46] [Truskawa5]: a mój zamek 

[27.1.2021 | 10:34:39] [Kuba Izydorczyk]: <@&802136769894023228> zróbmy tak: niszczyć komuś budowle można tylko gdy na serwerze jest właściciel 

[27.1.2021 | 10:34:40] [Borys_Adamczyk]: raczej tez 

[27.1.2021 | 10:34:58] [Truskawa5]: do bry pomysł 

[27.1.2021 | 10:36:6] [banio]: nie ma to sensu 

[27.1.2021 | 10:36:14] [banio]: każda baza jest zniszczona 

[27.1.2021 | 10:36:36] [Truskawa5]: aha 

[27.1.2021 | 10:37:9][banio]: to twoja baza z daleka [Image Link:https://cdn.discordapp.com/attachments/801028237190889495/803921528243617812/unknown.png] 

[27.1.2021 | 10:37:28] [Truskawa5]: debil 

[27.1.2021 | 10:37:40] [banio]: KTO 

[27.1.2021 | 10:37:50] [Borys_Adamczyk]: znisczył ci zamek bartke 

[27.1.2021 | 10:37:58] [Truskawa5]: bartek 

[27.1.2021 | 10:39:30] [Kuba Izydorczyk]: mogło być gorzej 

[27.1.2021 | 10:39:40] [Kuba Izydorczyk]: podzielam twoje zdanie 

[27.1.2021 | 10:39:44] [Shibe]: Wojna dzis 1/3 

[27.1.2021 | 10:39:52] [Truskawa5]: ja nie mogę grać 

[27.1.2021 | 10:39:53] [Kuba Izydorczyk]: ale o 18.30 

[27.1.2021 | 10:39:56] [Shibe]: Ok 

[27.1.2021 | 10:39:58] [Kuba Izydorczyk]: jak już 

[27.1.2021 | 10:40:6] [Shibe]: Atak na kogo chce 

[27.1.2021 | 10:40:9] [Shibe]: 2/3 

[27.1.2021 | 10:40:11] [Shibe]: 3/3 

[27.1.2021 | 10:43:46] [Borys_Adamczyk]: atak 

[27.1.2021 | 10:44:13] [Truskawa5]: sprawdźcie <#803921496656707584> 

[27.1.2021 | 10:59:45] [Karol Tarłowski]: Czy na nowej mapie będzie Bartek? 

[27.1.2021 | 11:31:28] [Truskawa5]: nwm 

[27.1.2021 | 11:32:28] [Karol Tarłowski]: Kto wylonczyl serwer 

[27.1.2021 | 11:32:30] [_____]: ej czemu zamknąłeś serwa maciek 

[27.1.2021 | 11:33:6] [Truskawa5]: nie zamknąłem 

[27.1.2021 | 11:33:24] [Truskawa5]: mmoże się restartował 

[27.1.2021 | 11:35:28] [Truskawa5]: @everyone  usunął się świat 

[27.1.2021 | 11:35:40] [Kuba Izydorczyk]: ah yes 

[27.1.2021 | 11:35:42] [_____]: i gramy od nowa xD 

[27.1.2021 | 11:35:50] [Kuba Izydorczyk]: an masterpiece 

[27.1.2021 | 11:35:56] [Kuba Izydorczyk]: start o 1830? 

[27.1.2021 | 11:36:27] [Borys_Adamczyk]: JAkto 

[27.1.2021 | 11:36:46] [Truskawa5]: ej głosujcie na <#803921496656707584>  i piszcie więcej pomysłów 

[27.1.2021 | 11:37:45] [Karol Tarłowski]: Nowa mapa jest 

[27.1.2021 | 12:3:57] [Karol Tarłowski]: jest nowa edycja 

[27.1.2021 | 12:4:5] [Karol Tarłowski]: Serwera 

[27.1.2021 | 12:4:33] [Kuba Izydorczyk]: kiedy nowa edycja <@!689853240002740338> ? 

[27.1.2021 | 12:7:5] [Truskawa5]: w piątek 

[27.1.2021 | 12:16:56] [Karol Tarłowski]: A ta mapa która teraz jest 

[27.1.2021 | 12:17:36] [Truskawa5]: tylko czasowo 

[27.1.2021 | 12:18:12] [Kuba Izydorczyk]: czyli do piątku jest zawieszenie? 

[27.1.2021 | 12:19:30] [Truskawa5]: tak 

[27.1.2021 | 12:19:38] [Borys_Adamczyk]: czyli w pitaek bedzie wszystko od nowa 

[27.1.2021 | 12:19:40] [Truskawa5]: ale można se grać na tym świecie 

[27.1.2021 | 12:20:6] [Borys_Adamczyk]: to zostw ten swiat juz 

[27.1.2021 | 12:27:30] [banio]: maciek dał reakcje na swoją mape jprdl 

[27.1.2021 | 12:29:15] [Shibe]: Ale było by 4:3 

[27.1.2021 | 12:29:36] [banio]: no 

[27.1.2021 | 12:44:44] [banio]: cześć 

[27.1.2021 | 12:49:17] [banio]: gra ktoś w hypixel po lekcjach 

[27.1.2021 | 12:50:46] [Kuba Izydorczyk]: ja nie mogę 

[27.1.2021 | 12:53:23] [Truskawa5]: ja może 

[27.1.2021 | 12:53:52] [banio]: oki 

[27.1.2021 | 13:28:38] [_____]: diamenty mam już c: 

[27.1.2021 | 13:31:22] [Shibe]: Gdzie 

[27.1.2021 | 13:32:46] [_____]: w jaskini na 12 kratce znalazłem 

[27.1.2021 | 13:35:30] [Shibe]: Ale na serwie 

[27.1.2021 | 13:36:11] [Shibe]: !warn <@722715695884009482>  nick 

[27.1.2021 | 13:36:20] [_____]: no tak 

[27.1.2021 | 13:36:34] [_____]: na serwie 

[27.1.2021 | 13:40:34] [banio]: na jakim 

[27.1.2021 | 13:40:40] [banio]: to już jest ten nowy???? 

[27.1.2021 | 13:40:46] [banio]: co??????? 

[27.1.2021 | 13:42:57] [Shibe]: !warn <@&802127974853115914>  nie da sie oznaczyć 

[27.1.2021 | 13:43:26] [Shibe]: !warn <@689853240002740338>  nick (test) 

[27.1.2021 | 13:43:42] [Shibe]: !warn <@509049979692908551>  test 

[27.1.2021 | 13:44:1] [Shibe]: !unwarn <@509049979692908551> 

[27.1.2021 | 13:44:7] [Shibe]: #clear 

[27.1.2021 | 13:44:17] [Shibe]: Sorry przez przypadek 

[27.1.2021 | 13:44:51] [Shibe]: Przepraszam za usunięcie wiadomości zrobiłem to przez przypadek 

[27.1.2021 | 13:45:21] [Truskawa5]: ok 

[27.1.2021 | 13:45:52] [banio]: rafał jprdl 

[27.1.2021 | 13:45:59] [banio]: przez ciebie nie wiem czy nowy serw 

[27.1.2021 | 14:4:23] [_____]: <@!689853240002740338> włącz keep inventory 

[27.1.2021 | 14:4:25] [_____]: pls 

[27.1.2021 | 14:5:20] [_____]: bo ja nie chcę stracić 7 diamentów bo w kopalni dalej szukam a strasznie dużo potworów jest 

[27.1.2021 | 14:33:15] [banio]: no to jaka wersja 

[27.1.2021 | 14:33:22] [banio]: <@&802136769894023228> 

[27.1.2021 | 14:39:43] [banio]: no okej zagram sobie w hypixela jak nikt nie powie 

[27.1.2021 | 15:33:33] [_____]: 1.16.4 <@!509049979692908551> 

[27.1.2021 | 15:33:48] [_____]: serwera wersja 

[27.1.2021 | 16:52:48] [_____]: <@&802136769894023228> gra ktoś 

[27.1.2021 | 16:54:55] [banio]: ja mogę 

[27.1.2021 | 17:9:26] [_____]: wszystkie diamenty straciłem bo do lawy spadłem ._. 

[27.1.2021 | 17:48:46] [Borys_Adamczyk]: Ja jestem ostrożny 

[27.1.2021 | 17:49:4] [Borys_Adamczyk]: 👍 

[27.1.2021 | 19:58:16] [banio]: no więc jakby myśle o kupieniu realmu 

[27.1.2021 | 19:58:22] [banio]: ktoś by chciał grać? 

[28.1.2021 | 10:36:1] [Borys_Adamczyk]: co/ 

[28.1.2021 | 11:3:31] [Norbert]: ej mam pytanie bo jak gralem w minecraft na tym serwerze to mi zabraliscie ity oddacie? 

[28.1.2021 | 11:4:37] [Shibe]: Juz nie ma tego serwera 

[28.1.2021 | 11:4:37] [Truskawa5]: dużo cię ominęło będzie kolejna edycja jutro o 18 30, teraz jest świat tymczasowy, bo tamten świat się usunął 

[28.1.2021 | 11:4:51] [Norbert]: a ok 

[28.1.2021 | 11:5:15] [Kuba Izydorczyk]: <@!689853240002740338> a co z find the button? bo mówiłeś coś o tym 

[28.1.2021 | 11:5:20] [Truskawa5]: teraz serwer jest wyłączony bo pracuje nad pluginmi 

[28.1.2021 | 11:5:49] [Truskawa5]: to była tylko propozycja, możemy to zrobić na aternocie 

[28.1.2021 | 11:6:28] [Kuba Izydorczyk]: a ok. możemy zrobić jak nam się znudzi survival 

[28.1.2021 | 11:6:46] [Truskawa5]: nom 

[28.1.2021 | 11:15:51] [Norbert]: mogę być na serwerze adm pls 

[28.1.2021 | 11:20:30] [Kuba Izydorczyk]: a masz jakieś preferencje? 

[28.1.2021 | 11:21:2] [Norbert]: tak 4fun chce byc 

[28.1.2021 | 11:21:36] [Kuba Izydorczyk]: no to tak niezbyt, zresztą to nie ja decyduję 

[28.1.2021 | 11:21:47] [Norbert]: wm 

[28.1.2021 | 11:32:51] [Borys_Adamczyk]: <@!689853240002740338>  czemu bartek k ma role ostżerzenie 

