[7.1.2021 | 18:7:1] [🖤Maxim Jestem🖤]: MIAU 
[11.1.2021 | 19:21:52] [Kara]: Na 1 jest Alastor <:emoji_2:779301232736469052> 🤩 ❤️ <:emoji_9:780167019378114560> 🥰 <:emoji_7:779369233473077248> <:emoji_12:780167751863894047> <:emoji_17:780168455424966666> 🤡 <:emoji_8:779377725260562442> <:emoji_7:779369233473077248> <:emoji_40:783338999405740062> <:emoji_31:783326988357992498> <:emoji_16:780168430103822357> <:emoji_16:780168430103822357> <:emoji_26:783326842295156757> <:emoji_23:783326551340220506> <:emoji_24:783326820162469909> <:emoji_19:783061995351179314> <:emoji_16:780168430103822357> <:emoji_31:783326988357992498> <:emoji_29:783326916735402025> <:emoji_29:783326916735402025> <:emoji_39:783338871941103617> <:emoji_29:783326916735402025> <:emoji_38:783334960257826816> 🙃 ☺️ 😍 😛 😜 🥳 😋 😛 

[11.1.2021 | 19:22:1] [Kara]: 'claim 87 

[11.1.2021 | 19:22:51] [Kara]: ❤️ <:emoji_22:783326523918516244> 🤡 <:emoji_2:779301232736469052> 🥰 <:emoji_28:783326885278908438> <:emoji_31:783326988357992498> <:emoji_16:780168430103822357> <:emoji_19:783061995351179314> <:emoji_19:783061995351179314> <:emoji_17:780168455424966666> <:emoji_19:783061995351179314> <:emoji_15:780167987533447178> <:emoji_24:783326820162469909> <:emoji_16:780168430103822357> <:emoji_19:783061995351179314> <:emoji_20:783062020340973568> <:emoji_19:783061995351179314> <:emoji_15:780167987533447178> <:emoji_19:783061995351179314> <:emoji_39:783338871941103617> <:emoji_38:783334960257826816> <:emoji_36:783334773862563880> <:emoji_38:783334960257826816> <:emoji_5:779367490547482674> <:emoji_5:779367490547482674> <:emoji_8:779377725260562442> <:emoji_41:783339060760150017> <:emoji_9:780167019378114560> <:emoji_41:783339060760150017> <:emoji_38:783334960257826816> <:emoji_41:783339060760150017> <:emoji_38:783334960257826816> <:emoji_35:783334740391362580> 🤪 🥲 😏 😘 😍 🥰 🥳 🥲 ☺️ 😝 😆 😊 

[11.1.2021 | 19:23:5] [Kara]: Pf 

[11.1.2021 | 19:23:18] [Kara]: Nienawidzę tego bota 

[11.1.2021 | 23:10:27] [Glokaczka którą chcesz polizac]: Kurwa popisze ktos 

[11.1.2021 | 23:10:34] [Glokaczka którą chcesz polizac]: <:emoji_12:780167751863894047> <:emoji_12:780167751863894047> <:emoji_12:780167751863894047> <:emoji_12:780167751863894047> <:emoji_12:780167751863894047> <:emoji_12:780167751863894047> <:emoji_12:780167751863894047> <:emoji_12:780167751863894047> <:emoji_12:780167751863894047> <:emoji_12:780167751863894047> <:emoji_12:780167751863894047> 

[11.1.2021 | 23:10:54] [Glokaczka którą chcesz polizac]: 🥰 <:emoji_10:780167257204326422> 🥰 <:emoji_10:780167257204326422> 🥰 <:emoji_9:780167019378114560> <:emoji_12:780167751863894047> <:emoji_9:780167019378114560> <:emoji_10:780167257204326422> <:emoji_10:780167257204326422> <:emoji_9:780167019378114560> <:emoji_9:780167019378114560> <:emoji_10:780167257204326422> <:emoji_10:780167257204326422> <:emoji_10:780167257204326422> <:emoji_9:780167019378114560> <:emoji_10:780167257204326422> <:emoji_9:780167019378114560> <:emoji_10:780167257204326422> <:emoji_9:780167019378114560> <:emoji_10:780167257204326422> <:emoji_10:780167257204326422> <:emoji_9:780167019378114560> <:emoji_10:780167257204326422> <:emoji_9:780167019378114560> <:emoji_10:780167257204326422> 🥰 <:emoji_10:780167257204326422> <:emoji_10:780167257204326422> 🥰 🥰 🥰 <:emoji_12:780167751863894047> 🥰 <:emoji_12:780167751863894047> 🥰 <:emoji_12:780167751863894047> 🥰 🥰 <:emoji_10:780167257204326422> <:emoji_10:780167257204326422> 😽 🥰 😽 😽 <:emoji_10:780167257204326422> <:emoji_10:780167257204326422> <:emoji_10:780167257204326422> <:emoji_10:780167257204326422> 🍞 🍞 

[11.1.2021 | 23:11:8] [Glokaczka którą chcesz polizac]: Mmmm maczo 

[11.1.2021 | 23:11:21] [Glokaczka którą chcesz polizac]: Jebiemy sje <@159985870458322944> 

[11.1.2021 | 23:11:37] [Glokaczka którą chcesz polizac]: Masz ochote na male kokodżambo 

[11.1.2021 | 23:11:43] [Glokaczka którą chcesz polizac]: Maczzo 

[11.1.2021 | 23:12:15] [Glokaczka którą chcesz polizac]: 🍄 🍄 🍑 

[11.1.2021 | 23:12:29] [Glokaczka którą chcesz polizac]: 🍑 🍌 🍑 🍌 🍑 🍄 🍄 

[11.1.2021 | 23:12:47] [Glokaczka którą chcesz polizac]: Aj lana lana tacz jor badiiiiii 

[11.1.2021 | 23:13:15] [Glokaczka którą chcesz polizac]: Japiehdolej wez ktos popiszzzzzzzzzzzzzzzzzszszszssszzzzzzz 

[12.1.2021 | 0:31:18] [fockus17]: Ejj 

[12.1.2021 | 0:31:26] [fockus17]: Znacie jakiegoś bota do rajdu? 

[12.1.2021 | 0:31:33] [fockus17]: 'claim 39 

[12.1.2021 | 10:33:43] [Glokaczka którą chcesz polizac]: Sksksksksksksksskskkskksksks 

[12.1.2021 | 10:34:0] [Glokaczka którą chcesz polizac]: And i oop 

[12.1.2021 | 10:34:6] [Glokaczka którą chcesz polizac]: Oop 

[12.1.2021 | 13:40:49] [Yukizome Chiiiisa]: Hej Hej Charlotte~ 

[12.1.2021 | 13:41:28] [Yukizome Chiiiisa]: Truskawkowy <:emoji_40:783338999405740062> 
Alfons <:emoji_39:783338871941103617> 

[12.1.2021 | 20:38:37] [Glokaczka którą chcesz polizac]: Was is dain liblingspah 

[12.1.2021 | 20:51:43] [KoizumiMahiru]: undefined 

[12.1.2021 | 20:52:27] [KoizumiMahiru]: Przepraszam mam trzy konta hEhEhEhE 

[12.1.2021 | 21:18:8] [-Saki-]: BOKE HINATA BOKE 

[13.1.2021 | 0:3:15] [Glokaczka którą chcesz polizac]: Czemu ja nie moge załapac sie na jakoms rozmowe 

[13.1.2021 | 15:44:4] [Szu]: ŻyJe 

[13.1.2021 | 16:33:13] [fockus17]: Baka Kageyama Baka 

[13.1.2021 | 18:24:48] [Dooru Oikawa]: <:emoji_38:783334960257826816> <:emoji_8:779377725260562442> 

[13.1.2021 | 20:34:13] [taki typek emqu sie nazywa]: undefined 

[14.1.2021 | 11:33:52] [Dooru Oikawa]: Siema aaa 

[14.1.2021 | 12:42:45] [Dariaaa]: Witajcie 

[14.1.2021 | 19:49:24] [𝑍𝑖𝑒𝑙𝑜𝑛𝑦 𝐿𝑖𝑝𝑡𝑜𝑛𝑒𝑘]: hi 

[15.1.2021 | 0:6:15] [Anika1258]: hej przepraszam że pisze o tej godzinie. w tym roku WOŚP jest zorganizowany elektronicznie. gdyby ktoś może chciałby pomóc wysyłam wam link do eskarbonki. pomoc jest dobrowolna. z góry dziekuję 

[15.1.2021 | 0:6:18] [Anika1258]: https://eskarbonka.wosp.org.pl/qy2yaf 

[15.1.2021 | 0:18:4] [Thomas160]: undefined 

[15.1.2021 | 14:35:19] [VaggieTheUltimateMoth]: Hej hej 

[15.1.2021 | 14:36:58] [VaggieTheUltimateMoth]: LIKE A FALLEN ANGEEEEEEEEEEEELLLL 

[16.1.2021 | 17:22:46] [Miska]: undefined 

[16.1.2021 | 17:23:28] [Miska]: Heeeeej 

[17.1.2021 | 20:48:14] [Glokaczka którą chcesz polizac]: Hej 

[17.1.2021 | 22:23:53] [VaggieTheUltimateMoth]: Dżem dobry kurwa 

[18.1.2021 | 19:3:31] [︰҂.🎲₊˚๑障害]: Pov: ten serwer żyje? 

[18.1.2021 | 19:6:26] [Szu]: Idk 

[18.1.2021 | 20:19:30] [pralka]: undefined 

[19.1.2021 | 17:39:0] [Szu]: Hi 

[19.1.2021 | 22:50:9] [Akuś Senpai]: Hello 

[20.1.2021 | 10:18:34] [Glokaczka którą chcesz polizac]: Wiem co teraz robisz <@734503006023975055> 

[20.1.2021 | 10:18:51] [Glokaczka którą chcesz polizac]: Albo <@731270100585545748> 

[20.1.2021 | 10:19:9] [Glokaczka którą chcesz polizac]: JESTESCIE NA LEKCJACH ALBO NA PSZERFIE 

[20.1.2021 | 10:26:33] [Akuś Senpai]: Nie 

[20.1.2021 | 10:26:37] [Akuś Senpai]: I co teraz 

[20.1.2021 | 10:51:29] [Służąca]: Nie 

[20.1.2021 | 10:51:42] [Służąca]: :³ 

[20.1.2021 | 10:52:17] [fockus17]: :P 

[21.1.2021 | 9:22:21] [MrsPotato aka StachuDżons]: chyba z rok tu nie wchodziłam- 

[21.1.2021 | 9:28:33] [Akuś Senpai]: <:emoji_9:780167019378114560> 

[21.1.2021 | 9:28:36] [Akuś Senpai]: Ohayo 

[21.1.2021 | 9:30:30] [Landranom]: EJ 

[21.1.2021 | 9:30:32] [Landranom]: MOGE? 

[21.1.2021 | 9:59:4] [Szu]: Teszsz 

[21.1.2021 | 9:59:36] [Szu]: Mój brat przyniósł do mnie swój gang 

[21.1.2021 | 10:0:18] [MrsPotato aka StachuDżons]: ohayo 

[21.1.2021 | 10:0:54] [Szu]: Dobra nudzę się 

[21.1.2021 | 10:1:4] [Szu]: Ktoś tu żyje jeszcze? 

[21.1.2021 | 10:1:11] [MrsPotato aka StachuDżons]: ja 

[21.1.2021 | 10:1:13] [MrsPotato aka StachuDżons]: chyba 

[21.1.2021 | 10:1:18] [Szu]: To doBrzE 

[21.1.2021 | 10:1:28] [MrsPotato aka StachuDżons]: mówcie mi stachu dżons ok 

[21.1.2021 | 10:12:0] [Akuś Senpai]: Okay 

[21.1.2021 | 11:10:58] [Szu]: Oki 

[21.1.2021 | 11:11:10] [微笑み]: LOL! 

[21.1.2021 | 11:11:25] [Szu]: Chej lol miło mi cię poznać 

[21.1.2021 | 11:12:3] [微笑み]: hej ho, elo bebc 

[21.1.2021 | 11:12:4] [微笑み]: co tam 

[21.1.2021 | 11:12:10] [Szu]: Dobrze a tam! 

[21.1.2021 | 11:12:11] [Szu]: ?* 

[21.1.2021 | 11:12:25] [微笑み]: mam zaraz druga matematykę)): 

[21.1.2021 | 11:12:30] [微笑み]: ja tak nie chcę żyć 

[21.1.2021 | 11:12:32] [Szu]: (*) 

[21.1.2021 | 11:12:49] [fockus17]: F 

[21.1.2021 | 11:13:21] [微笑み]: zwłaszcza, że ja praktycznie wszystko robię 

[21.1.2021 | 11:13:24] [微笑み]: za moją klasę): 

[21.1.2021 | 11:16:35] [Szu]: :''c 

[21.1.2021 | 14:1:8] [Shuchun]: hej 

[21.1.2021 | 14:1:12] [Shuchun]: dano mnie nei bylo 

[21.1.2021 | 14:1:27] [Shuchun]: omg kle 

[21.1.2021 | 14:1:31] [Shuchun]: e 

[21.1.2021 | 14:38:15] [-Saki-]: HEY HEY HEEY 

[21.1.2021 | 14:38:22] [-Saki-]: Jak wam mija dzień? 

[21.1.2021 | 14:38:32] [-Saki-]: Ja zdycham ogólnie już ale jest nawet ok 

[21.1.2021 | 20:4:28] [Szu]: Chej 

[22.1.2021 | 11:6:55] [Shuchun]: co robisz 

[22.1.2021 | 11:7:5] [Shuchun]: <@!356065937318871041> spadaj ty 

[22.1.2021 | 11:7:7] [Shuchun]: debul 

[22.1.2021 | 11:7:18] [FiczetoX]: Dzień dobry 

[22.1.2021 | 12:45:33] [Szu]: Dobry 

[25.1.2021 | 17:45:48] [Megumin]: Hejo 

[25.1.2021 | 17:46:33] [fockus17]: Martwy server 

[25.1.2021 | 17:46:51] [Megumin]: Takie zycie 

[25.1.2021 | 17:47:22] [Megumin]: A jakie nie są martwe 

[25.1.2021 | 20:53:6] [Mikrofala Samsung]: Aż szkoda 

[25.1.2021 | 20:53:13] [Mikrofala Samsung]: dużo ludzi tu jest 

[25.1.2021 | 20:55:52] [Izumi Midori]: Mehu meh 

[25.1.2021 | 22:1:28] [Applepi]: ten serwer jest tak martwy że aż sama chciałabym taka być 

[26.1.2021 | 11:35:40] [Mikrofala Samsung]: <:emoji_22:783326523918516244> <:emoji_23:783326551340220506> <:emoji_24:783326797731201034> 

[26.1.2021 | 15:1:50] [KiritikaKoizumi]: Aż mi się przypomniały dramy ze mną 

[26.1.2021 | 16:24:25] [Applepi]: a kto ty 

[26.1.2021 | 17:20:35] [fockus17]: Jak saiki 

[26.1.2021 | 17:20:54] [fockus17]: Chyba zapomniała wszystko co się na serwerze działo 

[26.1.2021 | 18:19:40] [KiritikaKoizumi]: Nick xD 

[26.1.2021 | 18:20:3] [KiritikaKoizumi]: Jestem Kiri 

[26.1.2021 | 18:20:12] [KiritikaKoizumi]: 'claim 93 

[26.1.2021 | 22:45:17] [KiritikaKoizumi]: Sprzedaje za darmo dupe mikasy 

[26.1.2021 | 22:45:21] [KiritikaKoizumi]: Kto chce 

[27.1.2021 | 10:42:38] [fockus17]: O 

[27.1.2021 | 10:42:40] [fockus17]: Asuba 

[27.1.2021 | 20:32:15] [Glokaczka]: Ahh jes 

[27.1.2021 | 20:32:32] [Glokaczka]: Temsknie za tym serwerem 

[27.1.2021 | 22:2:13] [Applepi]: tez serwer juz nie zyje 

[27.1.2021 | 22:5:1] [KiritikaKoizumi]: Wcześniej tętniło życiem 

[27.1.2021 | 22:5:6] [KiritikaKoizumi]: Troche 

[27.1.2021 | 22:6:22] [KiritikaKoizumi]: Oboze nie zauważyłam odpowiedzi pseplasam 

[27.1.2021 | 22:6:41] [KiritikaKoizumi]: Juz wysylam 

[27.1.2021 | 22:7:3] [Applepi]: ej ja tez chce 

[27.1.2021 | 22:7:21] [KiritikaKoizumi]: Okokokok 

[27.1.2021 | 22:7:55] [Applepi]: wszyscy wiemy ze dupa pieck najlepsza 

[27.1.2021 | 22:9:9] [KiritikaKoizumi]: Аминь 

[27.1.2021 | 22:9:21] [KiritikaKoizumi]: Mam to skopiowane 

[27.1.2021 | 22:9:24] [KiritikaKoizumi]: To znaczy amen 

[27.1.2021 | 22:9:27] [KiritikaKoizumi]: Po rusku 

[27.1.2021 | 22:9:34] [KiritikaKoizumi]: Gdy robiłam opowiesc na watt 

[27.1.2021 | 22:9:46] [KiritikaKoizumi]: Dodałam 

[27.1.2021 | 22:9:47] [KiritikaKoizumi]: To 

[27.1.2021 | 22:9:51] [KiritikaKoizumi]: Słowo 

[27.1.2021 | 22:12:53] [Applepi]: amen 

[27.1.2021 | 22:13:52] [KiritikaKoizumi]: ♪Аминь♪ 

[27.1.2021 | 22:15:2] [Applepi]: pokaz stupki 

[27.1.2021 | 22:15:18] [KiritikaKoizumi]: Nje 

[27.1.2021 | 22:15:23] [Applepi]: acha a czemu 

[27.1.2021 | 22:15:34] [KiritikaKoizumi]: Czekaj mam lepszą odpowiedz 

[27.1.2021 | 22:15:38][KiritikaKoizumi]: undefined [Image Link:https://cdn.discordapp.com/attachments/760856383951994882/804097312933675038/IMG_20210127_204523.jpg] 

[27.1.2021 | 22:16:4] [KiritikaKoizumi]: Ide spac 

[27.1.2021 | 22:16:13] [KiritikaKoizumi]: Wgl wydrukowałam tego kurdupla 

[27.1.2021 | 22:16:15] [Applepi]: o jimir 

[27.1.2021 | 22:16:16] [KiritikaKoizumi]: I go bije 

[27.1.2021 | 22:16:18] [KiritikaKoizumi]: Za erena 

[27.1.2021 | 22:16:19] [Applepi]: jakiego 

[27.1.2021 | 22:16:26] [KiritikaKoizumi]: Znaczy eręa 

[27.1.2021 | 22:16:30] [KiritikaKoizumi]: Jakiego erena 

[27.1.2021 | 22:16:45] [KiritikaKoizumi]: Kurdupla lwa 

[27.1.2021 | 22:17:49][Applepi]: undefined [Image Link:https://cdn.discordapp.com/attachments/760856383951994882/804097857450672148/20210118_082949.jpeg] 

[27.1.2021 | 22:17:51] [Applepi]: ereh 

[27.1.2021 | 22:18:21] [KiritikaKoizumi]: Co z tego że ten kurdupel jest wyższy ode mnie 

[27.1.2021 | 22:18:26][KiritikaKoizumi]: undefined [Image Link:https://cdn.discordapp.com/attachments/760856383951994882/804098015559155722/IMG_20210127_231258.jpg] 

[27.1.2021 | 22:18:30] [KiritikaKoizumi]: Tego kurdupla 

[27.1.2021 | 22:18:58] [KiritikaKoizumi]: Słaba jakość bo moje ręce sie zbyt trzęsą :> 

[27.1.2021 | 22:19:0] [Applepi]: HAHA 

[27.1.2021 | 22:19:5] [Applepi]: JESTEM WYŻSZA OD LIWAJA 

[27.1.2021 | 22:19:11] [KiritikaKoizumi]: Ahahhahahahahha 

[27.1.2021 | 22:19:16] [KiritikaKoizumi]: A ja nie 

[27.1.2021 | 22:19:17] [KiritikaKoizumi]: Jajskska 

[27.1.2021 | 22:19:24] [KiritikaKoizumi]: Nizsza 

[27.1.2021 | 22:19:24] [Applepi]: HAHAHA 

[27.1.2021 | 22:19:27] [Applepi]: KURDUPLU 

[27.1.2021 | 22:19:31] [KiritikaKoizumi]: XD 

[27.1.2021 | 22:19:46] [Applepi]: JESTEM WYŻSZA AZ 1 CM!!! 

[27.1.2021 | 22:19:54] [KiritikaKoizumi]: Wow 

[27.1.2021 | 22:19:58] [KiritikaKoizumi]: <:emoji_10:780167257204326422> 

[27.1.2021 | 22:20:12] [Applepi]: DUZO W CHUJ 

[27.1.2021 | 22:20:13][KiritikaKoizumi]: undefined [Image Link:https://cdn.discordapp.com/attachments/760856383951994882/804098465914159174/14dfb49fc70c26873228ade2a6414fda.png] 

[27.1.2021 | 22:20:25] [Applepi]: o ereh 

[27.1.2021 | 22:20:45] [Applepi]: porozmawiajmy o tym jaki Armin jest słodki w gimnazjum tytanuw 

[27.1.2021 | 22:20:52] [KiritikaKoizumi]: Ok 

[27.1.2021 | 22:21:16] [KiritikaKoizumi]: https://c.tenor.com/ZITNAEZVqfgAAAAM/armin-arlert-high-junior.gif 

[27.1.2021 | 22:21:23] [KiritikaKoizumi]: Dobra ja idę spac 

[27.1.2021 | 22:21:23][Applepi]: undefined [Image Link:https://cdn.discordapp.com/attachments/760856383951994882/804098756756504636/Untitled177_20210127133856.png] 

[27.1.2021 | 22:21:28] [Applepi]: czemu 

[27.1.2021 | 22:25:43] [KiritikaKoizumi]: Na chwilę jeszcze moge 

[27.1.2021 | 22:26:29] [KiritikaKoizumi]: Ogólnie to Bert jedzie do Hope's Peak 

[27.1.2021 | 22:26:44] [KiritikaKoizumi]: Nagito, czy Bert jedzie do Hope's Peak Academy? 

[27.1.2021 | 22:27:1] [KiritikaKoizumi]: Nagito, czy Bertholdt jedzie do Hope's Peak Academy? 

[27.1.2021 | 22:27:12] [KiritikaKoizumi]: Nagito, czy Hoover jedzie do Hope's Peak Academy? 

[27.1.2021 | 22:27:44] [KiritikaKoizumi]: Nagito, nie kłam, czy Hoover a.k.a Bert a.k.a Bertholdt jedzie do Hope's Peak Academy? 

[27.1.2021 | 22:27:54] [KiritikaKoizumi]: To co on robi 

[27.1.2021 | 22:27:56] [KiritikaKoizumi]: Gdzie jest 

[27.1.2021 | 22:28:19] [KiritikaKoizumi]: Nagito, nie kłam, dobra, a teraz jedzie? c: 

[27.1.2021 | 22:28:24] [KiritikaKoizumi]: JsjdjjJs 

