[9.1.2021 | 22:50:26] [FiczetoX]: / 
[15.1.2021 | 12:32:41] [FiczetoX]: O_O, zabijcie mnie 

[15.1.2021 | 12:43:29] [krasnal ogrodowy niko]: *kill* 

[15.1.2021 | 12:43:42] [krasnal ogrodowy niko]: Nie będziemy łączyć serwerów 

[15.1.2021 | 12:43:53] [krasnal ogrodowy niko]: Mamy oddzielne 

[15.1.2021 | 12:44:13] [krasnal ogrodowy niko]: Kolega mi zaproponował, żebym zrobił serwer na mc, bo wtedy aktywność na głosowych możliwe że będzie większa 

[15.1.2021 | 12:47:50] [FiczetoX]: Ok, ale musisz założyć konto na Aternosie, bo nie mogę pilnować 2 na raz 

[15.1.2021 | 12:47:51] [krasnal ogrodowy niko]: A to wygląda jak normalny Minecraft? 

[15.1.2021 | 12:47:56] [FiczetoX]: Bo mi się wyłącza 

[15.1.2021 | 12:48:0] [FiczetoX]: Tak 

[15.1.2021 | 12:48:18] [krasnal ogrodowy niko]: Co to 

[15.1.2021 | 12:49:56] [FiczetoX]: https://aternos.org 

[15.1.2021 | 12:50:13] [FiczetoX]: Załóż tu konto 

[15.1.2021 | 12:50:31] [krasnal ogrodowy niko]: A to znowu jakieś coś co można ściągać? 

[15.1.2021 | 12:50:47] [FiczetoX]: Nie 

[15.1.2021 | 12:50:59] [FiczetoX]: Tylko tam wchodzisz i zakładasz konto 

[15.1.2021 | 12:51:29] [krasnal ogrodowy niko]: AA, to fajno 

[15.1.2021 | 12:51:51] [FiczetoX]: To załóż, masz na to 30min 

[15.1.2021 | 12:56:47] [krasnal ogrodowy niko]: Co teraz? 

[15.1.2021 | 12:57:6][krasnal ogrodowy niko]: undefined [Image Link:https://cdn.discordapp.com/attachments/787652665223544846/799608101996724234/IMG20210115125429.jpg] 

[15.1.2021 | 12:57:23] [FiczetoX]: Graj 

[15.1.2021 | 13:1:26][krasnal ogrodowy niko]: undefined [Image Link:https://cdn.discordapp.com/attachments/787652665223544846/799609190267355156/IMG20210115130059.jpg] 

[15.1.2021 | 13:2:7] [FiczetoX]: Podaj swoją nazwę 

[15.1.2021 | 13:2:22] [krasnal ogrodowy niko]: nikko666666 

[15.1.2021 | 13:3:19] [FiczetoX]: Wczytaj stronę jeszcze raz 

[15.1.2021 | 13:4:25] [krasnal ogrodowy niko]: I połącz dać? 

[15.1.2021 | 13:4:35] [FiczetoX]: Tak 

[15.1.2021 | 13:11:15] [FiczetoX]: Teraz spróbuj, bo źle zrobiłem 

[15.1.2021 | 13:14:9] [FiczetoX]: <@697153934246150185> 

[15.1.2021 | 13:15:17] [FiczetoX]: I jak będzie potwierdź, to naciśnij zielony przycisk, no ja jadę do babci 

[15.1.2021 | 13:15:48] [FiczetoX]: A jak nie potwierdzisz to się odliczanie zresetuje 

[15.1.2021 | 13:15:50] [FiczetoX]: <@697153934246150185> 

[15.1.2021 | 13:16:33] [FiczetoX]: I masz 5 minut na wejście do gry 

[15.1.2021 | 13:16:44] [FiczetoX]: Na IP, które jest podane na górze 

[15.1.2021 | 13:17:34] [FiczetoX]: Odbiór 

[15.1.2021 | 13:17:39] [krasnal ogrodowy niko]: Nie wiem jak to zrobić 

[15.1.2021 | 13:17:40] [krasnal ogrodowy niko]: Ej 

[15.1.2021 | 13:17:48] [krasnal ogrodowy niko]: A to normalne że mi zaczął pracować bardziej nie? 

[15.1.2021 | 13:17:59] [FiczetoX]: Tak 

[15.1.2021 | 13:18:24] [FiczetoX]: Ja nie mam komputera, ja nie wejdę do gry 

[15.1.2021 | 13:18:46] [FiczetoX]: A jest to minut i serwer się zamknie 

[15.1.2021 | 13:21:28] [krasnal ogrodowy niko]: I co ja mam teraz zrobić 

[15.1.2021 | 13:21:41] [krasnal ogrodowy niko]: Nic się nie ląduje jak daje to zielone to nic się nie dzieje 

[15.1.2021 | 13:21:53] [FiczetoX]: Co zielone? 

[15.1.2021 | 13:22:42] [krasnal ogrodowy niko]: To polqcz i ten znak zielonu 

[15.1.2021 | 13:22:45] [krasnal ogrodowy niko]: I dupa nic nie ma 

[15.1.2021 | 13:23:12][FiczetoX]: Jak tu będzie zielone [Image Link:https://cdn.discordapp.com/attachments/787652665223544846/799614668669845574/Screenshot_2021-01-15-13-23-02-873.jpeg] 

[15.1.2021 | 13:23:32] [krasnal ogrodowy niko]: No dałem polqcz i nic nie ma 

[15.1.2021 | 13:23:53] [FiczetoX]: Poczekaj te 24 minuty 

[15.1.2021 | 13:24:6] [FiczetoX]: I obok zatrzymaj będzie 

[15.1.2021 | 13:24:49] [FiczetoX]: A weź wyjdź i zaloguj się jeszcze raz 

[15.1.2021 | 13:25:52] [krasnal ogrodowy niko]: Po co 

[15.1.2021 | 13:26:14] [FiczetoX]: Bo mogło się jeszcze w tedy nie wczytać 

[15.1.2021 | 13:28:0] [FiczetoX]: W sensie z Aternosa się wyloguj i zaloguj 

[15.1.2021 | 13:29:9] [krasnal ogrodowy niko]: Nic się nie zmieniło 

[15.1.2021 | 13:33:40] [FiczetoX]: A co widzisz na ekranie? 

[15.1.2021 | 13:38:8] [krasnal ogrodowy niko]: No dalej to samo 

[15.1.2021 | 13:40:23] [FiczetoX]: To ja to spróbuję włączyć, ty po prostu tam dołącz 

[15.1.2021 | 13:40:43] [FiczetoX]: Strefa_Zjednoczenia.aternos.me 

[15.1.2021 | 13:41:5] [FiczetoX]: Za 15 min będzie 

[15.1.2021 | 13:46:34] [FiczetoX]: Tylko przełącz sobie wersję na ten snapshot 

[15.1.2021 | 13:54:51] [FiczetoX]: <@697153934246150185> 

[16.1.2021 | 14:25:48] [tsuki]: Ja mogę ^^ tylko o co dokładnie chodzi? xd 

[16.1.2021 | 14:36:6] [krasnal ogrodowy niko]: Opisać rolę np 

[16.1.2021 | 14:36:40] [krasnal ogrodowy niko]: Obywatel - tą rolę dostaniesz, jeśli zrobisz postać. Na zrobienie postaci masz dwa tygodnie. Obywatel daje ci dostęp do strefy RP 

[16.1.2021 | 15:49:52] [DoctorToxic]: Aaaaa 

[16.1.2021 | 15:49:55] [DoctorToxic]: Jakie rolę zaś 

[16.1.2021 | 16:44:3] [🅼🅸🅺]: Cze 

[16.1.2021 | 16:44:9] [🅼🅸🅺]: Powoli chyba wracam 

[16.1.2021 | 16:44:31] [krasnal ogrodowy niko]: Okia 

[16.1.2021 | 18:24:35] [tsuki]: Diobra, pod wieczór ogarnę ^^ 

[16.1.2021 | 18:26:41] [krasnal ogrodowy niko]: Okii 

[16.1.2021 | 19:45:38] [tsuki]: <@&794992834511241256> rola dla osóbki co jedynie czyta wątki ^^

<@&794559517202972682> człek ze współprac

<@&787669333412544562> nowa duszyczka

<@&787669581861748736> brawo, zapisałeś do nas postać! To cudowne ♡︎

<@&787673375773687829> <@&787673407654461462> <@&787673431726096414> <@&787673521887117342> <@&787986704350052433>  itp to role dzięk, których możemy was lepiej poznać 😍

<@&795268997955584042> <@&795269513003401217> <@&795269627197653022> - dzięki temu możesz być pingowany to rzeczy, które cię interesują

<@&787987550059888671> @szuka wiemy kogo pingować jeśli mamy ochotę na rp ^^ 

[16.1.2021 | 19:45:48] [tsuki]: A reszty ról ja nawet nie ograniam xd 

[17.1.2021 | 22:49:19] [krasnal ogrodowy niko]: Ej kto to jest froginsocks xD 

[17.1.2021 | 22:54:39] [cheeto pizzerini]: nie wiem 

[17.1.2021 | 22:54:43] [cheeto pizzerini]: a gdzie jest 

[17.1.2021 | 22:54:53] [krasnal ogrodowy niko]: Ma obywatela 

[17.1.2021 | 22:55:17] [cheeto pizzerini]: huuh 

[18.1.2021 | 11:59:37] [cheeto pizzerini]: czy ja mogę wyjebać Kishunie 

[18.1.2021 | 11:59:42] [cheeto pizzerini]: proszę 

[18.1.2021 | 12:0:18] [cheeto pizzerini]: i hate that bitch so much 

[18.1.2021 | 12:0:28] [cheeto pizzerini]: 😤 🤚 

[18.1.2021 | 12:0:43] [krasnal ogrodowy niko]: Me too 

[18.1.2021 | 12:0:44] [emm]: bywa 

[18.1.2021 | 12:0:52] [emm]: ona kiedy jest z nami? 

[18.1.2021 | 12:0:59] [emm]: w sensie na serwie 

[18.1.2021 | 12:1:17] [FiczetoX]: Mi akurat ona nie przeszkadza 

[18.1.2021 | 12:1:26] [FiczetoX]: Ale jak chcecie 

[18.1.2021 | 12:1:28] [cheeto pizzerini]: od niedawna chyba idk 

[18.1.2021 | 12:1:39] [cheeto pizzerini]: wsensie ona mnie wkurwia w chuj 

[18.1.2021 | 12:2:0] [krasnal ogrodowy niko]: Wyjebmy też kaczkę co 

[18.1.2021 | 12:2:14] [cheeto pizzerini]: "patrzcie jaka jestem badass i toxic 🤪 🤩 🙄 " 

[18.1.2021 | 12:2:17] [cheeto pizzerini]: a kaczkę czemu 

[18.1.2021 | 12:2:20] [emm]: ej ale nie możemy tak wywalić kogoś 

[18.1.2021 | 12:2:33] [emm]: jak nie łamie regulaminu czy coś cn 

[18.1.2021 | 12:2:37] [cheeto pizzerini]: wiem 

[18.1.2021 | 12:2:46] [cheeto pizzerini]: ale chce wyrazić swoje niezadowolenie 

[18.1.2021 | 12:2:51] [cheeto pizzerini]: jej istnieniem 

[18.1.2021 | 12:3:13] [FiczetoX]: Chociaż aktywność się powiększyla 

[18.1.2021 | 12:3:16] [emm]: rozumiemy 

[18.1.2021 | 12:19:11] [cheeto pizzerini]: ona jest taka toksyczna smh 

[18.1.2021 | 12:19:21] [krasnal ogrodowy niko]: Tak 

[18.1.2021 | 12:19:27] [cheeto pizzerini]: już piszę na omegaverse a nie tutaj bo sie przypierdoli o byle co 

[18.1.2021 | 12:19:46] [emm]: W sensie coś ona robiła? Bo mnie troche na tym serwerze nie było 

[18.1.2021 | 12:19:56] [krasnal ogrodowy niko]: Nie... 

[18.1.2021 | 12:20:18] [cheeto pizzerini]: jak nie 

[18.1.2021 | 12:20:28] [cheeto pizzerini]: przypierdala sie i jest toksyczna 

[18.1.2021 | 12:20:32] [krasnal ogrodowy niko]: Jak się przypierdoli to ją zwarnuje 

[18.1.2021 | 12:20:42] [cheeto pizzerini]: nie warte to jest 

[18.1.2021 | 12:20:50] [cheeto pizzerini]: moich nerwow 

[18.1.2021 | 12:20:56] [emm]: ale o co się przypirdalała np.? XD 

[18.1.2021 | 12:21:16] [cheeto pizzerini]: karol nie denerwuj mnie prosze cie 

[18.1.2021 | 12:21:27] [emm]: ok 

[18.1.2021 | 12:21:34] [emm]: czyli grubo 

[18.1.2021 | 12:21:56] [cheeto pizzerini]: XD 

[18.1.2021 | 12:22:2] [cheeto pizzerini]: ogólnie jest taka strasznie 

[18.1.2021 | 12:22:7] [cheeto pizzerini]: wredna bez powodu 

[18.1.2021 | 12:22:52] [krasnal ogrodowy niko]: W tym momencie kaczka też mnie wkurwia 

[18.1.2021 | 12:22:55] [krasnal ogrodowy niko]: Hipokrytka 

[18.1.2021 | 12:23:26] [FiczetoX]: Kaczka zwykle cię denerwuje (?) 

[18.1.2021 | 12:24:27] [emm]: teraz sie kaczka przypierdala o to przeklinanie jakby to było nie wiadomo co 

[18.1.2021 | 12:24:34] [krasnal ogrodowy niko]: Ta 

[18.1.2021 | 12:24:50] [krasnal ogrodowy niko]: Ona zawsze się o coś do mnie musi przypierdolić 

[18.1.2021 | 12:30:8] [krasnal ogrodowy niko]: <@691924849458806794> co napisałeś? 

[18.1.2021 | 12:31:3] [FiczetoX]: Kiedy 

[18.1.2021 | 12:31:10] [krasnal ogrodowy niko]: O dałeś odkasuj 

[18.1.2021 | 12:31:26] [cheeto pizzerini]: a co tam bylo 

[18.1.2021 | 12:31:27] [cheeto pizzerini]: to kaczki 

[18.1.2021 | 12:31:44] [FiczetoX]: Jej zdjęcie z kotem 

[18.1.2021 | 12:31:49] [cheeto pizzerini]: aha ok 

[18.1.2021 | 12:32:19] [krasnal ogrodowy niko]: Na pewno? 

[18.1.2021 | 12:33:10] [cheeto pizzerini]: ? 

[18.1.2021 | 12:33:11] [FiczetoX]: Tak, jak mi nie wierzysz to napisz =odkasuj na <#787765832033107968> 

[18.1.2021 | 12:33:17] [cheeto pizzerini]: nie piszczie 

[18.1.2021 | 12:33:17] [FiczetoX]: Powinno jeszcze wisieć 

[18.1.2021 | 12:33:20] [cheeto pizzerini]: japiernicze 

[18.1.2021 | 12:33:27] [cheeto pizzerini]: przypadkiem wysłała 

[18.1.2021 | 12:33:40] [cheeto pizzerini]: a ty po chamsku to przywracasz 

[18.1.2021 | 12:33:57] [cheeto pizzerini]: 🙄 🤚 

[18.1.2021 | 12:34:6] [FiczetoX]: Da się uchronić przed odkasowywaniem 

[18.1.2021 | 12:34:13] [cheeto pizzerini]: idc 

[18.1.2021 | 12:34:23] [cheeto pizzerini]: po prostu tak nie rób i tyle 

[18.1.2021 | 12:34:27] [cheeto pizzerini]: jakby no kurwa 

[18.1.2021 | 12:34:30] [cheeto pizzerini]: szanujmy sie 

[18.1.2021 | 12:34:57] [FiczetoX]: Ok, wracam za filar 

[18.1.2021 | 12:35:6] [cheeto pizzerini]: filar? 

[18.1.2021 | 12:35:22] [FiczetoX]: Filar 

[18.1.2021 | 12:35:59] [cheeto pizzerini]: aha 

[18.1.2021 | 12:36:2] [cheeto pizzerini]: filar. 

[18.1.2021 | 12:36:8] [FiczetoX]: Filar. 

[18.1.2021 | 23:15:12] [krasnal ogrodowy niko]: Trzymaj mnie 

[18.1.2021 | 23:15:12] [krasnal ogrodowy niko]: Skrobia 

[18.1.2021 | 23:15:25] [cheeto pizzerini]: jezu ile oni pierdolą o tym 

[18.1.2021 | 23:15:28] [cheeto pizzerini]: 😂 

[18.1.2021 | 23:15:30] [krasnal ogrodowy niko]: JAPIERDOLE 

[18.1.2021 | 23:15:48] [🅼🅸🅺]: Hm? 

[18.1.2021 | 23:15:55] [🅼🅸🅺]: A co się stało 

[18.1.2021 | 23:16:19] [krasnal ogrodowy niko]: Gadają o tym że polska ma przyszłość, PiS jest lepszy niż jest po, LGBT źle hurr durr itp 

[18.1.2021 | 23:16:32] [🅼🅸🅺]: Wtf 

[19.1.2021 | 11:17:37] [cheeto pizzerini]: jezu ale ona jest spierdolona na umyśle 🤦‍♀️ 

[19.1.2021 | 11:17:48] [cheeto pizzerini]: aż to się smutne robi 

[19.1.2021 | 11:18:2] [emm]: Może ma bunt nastoletni 

[19.1.2021 | 11:18:5] [🅼🅸🅺]: Kto 

[19.1.2021 | 11:18:20] [emm]: Ale kurwa ona ma tak zamknięty umysł czasami 

[19.1.2021 | 11:18:23] [emm]: Kishunia 

[19.1.2021 | 11:18:38] [🅼🅸🅺]: A co odwala 

[19.1.2021 | 11:19:6] [emm]: Zobacz sobie na rozmowy 

[19.1.2021 | 11:19:15] [emm]: Jak chcesz wiedzieć 

[19.1.2021 | 11:19:25] [🅼🅸🅺]: Ona ma taki charakter 

[19.1.2021 | 11:19:33] [🅼🅸🅺]: Tak pisała nawet 

[19.1.2021 | 11:19:51] [cheeto pizzerini]: booohooo 

[19.1.2021 | 11:20:12] [cheeto pizzerini]: mam taki charakter nic nie mogę z tym zrobić 😭 🥺 💔 

[19.1.2021 | 11:20:39] [emm]: To nie znaczy, że może kogoś bezpodstawnie obrażać nazywając kogoś ,,kurwą" i się trochę rządzić 

[19.1.2021 | 11:21:26] [cheeto pizzerini]: ona jest takim typem osoby co będzie się przypierdalać do wszystkich i znajdzie jakikolwiek powód żeby to usprawiedliwić 

[19.1.2021 | 11:22:28] [emm]: Poza tym ,,CHaRAkTEr" nie usprawiedliwia złego zachowania w stosunku do drugiej osoby 

[19.1.2021 | 11:22:39] [cheeto pizzerini]: periodt 

[19.1.2021 | 11:23:57] [🅼🅸🅺]: Yup 

[19.1.2021 | 11:24:16] [🅼🅸🅺]: Powinna po prostu się ogarnąć i tyle 

[19.1.2021 | 11:25:2] [🅼🅸🅺]: To jest serwer gdzie piszą ludzie którzy potrafią się zachować, a nie jakiś patologiczny gdzie każdy pisze A KURWAAAAA 69 69 XDDDD JD JEBAĆ PIS HAHAHAHAHHA 

[19.1.2021 | 11:25:16] [cheeto pizzerini]: mhm 

[19.1.2021 | 11:25:31] [cheeto pizzerini]: ja sie tu wogóle nie mam ochoty udzielac bo ona tu jest 

[19.1.2021 | 11:25:41] [cheeto pizzerini]: a było mega spoko 

[19.1.2021 | 11:25:41] [emm]: Upominana była już kilka razy za zachowanie i miała to w dupie 

[19.1.2021 | 11:26:2] [emm]: Bro- :<< 

[19.1.2021 | 11:26:42] [emm]: Jak jej zachowanie nadal będzie takie, albo nawet gorsze, bo zaczyna sobie pozwalać na zbyt wiele to bana dostanie 

[19.1.2021 | 11:26:45] [emm]: I tyle 

[19.1.2021 | 11:26:57] [cheeto pizzerini]: ok 

[19.1.2021 | 11:27:5] [cheeto pizzerini]: będę wyczekiwać tej chwili 

[19.1.2021 | 11:27:10] [cheeto pizzerini]: z utęsknieniem XD 

[19.1.2021 | 11:27:14] [emm]: XD 

[19.1.2021 | 11:27:30] [emm]: No niestety ale nie możemy jej dać bana od tak 

[19.1.2021 | 11:27:47] [cheeto pizzerini]: czaje czaje 

[19.1.2021 | 19:13:29] [krasnal ogrodowy niko]: Ten Zack też jest zjebany 

[19.1.2021 | 20:27:27] [emm]: Mhm 

[19.1.2021 | 21:46:1] [krasnal ogrodowy niko]: @everyone 

[19.1.2021 | 21:46:11] [FiczetoX]: Co znowu? 

[19.1.2021 | 21:46:12] [krasnal ogrodowy niko]: Co robimy z nowymi 

[19.1.2021 | 21:46:46] [krasnal ogrodowy niko]: Są szkodliwi, rzucają kąśliwe uwagi, stereotypy gdzie popadnie i psują atmosferę 

[19.1.2021 | 21:47:0] [emm]: Oni mają strasznie zamknięte umysły 

[19.1.2021 | 21:47:15] [FiczetoX]: ¯\\_(ツ)\_/¯ 

[19.1.2021 | 21:47:22] [FiczetoX]: Dobranoc 

[19.1.2021 | 21:47:38] [krasnal ogrodowy niko]: Fajne podejście 

[19.1.2021 | 21:48:13] [krasnal ogrodowy niko]: Jako admin powinieneś wykazywać chociaż minimum zainteresowania 

[19.1.2021 | 21:49:4] [tsuki]: Nie wiem, nie czytałam, ale może po prostu ostrzeżenie? 

[19.1.2021 | 21:49:58] [cheeto pizzerini]: jakby ja mam ich dosc 

[19.1.2021 | 21:50:2] [FiczetoX]: Przepraszam, ale od miesiąca zasypiam o 4 i chcę się wreszcie wyspać 

[19.1.2021 | 21:50:3] [cheeto pizzerini]: od dawna 

[19.1.2021 | 21:50:16] [cheeto pizzerini]: to mogles nie pisac nic stary 

[19.1.2021 | 21:50:21] [cheeto pizzerini]: a nie to swoje jakieś 

[19.1.2021 | 21:50:24] [cheeto pizzerini]: ¯\_(ツ)_/¯ 

[19.1.2021 | 21:50:54] [FiczetoX]: Dobry pomysł 

[19.1.2021 | 21:51:45] [FiczetoX]: . 

[19.1.2021 | 21:51:49] [cheeto pizzerini]: =odkasuj 

[19.1.2021 | 21:51:54] [cheeto pizzerini]: =odkasuj 5 

[19.1.2021 | 21:52:8] [cheeto pizzerini]: błyskotliwy jak zwykle 

[19.1.2021 | 21:52:22] [FiczetoX]: . 

[19.1.2021 | 21:52:22][cheeto pizzerini]: undefined [Image Link:https://cdn.discordapp.com/attachments/787652665223544846/801192355142565898/unknown.png] 

[19.1.2021 | 21:52:26] [cheeto pizzerini]: ups 

[19.1.2021 | 21:52:43] [FiczetoX]: Nieważne, daj mi spać 

[19.1.2021 | 21:52:53] [cheeto pizzerini]: na chuj piszesz jak masz usuwać 

[19.1.2021 | 21:53:3] [cheeto pizzerini]: cipa jesteś straszna 

[19.1.2021 | 21:53:8] [cheeto pizzerini]: ale dobra dobranoc 

[19.1.2021 | 21:53:11] [cheeto pizzerini]: miłych snów 

[19.1.2021 | 21:53:17] [cheeto pizzerini]: karaluchy pod poduchy 

[19.1.2021 | 21:53:25] [cheeto pizzerini]: obyś nie miał paraliżu sennego 

[19.1.2021 | 21:53:27] [cheeto pizzerini]: <3 

[19.1.2021 | 21:54:50] [cheeto pizzerini]: teraz to mnie wkurwili 

[19.1.2021 | 21:55:0] [cheeto pizzerini]: jak ja kurwa sie zastanawiam czy nie jestem demigender 

[19.1.2021 | 21:55:6] [cheeto pizzerini]: a ten mi wyjezdza z tym: 

[19.1.2021 | 21:55:22][cheeto pizzerini]: undefined [Image Link:https://cdn.discordapp.com/attachments/787652665223544846/801193111442948156/unknown.png] 

[19.1.2021 | 21:55:59] [emm]: Nie wiem czy sens jest mu tłumaczyć co to umbrella term, czym różni się płec od tożsamości płciowej, romatyzm i seksualność 

[19.1.2021 | 21:56:10] [emm]: Chyba nie ma sensu i tak by nie ogarnął 

[19.1.2021 | 21:56:21] [cheeto pizzerini]: mhm 

[19.1.2021 | 22:0:39] [krasnal ogrodowy niko]: <@472431307834785803> narazie nie odpisuj mu 

[19.1.2021 | 22:0:57] [cheeto pizzerini]: ale nooo 

[19.1.2021 | 22:0:58] [cheeto pizzerini]: chce 

[19.1.2021 | 22:1:12] [krasnal ogrodowy niko]: Jak będzie dalej tak pierdolił to warniki się posypią i wypierdolimy go 

[19.1.2021 | 22:2:5] [cheeto pizzerini]: hell yeah 

[19.1.2021 | 22:4:10] [krasnal ogrodowy niko]: Ogarniecie to sami? 

[19.1.2021 | 22:4:13] [krasnal ogrodowy niko]: Ja nie dam rady 

[19.1.2021 | 22:4:23] [krasnal ogrodowy niko]: Ręce mi się trzęsą 

[19.1.2021 | 22:4:27] [emm]: Luz 

[19.1.2021 | 22:4:32] [krasnal ogrodowy niko]: Za dużo emocji 

[19.1.2021 | 22:4:36] [emm]: Ty ogarnij to zadanie z angielskiego 

[19.1.2021 | 22:4:59] [krasnal ogrodowy niko]: Skoro tak ma wyglądać moje życie to może już je zakończę? 

[19.1.2021 | 22:5:12] [cheeto pizzerini]: nie 

[19.1.2021 | 22:5:16] [cheeto pizzerini]: uspokoj sie 

